dataset;algoritmo;MV;metric2
actorfilms_4000;pipeline;280;0.16
actorfilms_4000;baseline;280;0.69
actorfilms_4000;pipeline;560;0.16
actorfilms_4000;baseline;560;0.87
actorfilms_4000;pipeline;840;0.16
actorfilms_4000;baseline;840;0.83
actorfilms_4000;pipeline;1120;0.16
actorfilms_4000;baseline;1120;0.95
actorfilms_4000;pipeline;1400;0.24
actorfilms_4000;baseline;1400;0.97
actorfilms_4000;pipeline;2800;0.16
actorfilms_4000;baseline;2800;0.99
actorfilms_4000;pipeline;5600;0.21
actorfilms_4000;baseline;5600;1.0
actorfilms_4000;pipeline;8400;0.28
actorfilms_4000;baseline;8400;0.97
actorfilms_4000;pipeline;11200;0.25
actorfilms_4000;baseline;11200;0.73
actorfilms_4000;pipeline;14000;0.29
actorfilms_4000;baseline;14000;0.67
Boeing_898;pipeline;90;0.61
Boeing_898;baseline;90;0.54
Boeing_898;pipeline;180;0.46
Boeing_898;baseline;180;0.76
Boeing_898;pipeline;269;0.54
Boeing_898;baseline;269;0.68
Boeing_898;pipeline;359;0.57
Boeing_898;baseline;359;0.74
Boeing_898;pipeline;449;0.6
Boeing_898;baseline;449;0.76
Boeing_898;pipeline;898;0.62
Boeing_898;baseline;898;0.77
Boeing_898;pipeline;1796;0.55
Boeing_898;baseline;1796;0.55
Boeing_898;pipeline;2694;0.36
Boeing_898;baseline;2694;0.44
Boeing_898;pipeline;3592;0.31
Boeing_898;baseline;3592;0.36
Boeing_898;pipeline;4490;0.17
Boeing_898;baseline;4490;0.29
EV_Vehicles_4000;pipeline;400;0.76
EV_Vehicles_4000;baseline;400;1.0
EV_Vehicles_4000;pipeline;800;0.76
EV_Vehicles_4000;baseline;800;1.0
EV_Vehicles_4000;pipeline;1200;0.76
EV_Vehicles_4000;baseline;1200;1.0
EV_Vehicles_4000;pipeline;1600;0.76
EV_Vehicles_4000;baseline;1600;1.0
EV_Vehicles_4000;pipeline;2000;0.76
EV_Vehicles_4000;baseline;2000;1.0
EV_Vehicles_4000;pipeline;4000;0.76
EV_Vehicles_4000;baseline;4000;1.0
EV_Vehicles_4000;pipeline;8000;0.76
EV_Vehicles_4000;baseline;8000;1.0
EV_Vehicles_4000;pipeline;12000;0.76
EV_Vehicles_4000;baseline;12000;1.0
EV_Vehicles_4000;pipeline;16000;0.73
EV_Vehicles_4000;baseline;16000;0.92
EV_Vehicles_4000;pipeline;20000;0.38
EV_Vehicles_4000;baseline;20000;0.4
F1_REBUILT_5000;pipeline;350;0.0
F1_REBUILT_5000;baseline;350;1.0
F1_REBUILT_5000;pipeline;700;0.0
F1_REBUILT_5000;baseline;700;1.0
F1_REBUILT_5000;pipeline;1050;0.0
F1_REBUILT_5000;baseline;1050;1.0
F1_REBUILT_5000;pipeline;1400;0.0
F1_REBUILT_5000;baseline;1400;1.0
F1_REBUILT_5000;pipeline;1750;0.0
F1_REBUILT_5000;baseline;1750;1.0
F1_REBUILT_5000;pipeline;3500;0.07
F1_REBUILT_5000;baseline;3500;1.0
F1_REBUILT_5000;pipeline;7000;0.04
F1_REBUILT_5000;baseline;7000;1.0
F1_REBUILT_5000;pipeline;10500;0.18
F1_REBUILT_5000;baseline;10500;1.0
F1_REBUILT_5000;pipeline;14000;0.13
F1_REBUILT_5000;baseline;14000;1.0
F1_REBUILT_5000;pipeline;17500;0.4
F1_REBUILT_5000;baseline;17500;1.0
Med_Ch_2500;pipeline;300;0.12
Med_Ch_2500;baseline;300;0.54
Med_Ch_2500;pipeline;600;0.13
Med_Ch_2500;baseline;600;0.68
Med_Ch_2500;pipeline;900;0.12
Med_Ch_2500;baseline;900;0.77
Med_Ch_2500;pipeline;1200;0.13
Med_Ch_2500;baseline;1200;0.88
Med_Ch_2500;pipeline;1500;0.17
Med_Ch_2500;baseline;1500;0.87
Med_Ch_2500;pipeline;3000;0.18
Med_Ch_2500;baseline;3000;0.92
Med_Ch_2500;pipeline;6000;0.23
Med_Ch_2500;baseline;6000;0.74
Med_Ch_2500;pipeline;9000;0.24
Med_Ch_2500;baseline;9000;0.55
Med_Ch_2500;pipeline;12000;0.2
Med_Ch_2500;baseline;12000;0.36
Med_Ch_2500;pipeline;15000;0.18
Med_Ch_2500;baseline;15000;0.34
MotoGP_REBUILT_3000;pipeline;360;0.74
MotoGP_REBUILT_3000;baseline;360;1.0
MotoGP_REBUILT_3000;pipeline;720;0.71
MotoGP_REBUILT_3000;baseline;720;1.0
MotoGP_REBUILT_3000;pipeline;1080;0.62
MotoGP_REBUILT_3000;baseline;1080;1.0
MotoGP_REBUILT_3000;pipeline;1440;0.57
MotoGP_REBUILT_3000;baseline;1440;1.0
MotoGP_REBUILT_3000;pipeline;1800;0.4
MotoGP_REBUILT_3000;baseline;1800;1.0
MotoGP_REBUILT_3000;pipeline;3600;0.26
MotoGP_REBUILT_3000;baseline;3600;1.0
MotoGP_REBUILT_3000;pipeline;7200;0.26
MotoGP_REBUILT_3000;baseline;7200;0.99
MotoGP_REBUILT_3000;pipeline;10800;0.22
MotoGP_REBUILT_3000;baseline;10800;0.44
MotoGP_REBUILT_3000;pipeline;14400;0.2
MotoGP_REBUILT_3000;baseline;14400;0.32
MotoGP_REBUILT_3000;pipeline;18000;0.21
MotoGP_REBUILT_3000;baseline;18000;0.29
NBA_3200;pipeline;384;0.5
NBA_3200;baseline;384;0.89
NBA_3200;pipeline;768;0.51
NBA_3200;baseline;768;0.89
NBA_3200;pipeline;1152;0.51
NBA_3200;baseline;1152;0.96
NBA_3200;pipeline;1536;0.53
NBA_3200;baseline;1536;0.98
NBA_3200;pipeline;1920;0.52
NBA_3200;baseline;1920;0.99
NBA_3200;pipeline;3840;0.52
NBA_3200;baseline;3840;0.91
NBA_3200;pipeline;7680;0.52
