dataset;algoritmo;MV;metric1
actorfilms_4000;pipeline;280;0.43
actorfilms_4000;baseline;280;0.79
actorfilms_4000;pipeline;560;0.43
actorfilms_4000;baseline;560;0.9
actorfilms_4000;pipeline;840;0.49
actorfilms_4000;baseline;840;0.89
actorfilms_4000;pipeline;1120;0.51
actorfilms_4000;baseline;1120;0.96
actorfilms_4000;pipeline;1400;0.46
actorfilms_4000;baseline;1400;0.98
actorfilms_4000;pipeline;2800;0.59
actorfilms_4000;baseline;2800;0.99
actorfilms_4000;pipeline;5600;0.6
actorfilms_4000;baseline;5600;1.0
actorfilms_4000;pipeline;8400;0.62
actorfilms_4000;baseline;8400;0.98
actorfilms_4000;pipeline;11200;0.63
actorfilms_4000;baseline;11200;0.82
actorfilms_4000;pipeline;14000;0.68
actorfilms_4000;baseline;14000;0.81
Boeing_898;pipeline;90;0.75
Boeing_898;baseline;90;0.76
Boeing_898;pipeline;180;0.66
Boeing_898;baseline;180;0.87
Boeing_898;pipeline;269;0.73
Boeing_898;baseline;269;0.82
Boeing_898;pipeline;359;0.76
Boeing_898;baseline;359;0.84
Boeing_898;pipeline;449;0.77
Boeing_898;baseline;449;0.88
Boeing_898;pipeline;898;0.8
Boeing_898;baseline;898;0.88
Boeing_898;pipeline;1796;0.81
Boeing_898;baseline;1796;0.86
Boeing_898;pipeline;2694;0.82
Boeing_898;baseline;2694;0.91
Boeing_898;pipeline;3592;0.89
Boeing_898;baseline;3592;0.94
Boeing_898;pipeline;4490;0.81
Boeing_898;baseline;4490;0.96
EV_Vehicles_4000;pipeline;400;0.76
EV_Vehicles_4000;baseline;400;1.0
EV_Vehicles_4000;pipeline;800;0.76
EV_Vehicles_4000;baseline;800;1.0
EV_Vehicles_4000;pipeline;1200;0.76
EV_Vehicles_4000;baseline;1200;1.0
EV_Vehicles_4000;pipeline;1600;0.76
EV_Vehicles_4000;baseline;1600;1.0
EV_Vehicles_4000;pipeline;2000;0.76
EV_Vehicles_4000;baseline;2000;1.0
EV_Vehicles_4000;pipeline;4000;0.76
EV_Vehicles_4000;baseline;4000;1.0
EV_Vehicles_4000;pipeline;8000;0.78
EV_Vehicles_4000;baseline;8000;1.0
EV_Vehicles_4000;pipeline;12000;0.79
EV_Vehicles_4000;baseline;12000;1.0
EV_Vehicles_4000;pipeline;16000;0.79
EV_Vehicles_4000;baseline;16000;0.95
EV_Vehicles_4000;pipeline;20000;0.71
EV_Vehicles_4000;baseline;20000;0.79
F1_REBUILT_5000;pipeline;350;0.0
F1_REBUILT_5000;baseline;350;1.0
F1_REBUILT_5000;pipeline;700;0.0
F1_REBUILT_5000;baseline;700;1.0
F1_REBUILT_5000;pipeline;1050;0.0
F1_REBUILT_5000;baseline;1050;1.0
F1_REBUILT_5000;pipeline;1400;0.0
F1_REBUILT_5000;baseline;1400;1.0
F1_REBUILT_5000;pipeline;1750;0.0
F1_REBUILT_5000;baseline;1750;1.0
F1_REBUILT_5000;pipeline;3500;0.12
F1_REBUILT_5000;baseline;3500;1.0
F1_REBUILT_5000;pipeline;7000;0.25
F1_REBUILT_5000;baseline;7000;1.0
F1_REBUILT_5000;pipeline;10500;0.41
F1_REBUILT_5000;baseline;10500;1.0
F1_REBUILT_5000;pipeline;14000;0.5
F1_REBUILT_5000;baseline;14000;1.0
F1_REBUILT_5000;pipeline;17500;0.77
F1_REBUILT_5000;baseline;17500;1.0
Med_Ch_2500;pipeline;300;0.76
Med_Ch_2500;baseline;300;0.84
Med_Ch_2500;pipeline;600;0.78
Med_Ch_2500;baseline;600;0.87
Med_Ch_2500;pipeline;900;0.8
Med_Ch_2500;baseline;900;0.89
Med_Ch_2500;pipeline;1200;0.78
Med_Ch_2500;baseline;1200;0.93
Med_Ch_2500;pipeline;1500;0.8
Med_Ch_2500;baseline;1500;0.94
Med_Ch_2500;pipeline;3000;0.8
Med_Ch_2500;baseline;3000;0.95
Med_Ch_2500;pipeline;6000;0.81
Med_Ch_2500;baseline;6000;0.86
Med_Ch_2500;pipeline;9000;0.84
Med_Ch_2500;baseline;9000;0.84
Med_Ch_2500;pipeline;12000;0.75
Med_Ch_2500;baseline;12000;0.86
Med_Ch_2500;pipeline;15000;0.67
Med_Ch_2500;baseline;15000;0.87
MotoGP_REBUILT_3000;pipeline;360;0.86
MotoGP_REBUILT_3000;baseline;360;1.0
MotoGP_REBUILT_3000;pipeline;720;0.89
MotoGP_REBUILT_3000;baseline;720;1.0
MotoGP_REBUILT_3000;pipeline;1080;0.9
MotoGP_REBUILT_3000;baseline;1080;1.0
MotoGP_REBUILT_3000;pipeline;1440;0.91
MotoGP_REBUILT_3000;baseline;1440;1.0
MotoGP_REBUILT_3000;pipeline;1800;0.92
MotoGP_REBUILT_3000;baseline;1800;1.0
MotoGP_REBUILT_3000;pipeline;3600;0.9
MotoGP_REBUILT_3000;baseline;3600;1.0
MotoGP_REBUILT_3000;pipeline;7200;0.91
MotoGP_REBUILT_3000;baseline;7200;0.99
MotoGP_REBUILT_3000;pipeline;10800;0.84
MotoGP_REBUILT_3000;baseline;10800;0.85
MotoGP_REBUILT_3000;pipeline;14400;0.86
MotoGP_REBUILT_3000;baseline;14400;0.96
MotoGP_REBUILT_3000;pipeline;18000;0.84
MotoGP_REBUILT_3000;baseline;18000;0.98
NBA_3200;pipeline;384;0.82
NBA_3200;baseline;384;0.93
NBA_3200;pipeline;768;0.83
NBA_3200;baseline;768;0.93
NBA_3200;pipeline;1152;0.84
NBA_3200;baseline;1152;0.97
NBA_3200;pipeline;1536;0.85
NBA_3200;baseline;1536;0.99
NBA_3200;pipeline;1920;0.85
NBA_3200;baseline;1920;1.0
NBA_3200;pipeline;3840;0.87
NBA_3200;baseline;3840;0.94
NBA_3200;pipeline;7680;0.9
NBA_3200;baseline;7680;0.93
NBA_3200;pipeline;11520;0.93
NBA_3200;baseline;11520;0.89
NBA_3200;pipeline;15360;0.9
NBA_3200;baseline;15360;0.94
NBA_3200;pipeline;19200;0.88
NBA_3200;baseline;19200;0.98
superstore_4500;pipeline;495;0.44
superstore_4500;baseline;495;1.0
superstore_4500;pipeline;990;0.43
superstore_4500;baseline;990;1.0
superstore_4500;pipeline;1485;0.52
superstore_4500;baseline;1485;1.0
superstore_4500;pipeline;1980;0.56
superstore_4500;baseline;1980;1.0
superstore_4500;pipeline;2475;0.53
superstore_4500;baseline;2475;1.0
superstore_4500;pipeline;4950;0.68
superstore_4500;baseline;4950;1.0
superstore_4500;pipeline;9900;0.79
superstore_4500;baseline;9900;1.0
superstore_4500;pipeline;14850;0.83
superstore_4500;baseline;14850;1.0
superstore_4500;pipeline;19800;0.84
superstore_4500;baseline;19800;0.93
superstore_4500;pipeline;24750;0.75
superstore_4500;baseline;24750;0.78
US_Presidents_3754;pipeline;375;0.91
US_Presidents_3754;baseline;375;0.91
US_Presidents_3754;pipeline;751;0.92
US_Presidents_3754;baseline;751;0.92
US_Presidents_3754;pipeline;1126;0.91
US_Presidents_3754;baseline;1126;0.94
US_Presidents_3754;pipeline;1502;0.9
US_Presidents_3754;baseline;1502;0.93
US_Presidents_3754;pipeline;1877;0.91
US_Presidents_3754;baseline;1877;0.94
US_Presidents_3754;pipeline;3754;0.9
US_Presidents_3754;baseline;3754;0.96
US_Presidents_3754;pipeline;7508;0.92
US_Presidents_3754;baseline;7508;0.92
US_Presidents_3754;pipeline;11262;0.93
US_Presidents_3754;baseline;11262;0.92
US_Presidents_3754;pipeline;15016;0.92
US_Presidents_3754;baseline;15016;0.89
US_Presidents_3754;pipeline;18770;0.9
US_Presidents_3754;baseline;18770;0.93
cars;pipeline;37;0.87
cars;baseline;37;0.87
cars;pipeline;73;0.91
cars;baseline;73;0.89
cars;pipeline;110;0.86
cars;baseline;110;0.88
cars;pipeline;146;0.86
cars;baseline;146;0.81
cars;pipeline;183;0.87
cars;baseline;183;0.86
cars;pipeline;365;0.84
cars;baseline;365;0.83
cars;pipeline;731;0.81
cars;baseline;731;0.74
cars;pipeline;1096;0.8
cars;baseline;1096;0.77
cars;pipeline;1462;0.73
cars;baseline;1462;0.86
cars;pipeline;1827;0.59
cars;baseline;1827;1.0
police;pipeline;198;0.07
police;baseline;198;0.32
police;pipeline;397;0.07
police;baseline;397;0.52
police;pipeline;595;0.16
police;baseline;595;0.58
police;pipeline;793;0.19
police;baseline;793;0.61
police;pipeline;992;0.24
police;baseline;992;0.66
police;pipeline;1984;0.3
police;baseline;1984;0.71
police;pipeline;3967;0.46
police;baseline;3967;0.86
police;pipeline;5951;0.6
police;baseline;5951;0.97
