;dataset;algoritmo;MV;metric2
0;actorfilms_4000;pipeline;280;0.25
1;actorfilms_4000;baseline;280;0.76
2;actorfilms_4000;pipeline;560;0.24
3;actorfilms_4000;baseline;560;0.89
4;actorfilms_4000;pipeline;840;0.25
5;actorfilms_4000;baseline;840;0.88
6;actorfilms_4000;pipeline;1120;0.25
7;actorfilms_4000;baseline;1120;0.96
8;actorfilms_4000;pipeline;1400;0.29
9;actorfilms_4000;baseline;1400;0.97
10;actorfilms_4000;pipeline;2800;0.25
11;actorfilms_4000;baseline;2800;0.99
12;actorfilms_4000;pipeline;5600;0.31
13;actorfilms_4000;baseline;5600;1.0
14;actorfilms_4000;pipeline;8400;0.38
15;actorfilms_4000;baseline;8400;0.98
16;actorfilms_4000;pipeline;11200;0.36
17;actorfilms_4000;baseline;11200;0.82
18;actorfilms_4000;pipeline;14000;0.41
19;actorfilms_4000;baseline;14000;0.78
20;Boeing_1485;pipeline;148;0.78
21;Boeing_1485;baseline;148;1.0
22;Boeing_1485;pipeline;297;0.81
23;Boeing_1485;baseline;297;1.0
24;Boeing_1485;pipeline;446;0.72
25;Boeing_1485;baseline;446;1.0
26;Boeing_1485;pipeline;594;0.9
27;Boeing_1485;baseline;594;1.0
28;Boeing_1485;pipeline;742;0.72
29;Boeing_1485;baseline;742;1.0
30;Boeing_1485;pipeline;1485;0.84
31;Boeing_1485;baseline;1485;1.0
32;Boeing_1485;pipeline;2970;0.83
33;Boeing_1485;baseline;2970;1.0
34;Boeing_1485;pipeline;4455;0.66
35;Boeing_1485;baseline;4455;0.72
36;Boeing_1485;pipeline;5940;0.39
37;Boeing_1485;baseline;5940;0.55
38;Boeing_1485;pipeline;7425;0.38
39;Boeing_1485;baseline;7425;0.55
40;EV_Vehicles_4000;pipeline;400;0.76
41;EV_Vehicles_4000;baseline;400;1.0
42;EV_Vehicles_4000;pipeline;800;0.76
43;EV_Vehicles_4000;baseline;800;1.0
44;EV_Vehicles_4000;pipeline;1200;0.76
45;EV_Vehicles_4000;baseline;1200;1.0
46;EV_Vehicles_4000;pipeline;1600;0.76
47;EV_Vehicles_4000;baseline;1600;1.0
48;EV_Vehicles_4000;pipeline;2000;0.76
49;EV_Vehicles_4000;baseline;2000;1.0
50;EV_Vehicles_4000;pipeline;4000;0.76
51;EV_Vehicles_4000;baseline;4000;1.0
52;EV_Vehicles_4000;pipeline;8000;0.76
53;EV_Vehicles_4000;baseline;8000;1.0
54;EV_Vehicles_4000;pipeline;12000;0.76
55;EV_Vehicles_4000;baseline;12000;1.0
56;EV_Vehicles_4000;pipeline;16000;0.74
57;EV_Vehicles_4000;baseline;16000;0.95
58;EV_Vehicles_4000;pipeline;20000;0.49
59;EV_Vehicles_4000;baseline;20000;0.6
60;F1_REBUILT_5000;pipeline;350;0.0
61;F1_REBUILT_5000;baseline;350;1.0
62;F1_REBUILT_5000;pipeline;700;0.0
63;F1_REBUILT_5000;baseline;700;1.0
64;F1_REBUILT_5000;pipeline;1050;0.0
65;F1_REBUILT_5000;baseline;1050;1.0
66;F1_REBUILT_5000;pipeline;1400;0.0
67;F1_REBUILT_5000;baseline;1400;1.0
68;F1_REBUILT_5000;pipeline;1750;0.0
69;F1_REBUILT_5000;baseline;1750;1.0
70;F1_REBUILT_5000;pipeline;3500;0.07
71;F1_REBUILT_5000;baseline;3500;1.0
72;F1_REBUILT_5000;pipeline;7000;0.05
73;F1_REBUILT_5000;baseline;7000;1.0
74;F1_REBUILT_5000;pipeline;10500;0.23
75;F1_REBUILT_5000;baseline;10500;1.0
76;F1_REBUILT_5000;pipeline;14000;0.2
77;F1_REBUILT_5000;baseline;14000;1.0
78;F1_REBUILT_5000;pipeline;17500;0.6
79;F1_REBUILT_5000;baseline;17500;1.0
80;Med_Ch_2500;pipeline;300;0.23
81;Med_Ch_2500;baseline;300;0.64
82;Med_Ch_2500;pipeline;600;0.25
83;Med_Ch_2500;baseline;600;0.75
84;Med_Ch_2500;pipeline;900;0.24
85;Med_Ch_2500;baseline;900;0.82
86;Med_Ch_2500;pipeline;1200;0.26
87;Med_Ch_2500;baseline;1200;0.91
88;Med_Ch_2500;pipeline;1500;0.32
89;Med_Ch_2500;baseline;1500;0.91
90;Med_Ch_2500;pipeline;3000;0.36
91;Med_Ch_2500;baseline;3000;0.95
92;Med_Ch_2500;pipeline;6000;0.45
93;Med_Ch_2500;baseline;6000;0.83
94;Med_Ch_2500;pipeline;9000;0.45
95;Med_Ch_2500;baseline;9000;0.7
96;Med_Ch_2500;pipeline;12000;0.39
97;Med_Ch_2500;baseline;12000;0.57
98;Med_Ch_2500;pipeline;15000;0.34
99;Med_Ch_2500;baseline;15000;0.56
100;MotoGP_REBUILT_3000;pipeline;360;0.79
101;MotoGP_REBUILT_3000;baseline;360;1.0
102;MotoGP_REBUILT_3000;pipeline;720;0.77
103;MotoGP_REBUILT_3000;baseline;720;1.0
104;MotoGP_REBUILT_3000;pipeline;1080;0.72
105;MotoGP_REBUILT_3000;baseline;1080;1.0
106;MotoGP_REBUILT_3000;pipeline;1440;0.68
107;MotoGP_REBUILT_3000;baseline;1440;1.0
108;MotoGP_REBUILT_3000;pipeline;1800;0.59
109;MotoGP_REBUILT_3000;baseline;1800;1.0
110;MotoGP_REBUILT_3000;pipeline;3600;0.5
111;MotoGP_REBUILT_3000;baseline;3600;1.0
112;MotoGP_REBUILT_3000;pipeline;7200;0.49
113;MotoGP_REBUILT_3000;baseline;7200;0.99
114;MotoGP_REBUILT_3000;pipeline;10800;0.36
115;MotoGP_REBUILT_3000;baseline;10800;0.63
116;MotoGP_REBUILT_3000;pipeline;14400;0.35
117;MotoGP_REBUILT_3000;baseline;14400;0.55
118;MotoGP_REBUILT_3000;pipeline;18000;0.33
119;MotoGP_REBUILT_3000;baseline;18000;0.52
120;NBA_3200;pipeline;384;0.64
121;NBA_3200;baseline;384;0.93
122;NBA_3200;pipeline;768;0.64
123;NBA_3200;baseline;768;0.93
124;NBA_3200;pipeline;1152;0.65
125;NBA_3200;baseline;1152;0.97
126;NBA_3200;pipeline;1536;0.66
127;NBA_3200;baseline;1536;0.99
128;NBA_3200;pipeline;1920;0.66
129;NBA_3200;baseline;1920;0.99
130;NBA_3200;pipeline;3840;0.67
131;NBA_3200;baseline;3840;0.94
132;NBA_3200;pipeline;7680;0.67
133;NBA_3200;baseline;7680;0.9
134;NBA_3200;pipeline;11520;0.53
135;NBA_3200;baseline;11520;0.7
136;NBA_3200;pipeline;15360;0.41
137;NBA_3200;baseline;15360;0.52
138;NBA_3200;pipeline;19200;0.42
139;NBA_3200;baseline;19200;0.55
140;superstore_4500;pipeline;495;0.25
141;superstore_4500;baseline;495;1.0
142;superstore_4500;pipeline;990;0.23
143;superstore_4500;baseline;990;1.0
144;superstore_4500;pipeline;1485;0.31
145;superstore_4500;baseline;1485;1.0
146;superstore_4500;pipeline;1980;0.4
147;superstore_4500;baseline;1980;1.0
148;superstore_4500;pipeline;2475;0.34
149;superstore_4500;baseline;2475;1.0
150;superstore_4500;pipeline;4950;0.43
151;superstore_4500;baseline;4950;1.0
152;superstore_4500;pipeline;9900;0.5
153;superstore_4500;baseline;9900;1.0
154;superstore_4500;pipeline;14850;0.47
155;superstore_4500;baseline;14850;1.0
156;superstore_4500;pipeline;19800;0.47
157;superstore_4500;baseline;19800;0.93
158;superstore_4500;pipeline;24750;0.42
159;superstore_4500;baseline;24750;0.69
160;US_Presidents_3754;pipeline;375;0.81
161;US_Presidents_3754;baseline;375;0.85
162;US_Presidents_3754;pipeline;751;0.81
163;US_Presidents_3754;baseline;751;0.89
164;US_Presidents_3754;pipeline;1126;0.78
165;US_Presidents_3754;baseline;1126;0.93
166;US_Presidents_3754;pipeline;1502;0.71
167;US_Presidents_3754;baseline;1502;0.91
168;US_Presidents_3754;pipeline;1877;0.73
169;US_Presidents_3754;baseline;1877;0.94
170;US_Presidents_3754;pipeline;3754;0.67
171;US_Presidents_3754;baseline;3754;0.96
172;US_Presidents_3754;pipeline;7508;0.69
173;US_Presidents_3754;baseline;7508;0.91
174;US_Presidents_3754;pipeline;11262;0.68
175;US_Presidents_3754;baseline;11262;0.86
176;US_Presidents_3754;pipeline;15016;0.51
177;US_Presidents_3754;baseline;15016;0.61
178;US_Presidents_3754;pipeline;18770;0.44
179;US_Presidents_3754;baseline;18770;0.59
180;cars;pipeline;37;0.82
181;cars;baseline;37;0.82
182;cars;pipeline;73;0.86
183;cars;baseline;73;0.85
184;cars;pipeline;110;0.79
185;cars;baseline;110;0.83
186;cars;pipeline;146;0.79
187;cars;baseline;146;0.76
188;cars;pipeline;183;0.82
189;cars;baseline;183;0.83
190;cars;pipeline;365;0.77
191;cars;baseline;365;0.78
192;cars;pipeline;731;0.75
193;cars;baseline;731;0.66
194;cars;pipeline;1096;0.62
195;cars;baseline;1096;0.72
196;cars;pipeline;1462;0.48
197;cars;baseline;1462;0.85
198;cars;pipeline;1827;0.11
199;cars;baseline;1827;1.0
200;police;pipeline;198;0.05
201;police;baseline;198;0.32
202;police;pipeline;397;0.06
203;police;baseline;397;0.51
204;police;pipeline;595;0.11
205;police;baseline;595;0.58
206;police;pipeline;793;0.15
207;police;baseline;793;0.61
208;police;pipeline;992;0.19
209;police;baseline;992;0.66
210;police;pipeline;1984;0.2
211;police;baseline;1984;0.71
212;police;pipeline;3967;0.33
213;police;baseline;3967;0.86
214;police;pipeline;5951;0.39
215;police;baseline;5951;0.97
216;police;pipeline;7934;0.51
217;police;baseline;7934;1.0
218;police;pipeline;9918;0.61
219;police;baseline;9918;1.0
220;restaurant;pipeline;52;0.17
221;restaurant;baseline;52;0.4
222;restaurant;pipeline;104;0.17
223;restaurant;baseline;104;0.65
224;restaurant;pipeline;156;0.2
225;restaurant;baseline;156;0.82
226;restaurant;pipeline;207;0.27
227;restaurant;baseline;207;0.75
228;restaurant;pipeline;259;0.25
229;restaurant;baseline;259;0.72
230;restaurant;pipeline;518;0.37
231;restaurant;baseline;518;0.83
232;restaurant;pipeline;1037;0.42
233;restaurant;baseline;1037;0.88
234;restaurant;pipeline;1555;0.43
235;restaurant;baseline;1555;1.0
236;restaurant;pipeline;2074;0.5
237;restaurant;baseline;2074;1.0
238;restaurant;pipeline;2592;0.6
239;restaurant;baseline;2592;1.0
240;IoT_Telemetry3000;pipeline;240;0.47
241;IoT_Telemetry3000;baseline;240;1.0
242;IoT_Telemetry3000;pipeline;480;0.5
243;IoT_Telemetry3000;baseline;480;1.0
244;IoT_Telemetry3000;pipeline;720;0.43
245;IoT_Telemetry3000;baseline;720;1.0
246;IoT_Telemetry3000;pipeline;960;0.43
247;IoT_Telemetry3000;baseline;960;1.0
248;IoT_Telemetry3000;pipeline;1200;0.5
249;IoT_Telemetry3000;baseline;1200;1.0
250;IoT_Telemetry3000;pipeline;2400;0.4
251;IoT_Telemetry3000;baseline;2400;1.0
252;IoT_Telemetry3000;pipeline;4800;0.67
253;IoT_Telemetry3000;baseline;4800;1.0
254;IoT_Telemetry3000;pipeline;7200;0.52
255;IoT_Telemetry3000;baseline;7200;1.0
256;IoT_Telemetry3000;pipeline;9600;0.58
257;IoT_Telemetry3000;baseline;9600;1.0
258;IoT_Telemetry3000;pipeline;12000;0.43
259;IoT_Telemetry3000;baseline;12000;1.0
