dataset;algoritmo;MV;recall;precision;version;correct_imp;similar_imp;wrong_imp;rmse
Air_9000;Hybrid;1170;0.1076923076923077;0.9618320610687024;1;0;126;5;0.0116274878319627
Air_9000;Hybrid;1170;0.1384615384615384;0.9529411764705882;2;0;162;8;0.0011034704612374
Air_9000;Hybrid;1170;0.1239316239316239;0.935483870967742;3;0;145;10;0.0050494330566458
Air_9000;Hybrid;1170;0.1282051282051282;0.974025974025974;4;0;150;4;0.0005096471914376
Air_9000;Hybrid;1170;0.1153846153846153;0.9574468085106383;5;0;135;6;0.0022281245492773
Air_9000;Hybrid;2340;0.1247863247863247;0.954248366013072;1;0;292;14;0.0549756036207339
Air_9000;Hybrid;2340;0.1141025641025641;0.9434628975265018;2;0;267;16;0.0570074386070546
Air_9000;Hybrid;2340;0.1209401709401709;0.956081081081081;3;0;283;13;0.0136442493578994
Air_9000;Hybrid;2340;0.1264957264957265;0.961038961038961;4;0;296;12;0.0213675321123294
Air_9000;Hybrid;2340;0.1354700854700854;0.935103244837758;5;0;317;22;0.0533707188289476
Air_9000;Hybrid;3510;0.1307692307692307;0.9483471074380164;1;0;459;25;0.0613550162295547
Air_9000;Hybrid;3510;0.1327635327635327;0.9282868525896414;2;0;466;36;0.0438598138041222
Air_9000;Hybrid;3510;0.1287749287749287;0.9436325678496869;3;0;452;27;0.0441477638413551
Air_9000;Hybrid;3510;0.1225071225071225;0.9555555555555556;4;0;430;20;0.0636698952060983
Air_9000;Hybrid;3510;0.1039886039886039;0.9505208333333334;5;0;365;19;0.0029474565306378
Air_9000;Hybrid;4680;0.1316239316239316;0.9361702127659576;1;0;616;42;0.0977861633289793
Air_9000;Hybrid;4680;0.1256410256410256;0.9468599033816424;2;0;588;33;0.0541176031975309
Air_9000;Hybrid;4680;0.123076923076923;0.9396411092985318;3;0;576;37;0.0671392723548058
Air_9000;Hybrid;4680;0.1344017094017094;0.9430284857571214;4;0;629;38;0.0741735777765904
Air_9000;Hybrid;4680;0.1237179487179487;0.9353796445880452;5;0;579;40;0.0073236951398053
Air_9000;Hybrid;5850;0.128034188034188;0.9281288723667904;1;0;749;58;0.0828495673220584
Air_9000;Hybrid;5850;0.1188034188034188;0.9417344173441734;2;0;695;43;0.0715613614689138
Air_9000;Hybrid;5850;0.1208547008547008;0.9364238410596026;3;0;707;48;0.0092251455955057
Air_9000;Hybrid;5850;0.1188034188034188;0.9341397849462364;4;0;695;49;0.0348501400006444
Air_9000;Hybrid;5850;0.1317948717948718;0.948339483394834;5;0;771;42;0.0584852563921212
Air_9000;Hybrid;11700;0.1083760683760683;0.851006711409396;1;0;1268;222;0.0945010954803163
Air_9000;Hybrid;11700;0.1292307692307692;0.8795811518324608;2;0;1512;207;0.0545751479281431
Air_9000;Hybrid;11700;0.1089743589743589;0.8709016393442623;3;0;1275;189;0.0778847053175678
Air_9000;Hybrid;11700;0.1232478632478632;0.8452520515826495;4;0;1442;264;0.1213209196033869
Air_9000;Hybrid;11700;0.1062393162393162;0.8376010781671159;5;0;1243;241;0.1099916071289715
Air_9000;Hybrid;23400;0.1008119658119658;0.5301123595505618;1;0;2359;2091;0.2245441144315343
Air_9000;Hybrid;23400;0.0926923076923077;0.525181598062954;2;0;2169;1961;0.2273764049763096
Air_9000;Hybrid;23400;0.1019230769230769;0.5746987951807229;3;0;2385;1765;0.1724252336661291
Air_9000;Hybrid;23400;0.0953846153846153;0.5170257123002084;4;0;2232;2085;0.1979615670390446
Air_9000;Hybrid;23400;0.088076923076923;0.5410868994486742;5;0;2061;1748;0.1469885649472639
Air_9000;Hybrid;35100;0.0327065527065527;0.090450677592184;1;0;1148;11544;0.3664651112312963
Air_9000;Hybrid;35100;0.0335897435897435;0.1661733615221987;2;0;1179;5916;0.2366470751898546
Air_9000;Hybrid;35100;0.0449857549857549;0.1736691597008359;3;0;1579;7513;0.2577663894859338
Air_9000;Hybrid;35100;0.0398575498575498;0.1335305908179822;4;0;1399;9078;0.2872024058302277
Air_9000;Hybrid;35100;0.0268945868945868;0.0940707523667165;5;0;944;9091;0.337438021030335
Air_9000;Hybrid;46800;0.0285897435897435;0.1156039398652151;1;0;1338;10236;0.3287110127895764
Air_9000;Hybrid;46800;0.0431410256410256;0.1501338488994646;2;0;2019;11429;0.2664918906757824
Air_9000;Hybrid;46800;0.0456410256410256;0.1774086378737541;3;0;2136;9904;0.2863170515123188
