dataset;algoritmo;MV;recall;precision;version;correct_imp;similar_imp;wrong_imp;rmse
restaurant;BaselineD;52;0.36538461538461536;0.38;1;13;6;31;0.7040701101452894
restaurant;BaselineD;104;0.4423076923076923;0.4423076923076923;1;37;9;58;0.6851715675092458
restaurant;BaselineD;156;0.3717948717948718;0.3741935483870968;1;45;13;97;0.7034879231831318
restaurant;BaselineD;207;0.4106280193236715;0.41262135922330095;1;54;31;121;0.7309872297770238
restaurant;BaselineD;259;0.4092664092664093;0.4092664092664093;1;74;32;153;0.7275658841851479
cars;BaselineD;37;0.7567567567567568;0.7567567567567568;1;16;12;9;0.14352361139208777
cars;BaselineD;73;0.1506849315068493;1.0;1;11;0;0;0.0
cars;BaselineD;110;0.6727272727272727;0.6727272727272727;1;32;42;36;0.19679003577879184
cars;BaselineD;146;0.678082191780822;0.678082191780822;1;49;50;47;0.19521258170208833
cars;BaselineD;183;0.73224043715847;0.73224043715847;1;67;67;49;0.16991960490522431
Boeing_898;BaselineD;90;0.6111111111111112;0.6626506024096386;1;46;9;28;0.4933897381735252
Boeing_898;BaselineD;180;0.6444444444444445;0.6480446927374302;1;99;17;63;0.4775853604711025
Boeing_898;BaselineD;269;0.5724907063197026;0.5855513307984791;1;131;23;109;0.4921070048094311
Boeing_898;BaselineD;359;0.5598885793871866;0.5759312320916905;1;163;38;148;0.5294663367195291
Boeing_898;BaselineD;449;0.5233853006681515;0.5414746543778802;1;197;38;199;0.5181686690501979
restaurant;Derand;52;0.38461538461538464;0.38461538461538464;1;13;7;32;0.7177118556163801
restaurant;Derand;104;0.4423076923076923;0.4423076923076923;1;37;9;58;0.6851715675092458
restaurant;Derand;156;0.3717948717948718;0.3741935483870968;1;45;13;97;0.7034879231831318
restaurant;Derand;207;0.4106280193236715;0.4106280193236715;1;54;31;122;0.7358143800798997
restaurant;Derand;259;0.4092664092664093;0.4092664092664093;1;75;31;153;0.7275658841851479
