dataset;algoritmo;MV;recall;precision;version;correct_imp;similar_imp;wrong_imp;rmse
EV_Vehicles_4000;Baseline;400;0.3125;1.0;1;125;0;0;0.0
EV_Vehicles_4000;Baseline;800;0.26;0.9952153110047847;1;208;0;1;0.06917144638660747
EV_Vehicles_4000;Baseline;1200;0.3416666666666667;0.9131403118040089;1;410;0;39;0.29471967731386906
EV_Vehicles_4000;Baseline;1600;0.300625;0.8589285714285714;1;481;0;79;0.3755947664324259
EV_Vehicles_4000;Baseline;2000;0.261;0.9867674858223062;1;522;0;7;0.11503266569846046
EV_Vehicles_4000;Baseline;4000;0.26925;0.9260533104041273;1;1077;0;86;0.2719314060491593
EV_Vehicles_4000;Baseline;8000;0.31275;0.8089233753637245;1;2459;43;591;0.37778920893617296
EV_Vehicles_4000;Baseline;12000;0.19616666666666666;0.6549805230940456;1;2322;32;1240;0.5316450692787146
EV_Vehicles_4000;Baseline;16000;0.0014375;0.0172543135783946;1;23;0;1310;0.9578329864895571
EV_Vehicles_4000;Baseline;20000;0.00095;0.010692177827799663;1;19;0;1758;0.9930605401250241
EV_Vehicles_4000;Pipeline;400;0.1275;1.0;1;51;0;0;0.0
EV_Vehicles_4000;Pipeline;800;0.09125;1.0;1;73;0;0;0.0
EV_Vehicles_4000;Pipeline;1200;0.09166666666666666;1.0;1;110;0;0;0.0
EV_Vehicles_4000;Pipeline;1600;0.095625;1.0;1;153;0;0;0.0
EV_Vehicles_4000;Pipeline;2000;0.0965;1.0;1;193;0;0;0.0
EV_Vehicles_4000;Pipeline;4000;0.09975;1.0;1;399;0;0;0.0
EV_Vehicles_4000;Pipeline;8000;0.167125;0.9896373056994818;1;1337;0;14;0.10179731971185751
EV_Vehicles_4000;Pipeline;12000;0.21658333333333332;0.8634551495016611;1;2599;0;411;0.36951975657377084
EV_Vehicles_4000;Pipeline;16000;0.208125;0.6324786324786325;1;3220;110;1935;0.5206850424107777
EV_Vehicles_4000;Pipeline;20000;0.1729;0.5916167664670658;1;3147;311;2387;0.584458003110139
EV_Vehicles_4000;Pipeline_noRev;400;0.175;0.9859154929577465;1;70;0;1;0.11867816581938534
EV_Vehicles_4000;Pipeline_noRev;800;0.12875;0.9716981132075472;1;103;0;3;0.16823164622761327
EV_Vehicles_4000;Pipeline_noRev;1200;0.14916666666666667;0.9572192513368984;1;177;2;8;0.19380185867996078
EV_Vehicles_4000;Pipeline_noRev;1600;0.15875;0.9136690647482014;1;251;3;24;0.2559499304678062
EV_Vehicles_4000;Pipeline_noRev;2000;0.157;0.9874213836477987;1;313;1;4;0.05674975410691193
EV_Vehicles_4000;Pipeline_noRev;4000;0.177;0.945260347129506;1;704;4;41;0.20120921167402675
EV_Vehicles_4000;Pipeline_noRev;8000;0.220125;0.8752485089463221;1;1739;22;251;0.31071352262357865
EV_Vehicles_4000;Pipeline_noRev;12000;0.2155;0.6315018315018315;1;2551;35;1509;0.5488590109667635
EV_Vehicles_4000;Pipeline_noRev;16000;0.1965;0.5002386634844869;1;3030;114;3141;0.5884343631041465
EV_Vehicles_4000;Pipeline_noRev;20000;0.18255;0.5238915195867413;1;3187;464;3318;0.6054940949422275
EV_Vehicles_4000;Hybrid;400;0.175;0.9859154929577465;1;70;0;1;0.11867816581938534
EV_Vehicles_4000;Hybrid;800;0.12875;0.9716981132075472;1;103;0;3;0.16823164622761327
EV_Vehicles_4000;Hybrid;1200;0.14916666666666667;0.9572192513368984;1;177;2;8;0.19380185867996078
EV_Vehicles_4000;Hybrid;1600;0.15875;0.9136690647482014;1;251;3;24;0.2559499304678062
EV_Vehicles_4000;Hybrid;2000;0.157;0.9874213836477987;1;313;1;4;0.05674975410691193
EV_Vehicles_4000;Hybrid;4000;0.177;0.945260347129506;1;704;4;41;0.20120921167402675
EV_Vehicles_4000;Hybrid;8000;0.223;0.8866799204771372;1;1762;22;228;0.2917387214792339
EV_Vehicles_4000;Hybrid;12000;0.2385;0.6989010989010989;1;2827;35;1233;0.4835772394562698
EV_Vehicles_4000;Hybrid;16000;0.2141875;0.545266507557677;1;3301;126;2858;0.5602243892128353
EV_Vehicles_4000;Hybrid;20000;0.1835;0.5266178791792223;1;3222;448;3299;0.6014813360989897
EV_Vehicles_4000;Baseline20;400;0.2875;1.0;1;115;0;0;0.0
EV_Vehicles_4000;Baseline20;800;0.2525;1.0;1;202;0;0;0.0
EV_Vehicles_4000;Baseline20;1200;0.22083333333333333;0.9962406015037594;1;265;0;1;0.06131393394849658
EV_Vehicles_4000;Baseline20;1600;0.278125;0.9044715447154471;1;445;0;47;0.30907677894748553
EV_Vehicles_4000;Baseline20;2000;0.2355;0.9874213836477987;1;471;0;6;0.11215443081840885
EV_Vehicles_4000;Baseline20;4000;0.24225;0.9398642095053347;1;969;0;62;0.24522599881469617
EV_Vehicles_4000;Baseline20;8000;0.3415;0.8675770085741505;1;2665;67;417;0.3364662154384455
EV_Vehicles_4000;Baseline20;12000;0.20958333333333334;0.6621906266456029;1;2491;24;1283;0.539942286717555
EV_Vehicles_4000;Baseline20;16000;0.145875;0.5247302158273381;1;2268;66;2114;0.605965029256354
EV_Vehicles_4000;Baseline20;20000;0.10495;0.4549198092761162;1;1411;688;2515;0.6091916435771623
EV_Vehicles_4000;Baseline;400;0.3;0.916030534351145;2;120;0;11;0.2897748533756077
EV_Vehicles_4000;Baseline;800;0.295;0.944;2;236;0;14;0.23664319132398465
