?;?;-1;?;jan;cellular;28;?
110;?;-1;520;?;unknown;?;?
378;unknown;-1;1314;jul;cellular;38;?
358;unknown;-1;28;feb;cellular;?;1
?;?;-1;?;aug;cellular;?;?
59;?;-1;2362;jul;?;?;1
?;?;?;106;?;?;27;1
130;unknown;?;337;jan;?;?;?
713;unknown;?;336;may;unknown;34;1
?;unknown;?;?;?;?;?;1
193;?;?;145;?;unknown;53;1
155;?;-1;8;jul;cellular;41;?
?;?;-1;?;aug;cellular;?;?
77;failure;185;?;?;cellular;?;?
542;other;340;?;?;cellular;?;1
156;?;?;10;jul;?;?;1
135;?;336;146;apr;cellular;?;1
480;unknown;-1;?;?;cellular;?;1
329;?;-1;2919;may;unknown;41;?
?;unknown;?;?;jun;unknown;39;1
129;?;?;-85;?;cellular;?;1
?;?;-1;395;?;cellular;30;?
420;?;?;59;?;?;?;1
?;?;?;?;jul;cellular;48;1
127;unknown;-1;?;?;cellular;?;?
41;failure;?;?;?;telephone;?;?
141;failure;?;?;?;?;34;?
788;other;331;141;?;cellular;39;1
104;?;?;?;aug;cellular;59;?
?;?;-1;?;aug;cellular;?;1
300;unknown;-1;0;?;unknown;?;1
215;failure;?;481;may;?;?;1
674;unknown;?;?;may;?;?;?
67;unknown;-1;?;?;cellular;?;1
628;unknown;?;?;?;?;39;1
203;?;-1;1047;aug;cellular;32;1
52;?;?;?;?;cellular;?;1
?;failure;?;?;apr;?;33;1
?;?;?;?;jul;?;40;1
33;?;-1;58;?;telephone;47;1
?;?;?;2163;?;cellular;?;1
67;?;?;?;aug;?;32;1
?;?;-1;964;may;unknown;?;1
?;?;?;113;feb;?;57;1
?;unknown;?;?;may;unknown;?;?
?;?;?;?;?;unknown;?;?
?;?;?;198;may;?;42;?
?;unknown;-1;284;?;?;?;1
420;?;?;?;?;unknown;33;1
?;?;-1;372;?;?;?;?
66;?;?;?;?;unknown;?;?
88;unknown;-1;613;feb;cellular;32;1
?;unknown;?;?;jun;?;55;1
164;unknown;-1;?;?;cellular;44;?
109;?;?;?;jul;cellular;46;?
174;unknown;-1;?;aug;?;35;?
23;unknown;-1;2208;may;?;?;?
67;unknown;?;?;may;unknown;30;1
133;?;-1;?;?;cellular;53;?
?;?;?;?;?;cellular;?;1
?;?;?;1286;aug;?;30;?
493;?;-1;?;?;cellular;32;?
?;?;?;2131;?;?;34;1
53;?;-1;211;feb;?;?;1
106;?;-1;?;?;?;?;?
124;failure;369;326;may;cellular;?;?
?;?;237;?;jan;cellular;36;?
?;?;?;0;jul;cellular;?;?
169;unknown;?;1;jul;cellular;38;1
66;unknown;-1;?;?;?;?;?
529;?;?;?;apr;?;?;1
118;other;196;?;?;cellular;?;?
?;unknown;?;?;jul;?;?;1
1118;?;?;?;oct;cellular;?;1
145;unknown;?;?;?;?;30;?
1880;unknown;?;?;may;cellular;?;?
84;unknown;?;?;feb;cellular;27;1
867;unknown;-1;?;apr;?;?;1
?;?;?;?;?;?;58;?
?;unknown;?;272;?;unknown;?;?
?;?;-1;?;nov;?;34;?
197;unknown;?;?;nov;?;?;?
?;unknown;?;?;jun;?;58;?
103;unknown;?;786;?;?;?;1
?;?;-1;6419;aug;?;33;?
?;?;?;5486;may;?;?;1
332;failure;335;270;apr;?;35;?
198;?;167;?;may;cellular;?;?
125;unknown;-1;?;?;cellular;?;1
?;unknown;-1;0;may;?;?;1
65;?;?;?;aug;?;30;?
?;unknown;?;?;may;unknown;?;1
?;?;?;?;apr;cellular;38;1
?;unknown;?;?;feb;?;42;1
128;?;-1;205;may;?;47;1
?;unknown;-1;-72;?;unknown;?;?
754;?;143;?;apr;cellular;45;1
?;?;?;42;jun;unknown;?;1
129;?;?;?;?;cellular;?;?
?;unknown;-1;?;?;?;?;?
?;?;?;?;?;?;?;1
?;unknown;?;?;?;?;60;?
174;failure;195;?;nov;?;?;?
?;unknown;-1;3172;?;cellular;56;1
188;?;?;1612;?;?;?;?
?;?;?;1009;?;cellular;34;1
?;unknown;-1;187;may;unknown;32;1
585;?;?;288;?;cellular;48;1
758;unknown;?;?;?;cellular;45;1
92;unknown;?;104;jun;?;59;?
381;unknown;-1;3795;?;cellular;?;1
?;?;-1;?;?;unknown;23;1
?;unknown;-1;519;?;unknown;21;?
?;?;-1;54;?;unknown;?;?
?;?;203;?;?;cellular;39;1
78;?;-1;?;?;?;?;?
32;?;?;0;jul;telephone;?;?
66;unknown;?;56;may;unknown;28;1
210;unknown;-1;?;may;?;41;?
?;?;-1;1382;jul;cellular;60;?
?;unknown;-1;?;?;cellular;?;1
?;?;-1;0;apr;cellular;31;1
127;?;-1;?;apr;?;?;?
?;?;?;?;nov;cellular;35;1
?;unknown;?;?;?;?;?;1
?;unknown;-1;?;?;cellular;?;?
56;?;-1;215;jul;cellular;?;?
?;?;?;767;?;?;37;1
?;unknown;-1;-1361;nov;cellular;46;1
214;unknown;?;?;?;cellular;?;1
992;other;?;?;may;?;55;1
?;unknown;?;11;?;cellular;34;?
?;unknown;?;21;feb;telephone;?;?
52;?;-1;?;jan;?;38;?
?;unknown;-1;?;jun;?;?;?
361;?;?;6791;aug;telephone;28;?
?;?;-1;?;?;unknown;?;1
117;?;?;?;aug;cellular;?;1
?;unknown;?;?;?;?;?;?
758;?;-1;351;jun;unknown;?;1
98;?;-1;315;?;?;59;1
?;?;?;?;?;?;44;1
?;unknown;-1;?;?;cellular;?;1
342;?;-1;17;aug;?;56;?
91;unknown;-1;?;?;cellular;57;?
?;unknown;?;1046;?;unknown;39;?
305;unknown;?;0;?;?;?;?
134;unknown;?;-17;aug;?;51;?
?;unknown;-1;?;may;?;30;1
91;?;?;-71;?;cellular;?;1
?;unknown;-1;-2;aug;cellular;?;?
?;unknown;?;61;?;?;?;?
189;failure;326;?;?;?;?;1
88;?;?;?;?;cellular;59;1
235;failure;169;366;feb;cellular;45;?
155;?;?;6215;?;unknown;?;?
90;?;?;0;?;?;47;1
41;unknown;?;?;aug;cellular;48;?
305;?;?;545;may;?;?;?
154;?;-1;?;aug;?;?;1
106;?;-1;?;?;telephone;56;?
134;?;?;260;?;cellular;?;?
72;unknown;-1;396;?;unknown;?;1
?;?;-1;1208;?;telephone;?;1
130;unknown;-1;?;?;cellular;42;?
38;unknown;-1;?;?;?;39;?
65;unknown;?;284;?;?;?;?
151;?;?;3886;?;?;32;?
127;unknown;-1;?;?;?;46;1
?;?;?;?;nov;telephone;?;1
?;unknown;-1;-112;jul;?;31;1
?;?;?;5776;nov;?;?;?
187;unknown;-1;186;?;?;36;?
270;?;?;?;jun;unknown;38;?
?;?;?;371;?;?;41;?
?;?;-1;?;?;?;55;?
740;?;-1;?;jul;?;?;1
?;?;?;3111;may;unknown;?;1
?;?;322;?;apr;cellular;?;?
44;unknown;?;?;?;?;?;1
?;unknown;?;363;?;unknown;?;?
?;?;-1;?;?;?;49;?
?;success;285;897;?;cellular;28;?
?;?;?;158;jul;?;26;?
?;unknown;?;1225;?;cellular;?;?
168;?;?;385;aug;cellular;?;?
?;failure;?;0;?;?;34;?
?;?;-1;790;?;?;?;1
?;unknown;-1;?;?;cellular;?;1
?;?;?;?;may;?;?;?
686;unknown;-1;-1105;may;?;30;1
661;failure;190;?;?;?;47;1
?;unknown;-1;?;feb;?;48;?
?;?;-1;-34;may;?;?;1
?;?;-1;33;?;cellular;35;?
75;?;-1;?;may;?;41;?
?;unknown;?;?;may;unknown;45;1
?;?;-1;5728;?;cellular;52;1
?;?;202;?;?;?;49;1
?;?;-1;696;may;telephone;67;1
?;failure;?;265;?;?;?;?
