Dataset,RFDs Found,RFDs Not Found,Generalizations,Specializations,New RFDs
cars,11.76,47.82,0.79,39.63,63.77
restaurant,38.0,5.33,29.0,27.66,41.72
boeing,7.2,32.88,11.92,48.0,40.62
Cats_1071,9.83,69.67,7.84,12.67,86.96
police,54.74,6.67,36.59,2.0,20.14
IoT_Telemetry,27.66,26.33,2.0,45.33,83.62
actor,51.5,11.38,13.88,23.25,37.67
med,34.99,0.88,23.44,40.69,53.7
f1,82.0,5.0,1.67,11.33,11.2
motogp,15.57,27.57,13.73,43.14,65.88
president,9.91,46.38,0.0,43.71,80.3
nba,9.59,28.36,3.54,58.51,59.9
vehicles,24.72,70.61,0.0,4.67,21.99
superstore,33.15,9.67,46.3,10.89,44.59
Air_9000,27.36,6.38,65.77,0.5,28.45
