Dataset,RFDs Found,RFDs Not Found,Generalizations,Specializations,New RFDs
cars,0.0,62.06,0.0,37.94,51.06
restaurant,8.0,69.0,0.0,23.0,13.92
boeing,0.0,45.12,3.84,51.04,54.54
Cats_1071,0.17,77.67,0.67,21.5,26.75
police,11.56,55.85,0.0,32.59,0.24
IoT_Telemetry,0.0,100.0,0.0,0.0,0.0
actor,2.12,83.12,0.0,14.75,8.16
med,3.83,56.75,0.0,39.42,38.24
f1,0.0,100.0,0.0,0.0,0.0
motogp,0.05,73.84,0.05,26.05,20.92
president,0.0,68.95,0.0,31.05,42.41
nba,0.0,68.26,0.0,31.74,41.66
vehicles,0.0,91.03,0.0,8.97,8.96
superstore,0.0,92.48,0.0,7.52,5.95
Air_9000,0.06,80.38,0.0,19.55,20.63
