Dataset,Missing Rate,RFDs Found,RFDs Not Found,Generalizations,Specializations,New RFDs
actor,1,56.25,6.25,0.0,37.5,27.93
actor,2,58.75,7.5,0.0,33.75,29.21
actor,3,56.25,6.25,0.0,37.5,36.57
actor,4,56.25,6.25,0.0,37.5,39.22
actor,5,60.0,18.75,2.5,18.75,28.82
boeing,1,5.6,50.4,0.0,44.0,23.0
boeing,2,4.0,29.6,0.8,65.6,13.92
boeing,3,4.0,40.0,4.0,52.0,27.05
boeing,4,4.8,44.0,16.0,35.2,36.61
boeing,5,4.0,48.0,0.8,47.2,30.06
boeing,10,3.2,50.4,12.0,34.4,44.38
boeing,20,1.6,40.8,13.6,44.0,47.3
boeing,30,0.0,14.4,24.0,61.6,51.06
boeing,40,4.0,8.8,24.0,63.2,67.0
boeing,50,40.8,2.4,24.0,32.8,65.81
vehicles,1,24.24,75.76,0.0,0.0,11.11
vehicles,2,24.24,75.76,0.0,0.0,11.11
vehicles,3,24.24,75.76,0.0,0.0,11.11
vehicles,4,24.24,75.76,0.0,0.0,11.11
vehicles,5,24.24,75.76,0.0,0.0,11.11
vehicles,10,24.24,75.76,0.0,0.0,11.11
vehicles,20,24.24,75.76,0.0,0.0,26.56
vehicles,30,24.24,75.76,0.0,0.0,30.92
vehicles,40,24.24,72.73,0.0,3.03,45.79
vehicles,50,29.09,27.27,0.0,43.63,50.0
f1,1,100.0,0.0,0.0,0.0,0.0
f1,2,100.0,0.0,0.0,0.0,0.0
f1,3,100.0,0.0,0.0,0.0,0.0
f1,4,100.0,0.0,0.0,0.0,0.0
f1,5,100.0,0.0,0.0,0.0,0.0
f1,10,93.33,6.67,0.0,0.0,5.0
f1,20,93.33,3.33,0.0,3.33,20.71
f1,30,66.67,13.33,6.67,13.33,22.52
f1,40,66.67,6.67,0.0,26.67,30.35
f1,50,0.0,20.0,10.0,70.0,33.37
med,1,53.55,0.0,2.37,44.09,53.4
med,2,49.89,0.43,4.73,44.95,54.33
med,3,52.04,0.0,3.66,44.3,56.4
med,4,47.74,0.0,8.17,44.09,54.14
med,5,37.85,1.94,16.13,44.09,56.85
med,10,29.03,0.65,23.44,46.88,55.24
med,20,12.26,1.29,39.14,47.31,51.68
med,30,12.9,3.23,38.92,44.95,53.46
med,40,21.72,0.22,48.39,29.68,53.09
med,50,32.9,1.08,49.46,16.56,48.37
motogp,1,10.27,68.11,2.7,18.92,55.77
motogp,2,9.19,63.79,5.4,21.62,62.24
motogp,3,7.57,51.35,9.73,31.35,71.48
motogp,4,8.11,44.87,9.73,37.3,62.62
motogp,5,1.62,20.54,18.38,59.46,70.55
motogp,10,2.16,2.7,18.92,76.22,62.83
