23;Female;?;?;?;No;?;8.0;?;6;Master;Average;?;Yes;?
20;Female;?;2.8;2.3;No;?;4.6;Good;?;High School;?;8;No;?
?;Male;?;3.1;1.3;No;94.8;8.0;Poor;1;High School;Poor;1;No;34.3
23;?;1.0;3.9;?;No;71.0;9.2;Poor;?;Master;Good;1;?;?
19;?;?;?;0.5;?;90.9;?;?;?;Master;Good;1;No;?
?;Male;7.2;?;?;?;82.9;7.4;Fair;1;?;Average;4;?;?
21;Female;5.6;1.5;1.4;Yes;85.8;6.5;Good;?;Master;Poor;4;No;89.8
21;Female;4.3;1.0;?;Yes;77.7;?;Fair;?;Bachelor;Average;8;?;72.6
?;Female;?;2.2;1.7;No;100.0;7.1;Good;3;?;Good;1;No;?
?;Female;?;3.1;?;No;95.4;7.5;?;5;Bachelor;Good;?;?;?
?;Male;3.9;2.4;2.5;No;71.7;?;Fair;2;Bachelor;?;?;No;74.4
19;Female;?;?;0.4;Yes;81.1;4.5;Fair;1;?;Good;9;?;76.9
?;Female;?;?;2.7;?;89.3;?;Fair;4;?;?;10;No;?
24;Male;?;?;0.7;No;87.4;6.7;Poor;6;?;Average;9;No;78.9
21;?;3.1;5.0;1.0;?;97.5;6.5;Good;6;High School;Average;7;No;74.0
?;Male;1.0;?;?;No;?;5.6;Poor;3;High School;Poor;8;Yes;55.2
24;Female;3.4;2.7;?;No;94.7;7.5;Poor;?;High School;?;1;Yes;?
?;Other;2.0;?;2.9;Yes;88.3;?;Good;2;High School;Good;5;No;?
19;Male;1.8;?;?;?;?;?;Fair;1;High School;?;?;?;45.3
22;Female;3.8;2.3;2.9;No;83.0;?;Good;?;Master;Good;?;No;58.5
21;Male;?;?;2.4;No;?;7.2;Fair;1;?;?;3;No;82.5
18;?;?;2.3;0.6;No;84.5;6.0;?;3;High School;Average;?;No;98.7
24;Female;1.1;?;1.4;?;90.0;9.0;Fair;6;Bachelor;Good;1;No;43.7
?;?;2.0;0.0;0.9;Yes;?;5.5;Fair;?;Bachelor;Average;2;?;54.9
?;Male;4.9;4.3;3.3;No;74.7;?;Fair;1;?;Average;?;?;69.9
22;Male;2.0;0.8;0.5;No;83.8;6.5;Good;4;Bachelor;?;?;?;73.5
18;Male;3.2;2.2;?;Yes;88.1;4.8;Fair;5;Bachelor;Average;3;No;71.1
24;Male;4.3;2.0;2.8;Yes;78.4;?;Good;5;?;Poor;?;Yes;82.8
20;?;?;3.2;?;Yes;82.6;6.7;Poor;?;?;Poor;10;?;75.7
?;Female;3.7;0.6;1.3;No;75.6;?;Fair;?;Master;Average;5;No;70.6
17;Other;1.5;3.1;2.6;Yes;96.2;8.0;Fair;4;Bachelor;Average;3;Yes;?
?;Other;2.6;?;4.3;No;?;?;Good;3;Bachelor;?;7;No;52.1
22;Female;1.1;2.7;?;No;100.0;?;Fair;1;?;Good;?;?;?
21;?;4.2;1.7;0.0;?;?;6.5;Good;1;?;Average;3;?;72.6
20;Female;3.5;3.0;2.6;No;?;?;?;3;?;?;4;?;70.7
?;Male;4.3;?;0.0;?;?;3.9;?;0;?;Average;?;No;59.4
17;?;?;?;1.4;No;?;7.0;Poor;0;?;Good;1;?;58.1
19;?;5.5;3.1;?;No;71.3;5.7;?;?;High School;?;?;?;82.3
19;Female;3.7;4.7;2.0;?;98.8;8.5;Good;6;Bachelor;Good;2;No;69.7
