23;Female;0.0;1.2;1.1;85.0;8.0;6;Master;8;56.2
20;Female;?;2.8;2.3;?;?;6;?;8;100.0
21;?;1.4;?;?;94.8;?;1;High School;1;34.3
23;Female;1.0;3.9;1.0;71.0;9.2;4;Master;?;26.8
?;Female;5.0;4.4;0.5;?;?;3;?;1;66.4
24;?;7.2;1.3;0.0;82.9;7.4;1;Master;4;100.0
21;?;5.6;?;1.4;?;6.5;2;Master;?;89.8
?;Female;4.3;?;2.0;77.7;?;0;Bachelor;8;72.6
23;Female;4.4;2.2;?;100.0;?;3;Bachelor;1;?
?;Female;?;3.1;1.3;95.4;7.5;?;Bachelor;10;?
23;Male;3.9;2.4;2.5;71.7;7.9;?;?;1;?
?;Female;?;?;?;?;4.5;?;?;9;76.9
19;Female;3.4;?;2.7;?;?;?;?;10;?
?;Male;2.4;1.5;0.7;87.4;6.7;6;?;?;78.9
?;Male;?;5.0;1.0;97.5;6.5;?;High School;7;74.0
20;Male;1.0;0.6;?;92.9;5.6;3;High School;8;55.2
?;Female;3.4;2.7;?;94.7;?;?;High School;1;?
24;?;?;4.9;?;88.3;7.1;2;High School;?;?
19;Male;1.8;2.5;2.4;71.1;7.5;1;High School;?;?
22;Female;?;2.3;2.9;?;6.4;3;Master;1;58.5
21;Male;5.6;2.1;2.4;95.6;7.2;1;High School;3;?
18;Other;?;2.3;?;?;6.0;?;High School;7;98.7
24;Female;1.1;4.1;1.4;?;9.0;6;Bachelor;1;43.7
20;Female;2.0;0.0;0.9;?;5.5;4;Bachelor;?;54.9
22;Male;4.9;?;?;74.7;9.0;1;?;2;?
22;Male;2.0;0.8;0.5;83.8;6.5;4;Bachelor;?;73.5
18;Male;3.2;2.2;2.8;88.1;?;5;?;3;71.1
24;Male;4.3;2.0;2.8;78.4;8.1;5;High School;3;82.8
20;Female;2.0;3.2;3.8;82.6;6.7;6;High School;?;75.7
21;?;?;0.6;1.3;75.6;7.5;2;Master;5;?
