?;Female;0.0;?;?;?;85.0;?;?;?;?;Average;8;?;56.2
20;?;6.9;2.8;?;?;97.3;?;?;?;High School;Average;8;No;100.0
21;?;?;3.1;?;?;94.8;8.0;Poor;?;?;?;?;?;?
23;Female;1.0;?;?;No;?;9.2;?;4;?;?;1;?;?
?;?;5.0;?;?;No;90.9;4.9;Fair;3;Master;?;?;?;66.4
?;?;7.2;1.3;0.0;No;82.9;7.4;Fair;?;?;?;?;?;?
21;Female;?;1.5;?;Yes;85.8;?;?;2;Master;?;?;?;89.8
21;?;?;1.0;2.0;Yes;?;?;Fair;?;?;Average;8;?;72.6
23;Female;4.4;?;?;?;100.0;?;Good;?;Bachelor;Good;1;?;78.9
18;?;?;3.1;?;?;?;?;?;5;Bachelor;?;?;?;100.0
23;Male;?;?;2.5;No;?;?;?;2;Bachelor;Average;1;No;74.4
19;?;3.7;?;?;?;81.1;?;Fair;1;Bachelor;Good;9;?;?
?;?;3.4;?;2.7;?;89.3;?;Fair;4;?;Good;?;?;75.8
?;?;?;?;0.7;No;87.4;6.7;?;?;Bachelor;?;?;No;78.9
21;Male;?;?;?;No;?;?;Good;6;High School;?;?;No;74.0
?;Male;1.0;0.6;?;?;?;5.6;Poor;3;?;?;?;?;55.2
24;Female;3.4;?;1.2;?;94.7;?;?;?;High School;Average;?;Yes;70.8
24;Other;?;?;2.9;Yes;?;7.1;?;2;?;Good;5;No;43.9
?;Male;1.8;?;?;No;?;7.5;Fair;1;?;Average;?;?;?
22;?;?;2.3;2.9;?;?;6.4;?;?;?;Good;?;No;?
?;Male;5.6;2.1;?;No;95.6;7.2;Fair;1;?;?;?;No;82.5
18;Other;?;2.3;?;?;84.5;6.0;Fair;?;?;Average;7;?;?
24;?;1.1;?;1.4;Yes;?;?;?;6;?;Good;?;No;43.7
20;Female;?;0.0;0.9;Yes;81.8;?;Fair;?;Bachelor;?;2;No;?
22;Male;4.9;4.3;?;No;74.7;?;Fair;?;?;Average;2;Yes;69.9
22;Male;2.0;?;0.5;No;?;6.5;?;4;?;?;4;?;73.5
18;Male;?;?;2.8;?;88.1;?;Fair;5;?;?;?;?;?
24;Male;?;?;2.8;Yes;?;8.1;?;5;?;Poor;?;?;82.8
20;?;2.0;3.2;3.8;?;?;?;?;?;?;Poor;?;Yes;?
?;Female;?;0.6;?;No;75.6;7.5;?;?;?;Average;5;?;70.6
?;?;1.5;?;2.6;?;96.2;8.0;Fair;?;Bachelor;?;?;Yes;?
?;Other;2.6;4.9;4.3;No;82.1;?;Good;?;?;?;?;?;52.1
22;Female;?;?;0.1;No;100.0;7.7;Fair;?;High School;Good;4;?;?
21;Female;?;?;?;Yes;84.2;6.5;Good;?;Bachelor;Average;3;No;?
?;?;3.5;3.0;2.6;?;74.9;?;Fair;3;?;?;4;No;?
?;Male;4.3;2.5;0.0;?;?;?;?;?;?;Average;2;?;59.4
17;Male;3.8;1.7;?;No;70.3;7.0;?;?;Bachelor;Good;?;?;58.1
19;?;5.5;3.1;?;No;71.3;?;?;?;?;?;3;No;?
?;?;?;?;2.0;No;?;?;?;6;Bachelor;Good;2;No;69.7
?;?;2.9;?;?;?;?;7.2;?;?;Bachelor;?;?;No;?
?;?;?;3.4;?;No;?;?;Fair;3;High School;Poor;?;?;63.5
24;Female;?;?;3.2;?;?;?;?;?;?;Good;?;?;?
?;Female;?;1.4;0.8;?;73.0;?;Good;4;?;Poor;?;?;?
?;?;3.6;?;1.1;No;?;8.4;Fair;?;Bachelor;?;5;?;?
24;?;?;4.3;1.0;?;?;?;Poor;5;?;Average;?;Yes;71.0
?;?;1.4;2.1;?;No;?;8.4;?;3;Bachelor;?;?;?;?
?;?;6.1;2.5;2.3;?;?;5.8;Poor;?;High School;?;?;?;?
23;Female;?;?;?;?;82.8;5.5;?;?;?;Good;10;Yes;62.0
?;Female;?;3.2;?;No;?;6.5;?;?;?;Average;?;No;?
?;?;?;3.6;3.6;No;?;7.0;?;6;?;?;?;No;48.4
20;?;4.8;?;?;No;?;?;?;0;Bachelor;?;7;Yes;70.6
?;?;?;1.9;?;Yes;?;7.1;Fair;5;?;?;?;?;68.1
20;?;5.4;2.8;3.8;No;91.8;6.9;?;2;High School;?;8;No;87.2
?;?;2.5;?;?;?;?;?;?;?;Bachelor;?;?;No;?
17;Male;3.9;?;?;?;90.7;?;Good;1;Bachelor;Average;7;?;75.2
?;Female;?;5.0;?;?;?;?;?;?;?;Average;2;?;46.4
?;?;?;2.2;2.6;No;?;?;?;3;Master;Average;?;?;?
19;Female;?;?;?;Yes;?;7.9;?;1;High School;Average;4;No;61.2
?;?;4.0;?;?;?;?;?;?;?;?;?;5;?;75.0
?;Male;4.5;3.4;3.3;?;?;?;?;?;High School;?;10;No;94.7
17;Male;?;?;?;Yes;?;5.1;?;?;?;Average;?;?;?
23;Male;?;1.7;?;?;?;?;?;3;?;?;?;?;68.6
?;?;?;?;0.7;?;?;?;Poor;?;Master;?;8;?;69.6
?;?;3.6;?;0.9;?;67.0;?;Good;?;Bachelor;?;8;?;66.5
17;?;3.3;1.8;?;?;?;5.8;Poor;0;?;?;2;?;?
20;?;4.9;0.3;2.7;?;?;6.2;Good;0;?;?;?;No;?
?;Male;6.8;?;?;?;72.3;?;?;6;Master;Average;?;No;?
?;Female;?;?;?;No;?;?;?;?;Bachelor;?;?;?;?
?;Female;1.4;?;0.0;?;?;?;Fair;0;?;?;?;Yes;55.1
?;Male;3.4;0.1;0.6;No;?;?;Fair;1;?;?;?;?;77.1
18;?;7.4;?;?;No;83.6;?;?;3;High School;Average;7;Yes;97.7
18;Female;?;?;?;?;?;7.0;?;?;?;?;9;?;99.9
?;Male;?;2.5;2.9;No;85.1;6.7;?;?;Bachelor;?;?;Yes;?
?;Female;?;1.4;?;No;?;?;?;1;?;?;?;?;57.2
?;Female;4.4;?;?;Yes;?;7.1;?;4;Master;?;?;?;77.3
?;?;?;?;?;?;79.9;?;Good;?;?;Average;7;No;91.6
23;?;2.9;2.6;1.8;No;64.0;9.1;?;?;?;Good;8;No;70.7
20;Other;3.2;?;?;?;?;?;Good;?;?;Poor;?;?;?
21;Female;?;4.9;?;?;86.6;6.3;?;6;?;?;4;No;60.2
?;?;?;0.6;3.0;?;?;7.7;Poor;6;High School;?;?;Yes;50.5
?;?;?;?;?;?;84.4;6.8;Fair;?;?;Average;4;?;?
?;?;1.7;?;?;No;?;?;Good;?;?;?;6;No;53.5
22;?;?;?;2.3;?;83.1;?;Good;5;Bachelor;Poor;?;No;79.2
17;?;?;0.9;1.0;No;69.0;?;Fair;1;Master;?;?;?;47.2
20;Male;3.9;2.3;2.1;?;100.0;6.1;Poor;6;?;Good;4;No;73.4
18;?;?;?;0.0;?;72.7;6.6;Poor;?;High School;Average;?;?;?
?;Male;4.0;2.3;2.5;?;74.7;7.8;Fair;6;?;?;1;No;77.8
20;Female;?;?;?;?;80.6;?;?;?;High School;Average;?;No;63.4
18;Male;0.5;?;?;Yes;?;?;?;?;?;?;3;No;?
22;Female;5.3;?;?;No;?;4.5;Fair;0;?;Average;8;?;?
?;?;?;2.9;?;No;?;6.0;?;0;High School;Good;6;No;?
