23;?;?;?;1.1;?;8.0;6;Master;8;56.2
20;Female;?;2.8;2.3;97.3;?;6;High School;8;100.0
21;Male;?;3.1;1.3;94.8;8.0;1;?;1;?
23;Female;1.0;3.9;1.0;71.0;9.2;4;Master;1;26.8
19;Female;?;4.4;0.5;90.9;?;?;?;1;66.4
24;?;7.2;1.3;?;82.9;7.4;1;Master;4;100.0
21;Female;5.6;1.5;1.4;?;6.5;2;Master;?;89.8
21;Female;4.3;1.0;2.0;77.7;4.6;?;Bachelor;8;72.6
23;Female;4.4;?;1.7;100.0;7.1;3;Bachelor;1;78.9
18;?;4.8;3.1;1.3;?;7.5;?;Bachelor;?;100.0
?;Male;3.9;2.4;2.5;71.7;?;2;Bachelor;1;74.4
19;Female;?;2.1;0.4;81.1;4.5;?;Bachelor;9;?
19;?;3.4;2.7;2.7;89.3;4.7;?;Bachelor;10;75.8
24;Male;2.4;?;0.7;87.4;6.7;6;Bachelor;?;78.9
21;Male;3.1;5.0;1.0;97.5;6.5;6;High School;7;?
?;Male;1.0;0.6;0.2;92.9;5.6;3;?;8;55.2
24;Female;3.4;2.7;1.2;94.7;?;0;High School;1;70.8
24;Other;?;4.9;2.9;88.3;?;2;High School;5;43.9
19;?;1.8;2.5;2.4;71.1;7.5;1;High School;2;45.3
22;?;3.8;?;2.9;83.0;6.4;3;Master;?;58.5
?;?;5.6;2.1;2.4;95.6;7.2;1;High School;3;?
18;Other;4.9;2.3;0.6;84.5;?;3;High School;?;98.7
?;Female;1.1;4.1;1.4;90.0;9.0;6;?;1;43.7
20;?;?;?;?;81.8;5.5;4;?;2;54.9
22;Male;4.9;4.3;3.3;?;?;?;High School;2;?
?;Male;2.0;0.8;?;83.8;6.5;4;Bachelor;4;?
?;Male;3.2;?;2.8;88.1;4.8;?;Bachelor;3;?
24;Male;4.3;?;2.8;78.4;8.1;?;High School;3;?
?;?;2.0;?;3.8;?;?;?;High School;10;75.7
21;?;3.7;0.6;1.3;?;7.5;2;Master;?;70.6
17;Other;1.5;3.1;2.6;96.2;8.0;4;?;3;?
20;Other;?;4.9;4.3;82.1;6.9;3;Bachelor;7;?
?;Female;?;2.7;0.1;?;?;1;High School;4;?
21;Female;4.2;1.7;?;?;?;1;?;3;72.6
20;Female;3.5;3.0;2.6;74.9;?;?;High School;?;70.7
17;Male;4.3;2.5;0.0;64.1;3.9;0;High School;2;59.4
17;Male;3.8;?;1.4;70.3;7.0;0;Bachelor;1;58.1
?;?;5.5;3.1;2.3;?;5.7;1;High School;?;82.3
19;?;3.7;4.7;2.0;98.8;8.5;6;Bachelor;?;69.7
23;Female;2.9;2.3;2.3;86.2;7.2;6;Bachelor;1;66.0
18;?;3.7;3.4;2.0;88.9;6.8;3;High School;?;63.5
24;?;4.3;0.9;3.2;62.8;7.1;0;Bachelor;?;65.7
20;?;3.6;?;0.8;73.0;?;4;High School;9;78.5
?;Male;3.6;3.1;1.1;93.9;?;1;Bachelor;5;75.1
?;Male;?;4.3;1.0;?;8.9;?;High School;?;?
22;Female;1.4;2.1;2.8;90.6;8.4;3;Bachelor;?;52.6
22;Female;6.1;2.5;2.3;100.0;5.8;5;High School;1;96.5
?;Female;1.6;1.0;3.1;82.8;5.5;4;?;10;62.0
22;?;2.5;3.2;0.5;85.7;6.5;0;High School;5;59.7
19;Female;2.4;3.6;3.6;86.9;7.0;6;High School;1;?
?;?;4.8;2.0;3.5;100.0;?;0;Bachelor;7;70.6
23;Female;?;1.9;2.6;64.0;7.1;5;High School;10;68.1
20;Male;5.4;2.8;3.8;91.8;?;2;?;?;87.2
24;Male;?;2.0;0.0;83.9;5.3;6;?;8;66.7
17;Male;3.9;?;1.2;90.7;7.1;1;Bachelor;7;75.2
19;Female;2.2;5.0;1.0;78.4;7.5;5;Master;2;46.4
21;Female;6.7;2.2;2.6;84.5;6.7;?;Master;?;97.1
?;Female;1.7;2.1;0.6;92.1;7.9;?;High School;4;61.2
23;Male;4.0;?;2.6;100.0;5.0;4;Bachelor;5;75.0
21;Male;4.5;?;3.3;93.1;?;?;High School;10;94.7
17;?;4.1;2.3;2.6;76.5;5.1;3;?;9;77.6
23;Male;?;1.7;2.1;80.8;5.2;3;High School;4;68.6
18;Female;3.3;4.1;?;80.5;5.7;0;?;?;69.6
20;Male;?;4.2;0.9;67.0;5.4;4;Bachelor;8;66.5
17;Male;?;1.8;3.2;?;5.8;0;Master;2;62.2
?;Female;4.9;0.3;2.7;92.3;?;0;Bachelor;6;82.1
22;?;6.8;3.7;1.8;72.3;?;?;Master;5;100.0
18;Female;?;1.7;1.3;95.5;6.1;2;Bachelor;2;59.7
18;?;?;?;0.0;?;4.6;0;?;10;55.1
?;Male;3.4;0.1;0.6;?;7.9;1;?;4;77.1
18;Female;7.4;3.6;3.9;83.6;?;3;High School;7;97.7
18;?;6.0;?;2.0;92.3;?;0;Bachelor;9;99.9
20;Male;6.0;2.5;2.9;85.1;6.7;5;Bachelor;10;100.0
20;Female;2.7;1.4;0.4;?;7.8;1;Bachelor;1;57.2
23;Female;4.4;?;2.0;85.8;7.1;4;Master;5;77.3
?;Male;5.9;3.3;2.8;79.9;5.5;3;Master;?;91.6
23;Male;2.9;2.6;1.8;64.0;9.1;6;High School;8;70.7
20;Other;3.2;3.2;5.0;100.0;?;?;High School;2;?
21;Female;2.6;4.9;0.0;86.6;6.3;6;?;?;?
24;Male;2.0;0.6;3.0;89.0;7.7;?;High School;2;50.5
23;Female;2.5;4.4;1.6;84.4;6.8;?;Bachelor;?;51.3
19;Male;1.7;?;2.6;77.6;7.0;?;Bachelor;6;53.5
22;?;?;?;2.3;83.1;9.5;5;?;6;79.2
17;Male;2.3;0.9;?;69.0;6.2;1;Master;2;47.2
20;Male;?;?;2.1;?;?;6;Bachelor;?;73.4
18;?;1.2;3.6;?;72.7;?;4;High School;4;?
24;Male;4.0;2.3;2.5;74.7;7.8;6;Bachelor;1;77.8
20;?;4.8;4.3;?;?;4.7;5;High School;2;63.4
18;Male;0.5;0.8;2.5;97.9;4.1;?;High School;3;?
22;Female;5.3;1.0;2.2;72.6;?;0;High School;8;81.3
22;?;1.7;2.9;2.0;97.5;6.0;0;?;6;?
18;Female;6.0;3.6;0.8;92.3;7.1;0;?;?;87.9
?;Male;4.1;2.0;1.0;?;5.4;5;Bachelor;?;80.9
22;Male;2.4;?;3.1;92.2;4.8;3;Bachelor;7;63.9
21;Male;3.4;?;?;100.0;?;1;High School;6;65.6
