?;Sammamish;WA;?;?;?;?;?;?;?
?;Snoqualmie;WA;2022;?;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;?
?;Spokane;WA;2021;JEEP;?;?;?;?;?
Pacific;Ocean Park;WA;2015;?;?;Battery Electric Vehicle (BEV);?;84;19.0
Clark;Vancouver;?;?;JEEP;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;?;17.0
?;?;WA;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);?;?;?
?;Seattle;?;2017;?;LEAF;?;?;?;37.0
?;?;?;2021;?;MUSTANG MACH-E;?;Eligibility unknown as battery range has not been researched;0;40.0
Thurston;Olympia;WA;2023;TESLA;MODEL X;Battery Electric Vehicle (BEV);?;?;?
Snohomish;?;?;2017;?;?;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;107;1.0
?;?;WA;?;LINCOLN;?;?;?;?;?
?;Seattle;?;2018;HONDA;CLARITY;Plug-in Hybrid Electric Vehicle (PHEV);?;?;36.0
?;Marysville;WA;?;TESLA;?;?;?;220;38.0
Benton;?;WA;?;?;?;?;Eligibility unknown as battery range has not been researched;0;8.0
?;Kirkland;WA;?;TESLA;MODEL Y;?;Eligibility unknown as battery range has not been researched;?;?
King;Seattle;WA;2021;TESLA;?;Battery Electric Vehicle (BEV);?;?;34.0
?;?;?;2023;?;BOLT EUV;Battery Electric Vehicle (BEV);?;?;34.0
?;St John;?;?;TESLA;MODEL 3;?;Eligibility unknown as battery range has not been researched;?;?
?;Duvall;?;?;?;MODEL 3;?;?;0;?
King;?;?;2023;?;WRANGLER;?;Not eligible due to low battery range;?;11.0
?;?;?;?;?;?;?;?;6;46.0
Chelan;?;?;?;?;?;?;?;?;?
?;?;?;?;CHRYSLER;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;?;26.0
?;Seattle;WA;2021;FORD;MUSTANG MACH-E;?;?;?;?
?;Kirkland;WA;2020;?;MODEL 3;?;?;266;45.0
?;Seattle;WA;2023;TESLA;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;?
Pierce;Puyallup;WA;?;?;?;Battery Electric Vehicle (BEV);?;?;25.0
Snohomish;Marysville;WA;2016;?;?;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;?;?
?;?;?;2013;CHEVROLET;?;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38;?
?;Seattle;?;?;TOYOTA;?;Plug-in Hybrid Electric Vehicle (PHEV);?;?;37.0
?;?;?;?;?;FUSION;?;?;?;?
?;?;WA;2022;FORD;MUSTANG MACH-E;?;?;0;?
?;?;WA;2018;TESLA;?;?;?;?;?
King;Renton;WA;?;?;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;11.0
?;Seatac;?;?;CHEVROLET;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;?
Thurston;?;WA;2019;NISSAN;?;?;Clean Alternative Fuel Vehicle Eligible;?;?
King;?;WA;?;TESLA;?;?;?;?;46.0
?;?;?;2022;KIA;SORENTO;Plug-in Hybrid Electric Vehicle (PHEV);?;?;10.0
?;Medical Lake;WA;2019;TESLA;?;Battery Electric Vehicle (BEV);?;?;?
King;Sammamish;?;2018;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215;41.0
