King;Sammamish;WA;?;TESLA;MODEL 3;?;Eligibility unknown as battery range has not been researched;0;45.0
King;Snoqualmie;WA;2022;TESLA;?;Battery Electric Vehicle (BEV);?;0;5.0
Spokane;Spokane;WA;2021;JEEP;?;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25;3.0
Pacific;?;WA;2015;NISSAN;LEAF;?;Clean Alternative Fuel Vehicle Eligible;84;?
Clark;?;WA;?;JEEP;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25;17.0
King;?;WA;2022;TESLA;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;33.0
King;?;WA;2017;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;?;37.0
Whatcom;?;?;2021;FORD;MUSTANG MACH-E;?;Eligibility unknown as battery range has not been researched;0;?
Thurston;?;WA;2023;?;MODEL X;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;22.0
Snohomish;Bothell;WA;2017;NISSAN;?;?;Clean Alternative Fuel Vehicle Eligible;107;1.0
?;Mattawa;WA;?;LINCOLN;AVIATOR;Plug-in Hybrid Electric Vehicle (PHEV);?;21;13.0
?;?;WA;2018;?;CLARITY;Plug-in Hybrid Electric Vehicle (PHEV);?;47;36.0
Snohomish;Marysville;WA;2019;TESLA;?;Battery Electric Vehicle (BEV);?;220;38.0
Benton;Richland;WA;2023;BMW;IX;?;Eligibility unknown as battery range has not been researched;0;?
King;Kirkland;WA;?;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;48.0
King;?;WA;2021;TESLA;MODEL 3;Battery Electric Vehicle (BEV);?;0;34.0
King;Seattle;WA;?;CHEVROLET;BOLT EUV;Battery Electric Vehicle (BEV);?;0;34.0
?;St John;WA;2023;?;MODEL 3;Battery Electric Vehicle (BEV);?;0;9.0
King;Duvall;?;2023;TESLA;MODEL 3;?;Eligibility unknown as battery range has not been researched;?;5.0
King;?;WA;2023;?;?;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;?;?
King;Seattle;WA;2013;?;PRIUS PLUG-IN;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;?;46.0
Chelan;Chelan;WA;2023;?;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;12.0
Pierce;Gig Harbor;WA;?;?;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;?
?;Seattle;?;2021;FORD;MUSTANG MACH-E;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;37.0
?;?;?;2020;TESLA;MODEL 3;Battery Electric Vehicle (BEV);?;?;45.0
King;Seattle;WA;2023;?;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;?
Pierce;Puyallup;WA;2022;KIA;NIRO;Battery Electric Vehicle (BEV);?;0;25.0
Snohomish;?;WA;2016;TESLA;MODEL X;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;200;39.0
King;Redmond;?;2013;?;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38;48.0
King;?;WA;2021;TOYOTA;?;?;?;?;37.0
Snohomish;Arlington;WA;2016;FORD;?;?;?;?;39.0
King;Redmond;WA;2022;?;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;48.0
King;?;WA;2018;?;MODEL 3;Battery Electric Vehicle (BEV);?;?;48.0
King;Renton;WA;2021;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;?
King;Seatac;WA;2023;CHEVROLET;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;33.0
Thurston;?;WA;2019;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;150;22.0
King;Seattle;WA;2019;TESLA;?;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;220;46.0
