arnie morton's of chicago;435 s. la cienega blv.;los angeles;310/246-1501;?;?
?;?;los angeles;310-246-1501;steakhouses;?
?;12224 ventura blvd.;studio city;818/762-1221;american;1
?;?;studio city;818-762-1221;delis;1
hotel bel-air;701 stone canyon rd.;bel air;310/472-1211;?;?
bel-air hotel;?;?;310-472-1211;californian;2
cafe bizou;?;sherman oaks;?;french;3
?;14016 ventura blvd.;sherman oaks;818-788-3536;?;3
?;?;?;213/938-1447;american;4
?;624 s. la brea ave.;?;?;?;?
chinois on main;?;?;?;?;5
chinois on main;?;santa monica;?;pacific new wave;5
citrus;6703 melrose ave.;?;213/857-0034;californian;6
?;?;?;213-857-0034;californian;?
?;8358 sunset blvd. west;hollywood;213/848-6677;american;7
?;8358 sunset blvd.;?;?;french (new);?
granita;23725 w. malibu rd.;?;310/456-0488;?;8
?;23725 w. malibu rd.;malibu;310-456-0488;californian;8
?;9560 dayton way;los angeles;310/276-0615;?;?
?;9560 dayton way;beverly hills;?;american (traditional);9
?;1972 n. hillhurst ave.;los angeles;213/665-1891;asian;10
?;1972 hillhurst ave.;los feliz;213-665-1891;japanese;10
?;?;?;?;french;11
?;903 n. la cienega blvd.;w. hollywood;?;french (classic);?
le chardonnay;8284 melrose ave.;?;?;french;?
?;?;?;213-655-8880;french bistro;?
locanda veneta;?;los angeles;310/274-1893;?;13
locanda veneta;8638 w. third st.;los angeles;?;?;13
matsuhisa;129 n. la cienega blvd.;beverly hills;310/659-9639;asian;14
matsuhisa;129 n. la cienega blvd.;beverly hills;310-659-9639;seafood;14
the palm;9001 santa monica blvd.;?;?;american;?
palm  the (los angeles);?;w. hollywood;?;steakhouses;15
patina;5955 melrose ave.;?;213/467-1108;?;?
patina;?;los angeles;213-467-1108;californian;16
philippe's the original;1001 n. alameda st.;los angeles;?;?;?
philippe the original;?;chinatown;213-628-3781;?;?
?;12969 ventura blvd.;?;818/990-0500;?;18
pinot bistro;12969 ventura blvd.;studio city;?;?;18
?;617 s. olive st.;?;213/627-2300;italian;19
rex il ristorante;617 s. olive st.;los angeles;213-627-2300;nuova cucina italian;?
spago;1114 horn ave.;?;310/652-4025;?;?
spago (los angeles);?;?;?;?;?
valentino;3115 pico blvd.;santa monica;310/829-4313;italian;?
valentino;?;santa monica;?;italian;?
yujean kang's gourmet chinese cuisine;67 n. raymond ave.;?;818/585-0855;?;?
?;?;?;818-585-0855;?;?
21 club;?;new york;212/582-7200;american;23
?;21 w. 52nd st.;?;212-582-7200;american (new);?
aquavit;?;?;?;continental;24
aquavit;?;?;212-307-7311;?;24
?;34 e. 61st st.;?;212/ 319-1660;american;?
aureole;?;?;212-319-1660;american (new);25
?;201 w. 83rd st.;new york;?;coffee bar;26
cafe lalo;201 w. 83rd st.;?;212-496-6031;coffeehouses;26
cafe des artistes;1 w. 67th st.;new york;212/877-3500;?;27
?;?;new york city;212-877-3500;?;27
carmine's;?;?;212/362-2200;?;?
carmine's;?;new york city;?;italian;?
carnegie deli;?;new york;212/757-2245;?;29
?;854 seventh ave.;?;?;delis;?
?;2 harrison st.  near hudson st.;new york;212/966-6960;american;30
?;2 harrison st.;new york city;?;?;30
?;20 e. 76th st.;new york;212/288-0033;?;31
daniel;20 e. 76th st.;new york city;212-288-0033;?;31
dawat;?;new york;212/355-7555;?;32
?;210 e. 58th st.;new york city;212-355-7555;indian;?
felidia;243 e. 58th st.;new york;?;italian;?
felidia;?;new york city;212-758-1479;italian;?
?;99 e. 52nd st.;new york;212/754-9494;american;?
four seasons;99 e. 52nd st.;new york city;?;american (new);34
?;12 e. 12th st.;new york;?;american;35
gotham bar & grill;?;?;212-620-4020;?;35
?;?;new york;212/477-0777;american;?
?;?;new york city;?;american (new);36
?;402 w. 44th st.;?;212/765-1737;tel caribbean;?
island spice;402 w. 44th st.;new york city;212-765-1737;?;37
jo jo;?;new york;212/223-5656;american;?
?;160 e. 64th st.;?;212-223-5656;french bistro;?
la caravelle;?;?;212/586-4252;french;39
la caravelle;?;new york city;212-586-4252;?;?
?;60 w. 55th st.  between 5th and 6th ave.;new york;212/688-6525;french;40
la cote basque;60 w. 55th st.;new york city;?;?;40
?;155 w. 51st st.;new york;?;french;?
le bernardin;155 w. 51st st.;new york city;212-489-1515;seafood;41
les celebrites;?;new york;212/484-5113;?;?
les celebrites;?;?;212-484-5113;french (classic);42
?;?;?;212/339-6719;?;43
lespinasse (new york city);2 e. 55th st.;new york city;?;asian;?
lutece;249 e. 50th st.;?;212/752-2225;?;?
lutece;249 e. 50th st.;new york city;?;french (classic);44
manhattan ocean club;57 w. 58th st.;new york;212/ 371-7777;seafood;?
?;?;new york city;212-371-7777;?;?
?;405 e. 58th st.;new york;212/754-6272;american;?
?;?;?;?;american (new);46
?;?;?;212/807-7400;american;?
mesa grill;102 fifth ave.;new york city;212-807-7400;southwestern;47
?;57 jane st.  off hudson st.;new york;212/627-8273;?;48
mi cocina;?;new york city;212-627-8273;mexican;48
?;?;?;212/ 219-2777;french;?
?;239 w. broadway;new york city;212-219-2777;french bistro;49
oceana;55 e. 54th st.;?;212/759-5941;seafood;?
oceana;?;?;?;?;50
park avenue cafe;?;new york;212/644-1900;american;?
park avenue cafe (new york city);100 e. 63rd st.;new york city;212-644-1900;?;?
?;182 w. 58th st.;?;212/245-2214;french;52
petrossian;?;?;?;russian;?
?;?;new york;212/724-8585;mediterranean;53
picholine;?;new york city;?;mediterranean;53
pisces;95 ave. a at 6th st.;?;212/260-6660;seafood;?
pisces;95 ave. a;new york city;212-260-6660;seafood;?
?;?;?;212/632-5000;or 212/632-5100 american;55
?;30 rockefeller plaza;new york city;212-632-5000;?;55
?;1 water st. at the east river;brooklyn;718/522-5200;american;56
river cafe;?;?;?;american (new);56
san domenico;240 central park s;new york;212/265-5959;italian;57
?;240 central park s.;new york city;212-265-5959;?;57
?;156 2nd ave. at 10th st.;?;212/677-0606;delicatessen;?
second avenue deli;?;?;?;?;?
?;?;?;212/980-9393;asian;59
seryna;11 e. 53rd st.;?;?;japanese;59
shun lee west;43 w. 65th st.;new york;212/371-8844;asian;60
shun lee palace;155 e. 55th st.;new york city;212-371-8844;chinese;60
sign of the dove;1110 3rd ave. at 65th st.;new york;?;american;61
sign of the dove;?;?;?;?;61
smith & wollensky;201 e. 49th st.;?;?;american;?
?;?;new york city;212-753-1530;?;62
?;in central park at 67th st.;?;212/873-3200;?;?
?;central park west;?;?;?;?
?;747 9th ave.  between 50th and 51st sts.;?;212/315-1726;mediterranean;?
uncle nick's;747 ninth ave.;?;212-245-7992;?;?
union square cafe;21 e. 16th st.;?;212/243-4020;american;65
?;?;new york city;212-243-4020;american (new);?
?;152 w. 44th st.;new york;?;?;66
?;152 w. 44th st.;?;212-921-9494;bbq;66
chin's;?;?;702/733-8899;asian;?
chin's;3200 las vegas blvd. s.;?;702-733-8899;?;?
?;?;las vegas;?;?;68
coyote cafe (las vegas);?;las vegas;?;southwestern;?
le montrachet;3000 w. paradise rd.;las vegas;702/732-5111;continental;69
le montrachet bistro;3000 paradise rd.;las vegas;702-732-5651;french bistro;69
palace court;3570 las vegas blvd. s;las vegas;?;?;70
palace court;?;las vegas;?;?;?
second street grille;?;las vegas;702/385-3232;seafood;71
?;200 e. fremont st.;?;702-385-6277;?;71
?;2880 las vegas blvd. s;las vegas;702/734-0410;?;?
steak house  the;?;?;702-734-0410;steakhouses;72
?;?;las vegas;702/731-4036;seafood;?
tillerman  the;?;las vegas;702-731-4036;steakhouses;?
?;2355 peachtree rd.  peachtree battle shopping center;?;?;italian;74
abruzzi;?;atlanta;404-261-8186;?;?
bacchanalia;?;?;404/365-0410;?;?
bacchanalia;?;atlanta;404-365-0410;?;?
bone's;3130 piedmont road;atlanta;?;american;76
bone's restaurant;3130 piedmont rd. ne;atlanta;?;steakhouses;76
brasserie le coze;3393 peachtree rd.  lenox square mall  near neiman marcus;?;404/266-1440;?;77
brasserie le coze;3393 peachtree rd.;atlanta;?;?;77
buckhead diner;?;?;404/262-3336;?;78
buckhead diner;3073 piedmont rd.;atlanta;?;?;?
?;1529 piedmont ave.;?;404/874-7600;french;79
ciboulette restaurant;?;atlanta;404-874-7600;?;79
delectables;1 margaret mitchell sq.;atlanta;404/681-2909;american;?
delectables;?;?;?;cafeterias;?
georgia grille;?;?;?;american;?
?;?;atlanta;404-352-3517;?;?
?;?;?;404/233-7673;?;?
hedgerose heights inn  the;?;?;404-233-7673;?;?
heera of india;595 piedmont ave.  rio shopping mall;?;?;asian;?
?;595 piedmont ave.;atlanta;404-876-4408;?;?
indigo coastal grill;?;atlanta;?;caribbean;84
indigo coastal grill;?;atlanta;?;eclectic;?
la grotta;?;?;?;italian;85
?;?;atlanta;?;italian;?
?;?;atlanta;404/876-1800;southern;?
mary mac's tea room;224 ponce de leon ave.;atlanta;?;southern/soul;86
?;255 courtland st.  at harris st.;atlanta;404/221-6362;continental;?
?;255 courtland st.;atlanta;404-221-6362;continental;?
pano's and paul's;1232 w. paces ferry rd.;atlanta;404/261-3662;?;88
pano's & paul's;1232 w. paces ferry rd.;atlanta;?;?;?
?;3434 peachtree rd.;?;404/237-2700;ext 6108 international;89
ritz-carlton cafe (buckhead);3434 peachtree rd. ne;?;404-237-2700;american (new);?
