bikes_4100_14760_5.csvriga;nome attributo;valore da imputare;valore imputato
3555;model_year;2014;?
462;kms_driven;16586;?
2736;location;mumbai;?
1785;location;pune;?
2435;location;noida;?
664;model;Passion;?
431;mileage;35.0;?
1081;model;Avenger;?
561;mileage;35.0;?
2314;model;Avenger;?
443;location;delhi;?
702;owner;second;first
959;kms_driven;41000;?
1298;power;13.0;?
1688;location;mumbai;?
1473;location;pune;?
3631;price;13000;?
868;mileage;32.0;?
2492;location;delhi;?
2557;company;Royal-Enfield;Harley-Davidson
2153;price;80300;?
3261;kms_driven;47000;?
3937;kms_driven;16450;?
1777;price;60000;?
1803;power;14.0;?
3423;owner;first;first
1931;owner;first;first
4093;kms_driven;5000;?
2208;mileage;50.0;?
3602;kms_driven;14800;?
2771;model;Bullet;?
1312;company;Bajaj;Royal-Enfield
3645;kms_driven;2946;?
3098;owner;first;first
3474;mileage;35.0;?
1182;power;19.8;?
2431;company;Benelli;?
832;owner;fourth;first
1772;mileage;20.0;?
746;power;19.8;?
113;owner;second;first
1912;model;Street;?
596;model_year;2011;2015
517;mileage;35.0;?
3480;model;Pulsar;?
2420;power;27.2;?
3316;kms_driven;50000;?
3967;mileage;35.0;?
1016;mileage;65.0;?
52;power;29.1;?
1908;company;Bajaj;Bajaj
263;price;37462;?
2385;mileage;83.0;?
233;power;27.2;?
1646;owner;first;first
1789;company;KTM;Harley-Davidson
3741;power;19.0;?
1250;owner;first;first
2161;company;Suzuki;?
536;model;Classic;?
3028;kms_driven;10300;?
2882;model_year;2015;?
1411;model;Renegade;?
3969;owner;first;first
615;model;Thunderbird;?
2973;mileage;40.0;?
352;model;Classic;?
1344;location;bangalore;?
3033;model;YZF-R15;?
3212;company;Bajaj;Hero
3971;location;jaipur;?
3036;company;Bajaj;?
1083;company;Royal-Enfield;?
3752;kms_driven;5264;?
2902;company;KTM;Harley-Davidson
2420;model;Thunderbird;?
1019;model_year;2016;2016
3867;kms_driven;25000;?
397;mileage;35.0;?
3594;power;19.8;?
566;location;mumbai;?
3743;model_year;2010;?
3224;location;gurgaon;?
2205;model_year;2011;2017
627;company;Royal-Enfield;KTM
1784;owner;second;first
2658;model_year;2014;2015
2442;power;27.2;?
1336;mileage;35.0;?
2280;model_year;2016;2016
1862;owner;first;first
2095;power;14.0;?
1138;company;Royal-Enfield;?
3223;kms_driven;14800;?
642;company;Royal-Enfield;Royal-Enfield
1070;model_year;2017;2016
3099;price;150000;?
691;owner;fourth;first
3086;location;faridabad;?
2699;kms_driven;30000;?
400;power;20.0;14.3
3112;owner;first;first
1714;model_year;2017;?
2537;kms_driven;57000;?
2554;price;12500;?
2371;model_year;2009;?
4066;company;Hero;Hero
1263;owner;first;first
2336;price;106000;?
3904;power;8.2;?
3747;model;Renegade;?
1101;model_year;2019;2018
87;power;42.3;37.73
1773;location;hyderabad;?
2793;company;Kawasaki;Royal-Enfield
4045;model;Classic;?
1426;company;Hero;?
3326;model;Thunderbird;?
2354;power;21.0;?
1399;power;9.0;?
636;model_year;2017;2018
2394;owner;first;first
115;mileage;35.0;?
118;location;jalandhar;?
2856;model;CBR;?
1906;model_year;2016;?
1433;price;60000;?
3265;price;31000;?
2046;power;20.3;14.6
1559;power;19.8;?
2955;owner;first;first
131;company;Hero;Hero
1864;kms_driven;8000;?
3208;model_year;2018;2017
944;power;19.8;19.8
148;model_year;2016;2012
3285;model_year;2015;2016
3583;power;15.0;?
3521;power;12.32;?
3043;power;27.2;?
1174;mileage;40.0;?
587;owner;first;first
2218;price;198000;?
743;company;Suzuki;Harley-Davidson
159;mileage;81.0;?
1748;company;Hero;Hero
66;power;14.0;17.0
127;mileage;22.0;?
1743;location;chennai;?
1869;mileage;38.0;?
2911;company;Hyosung;Hero
3461;power;21.0;14.6
1580;model;Pulsar;?
615;power;19.8;?
98;model_year;2019;?
817;model_year;2010;2015
3930;location;gurgaon;?
1176;price;122883;?
333;price;45000;?
2187;model;YZF-R15;?
1637;location;chandigarh;?
3228;mileage;40.0;?
1238;location;kolkata;?
226;kms_driven;34000;?
2009;power;67.2;?
2545;owner;second;first
3983;kms_driven;5500;?
3758;model;Thunderbird;?
1631;model;HF;?
1168;location;pune;?
3301;company;Suzuki;Harley-Davidson
2391;model;Pulsar;?
2346;model_year;2015;?
1490;power;8.2;?
260;price;101700;?
3704;model_year;2018;?
1239;kms_driven;62000;?
84;power;13.8;?
1574;model;Street;?
107;owner;first;first
2054;price;39400;?
808;price;296000;?
296;price;68500;?
1212;owner;second;first
3992;mileage;55.0;?
2859;kms_driven;620010;?
3695;mileage;43.0;?
764;price;88000;?
4074;location;chennai;?
3806;price;52500;?
3595;location;ahmedabad;?
1411;mileage;35.0;?
1222;model_year;2007;2017
1927;model_year;2015;2009
463;company;Hero;Bajaj
1700;kms_driven;4950;?
1623;price;16130;?
3238;model;Gixxer;?
429;company;Bajaj;Royal-Enfield
746;price;60000;?
1044;mileage;38.0;?
2443;kms_driven;5000;?
256;kms_driven;60000;?
1455;power;14.0;14.6
3993;company;Yamaha;?
2728;owner;first;first
3121;power;8.2;?
2553;price;45000;?
3960;company;Bajaj;?
2399;company;Royal-Enfield;Royal-Enfield
1601;location;mumbai;?
1885;price;66000;?
2619;owner;first;first
3264;kms_driven;6700;?
1846;model;YZF-R15;?
1317;owner;first;first
3502;kms_driven;6000;?
1309;model;Classic;?
500;mileage;35.0;?
2531;kms_driven;24000;?
471;kms_driven;30000;?
3760;kms_driven;1000;?
421;location;mumbai;?
2281;price;35000;?
3362;mileage;26.0;?
3635;model;Discover;?
435;kms_driven;38150;?
1958;model_year;2011;2010
3607;location;ludhiana;?
3106;owner;first;first
2756;model_year;2015;?
3220;owner;first;first
855;mileage;35.0;?
2880;model;Classic;?
653;owner;second;first
3063;kms_driven;50000;?
1608;power;19.0;?
2100;company;Royal-Enfield;Royal-Enfield
3619;company;UM;?
3677;model;Classic;?
3697;model;Classic;?
834;kms_driven;11794;?
1439;model_year;1994;2012
2046;model_year;2020;2018
1626;owner;first;first
2555;mileage;40.0;?
1366;owner;first;first
23;model;Glamour;?
3995;mileage;38.0;?
4079;mileage;84.0;?
3778;price;90000;?
900;kms_driven;50000;?
3403;kms_driven;30000;?
1029;company;Bajaj;Hero
2166;model;V15;?
1283;mileage;40.0;?
3089;model_year;2007;2001
2841;power;9.0;9.0
4056;location;delhi;?
3931;company;Bajaj;?
227;mileage;37.0;?
3209;power;16.7;?
1983;model_year;2015;?
1790;company;Royal-Enfield;Royal-Enfield
3268;owner;first;first
935;model;Bullet;?
1806;company;Royal-Enfield;?
893;kms_driven;22000;?
4033;kms_driven;35000;?
3346;mileage;26.0;?
2239;power;19.8;?
893;company;Hero;Hero
4039;model;V12;?
3780;model_year;2018;2018
2131;model;Gixxer;?
3290;model;GT250R;?
1720;mileage;57.0;?
3525;mileage;50.0;?
565;mileage;35.0;?
652;location;delhi;?
943;mileage;35.0;?
3480;company;Bajaj;?
1412;model_year;2019;2018
2752;mileage;42.0;?
3886;model_year;2016;2017
2522;location;mumbai;?
2755;price;118000;?
3195;model_year;2014;2016
3670;price;42000;?
2906;company;Royal-Enfield;Harley-Davidson
3761;model;Bullet;?
2799;mileage;26.0;?
1558;owner;first;first
343;mileage;35.0;?
613;price;62000;?
1461;kms_driven;9000;?
3369;model_year;2010;2010
3785;model;Thunderbird;?
568;owner;first;first
2952;kms_driven;3000;?
376;model_year;2014;?
660;kms_driven;21000;?
3274;kms_driven;17089;?
758;model;Duke;?
356;location;bangalore;?
8;mileage;32.0;?
820;company;Royal-Enfield;?
3562;company;Hero;Yamaha
2785;model;Apache;?
446;price;98000;?
1923;model_year;2010;?
3750;price;72000;?
1844;power;11.8;?
244;location;delhi;?
340;owner;first;first
2827;power;16.0;?
3794;price;500000;?
575;price;22950;?
155;company;Yamaha;?
1530;price;240000;?
3041;kms_driven;53000;?
1396;mileage;45.0;?
2600;model_year;2017;2018
1031;model_year;2018;2017
382;company;Royal-Enfield;Royal-Enfield
1651;price;66000;?
3141;kms_driven;23000;?
1586;location;delhi;?
4018;company;Bajaj;?
427;price;19200;?
3614;location;jaipur;?
1798;model;Thunderbird;?
3465;mileage;40.0;?
3309;company;Royal-Enfield;?
