?;Shinedown;?;Rock Music Hard Rock Alternative;?;?;?;?
Sweet Lil Gal 23rd/1st;Ryan Adams;?;Singer/Songwriter Music Rock Southern Rock Country Adult Alternative American Trad Rock Americana Alternative Country;0.99;?;218.0;?
?;?;?;?;?;2014 Interscope Records;202.0;05/08/14
Lights RAC Mix;Ellie Goulding;?;Dance Music Pop;1.29;?;344.0;19/07/11
?;Ryan Adams;?;?;1.29;2014 UMG Recordings Inc;332.0;?
Leave Me Alone I m Lonely Live;?;Funhouse Tour Live In Australia;?;1.99;2009 RCA/JIVE Label Group a unit of Sony Music Entertainment;187.0;26/10/09
?;Naughty Boy;?;Pop Music RandB / Soul Contemporary RandB HipHop/Rap Pop/Rock Rock;1.29;?;88.0;?
Goodnight Hollywood Blvd;Ryan Adams;?;Rock Music;?;2014 UMG Recordings Inc;?;30/09/14
You Ca nt Have Everything;Little Big Town;?;?;1.29;?;?;?
?;?;?;?;0.99;2010 Downtown Recordings LLC;?;?
?;Flo Rida;?;?;1.29;2010 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States;?;24/11/10
?;?;Fearless;Country Music Rock Honky Tonk Pop Adult Contemporary Contemporary Country;1.29;?;225.0;11/11/08
Summer Twoloud Remix;?;Summer Remixes EP;?;1.29;2014 Sony Music Entertainment UK Limited;?;20/06/14
?;?;?;Dance Music;?;?;?;26/01/14
?;5 Seconds of Summer;5 Seconds of Summer Bonus Track Version;?;?;2014 Capitol Records Ltd;?;22/07/14
Clean;?;1989;?;?;2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records;263.0;?
Take My Drunk Ass Home Demo;Luke Bryan;?;Country Music Contemporary Country;1.29;?;202.0;?
?;?;Us and Them Deluxe Version;?;1.29;?;305.0;04/10/05
Brother;?;?;?;1.29;2013 KIDinaKORNER/Interscope Records;228.0;?
Stronger Back On the Ground;?;Who I Am;Rock Music Pop Teen Pop Pop/Rock;?;2010 Jonas Enterprises;?;?
?;Ellie Goulding;Beating Heart EP;?;?;?;?;?
Are You Leaving With Him;?;Spring Break Checkin Out;?;?;?;?;10/03/15
Must Be the Ganja;?;?;?;?;?;?;?
?;?;Blue Jeans Omid 16B Remixes;?;1.29;?;155.0;?
?;?;?;Rock Music;1.29;2014 Blackbird Production Partners LLC Under Exclusive License Rounder Records Manufactured and Distributed by Concord Music Group Inc;?;06/05/14
X2CU;Jason Derulo;?;?;?;2015 Warner Bros Records Inc;313.0;01/06/15
?;?;?;?;?;?;?;?
?;?;?;?;?;2014 Interscope Records;?;05/08/14
?;Nicky Jam and Enrique Iglesias;?;Pop Music;1.29;?;?;?
?;Lady Gaga;?;Pop Music Rock Dance;1.29;2014 Interscope Records;244.0;?
?;Shinedown;?;Rock Music;?;2013 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States A Warner Music Group Company;?;?
Going Away For a While;Brett Eldredge;?;Country Music Contemporary Country Honky Tonk Traditional Country;1.29;?;?;?
?;Romain Virgo;?;Reggae Music;?;2014 VP Music Group Inc;?;?
?;5 Seconds of Summer;5 Seconds of Summer;?;?;?;237.0;22/07/14
Babe I m Gon na Leave You Live;?;?;Pop Music Dance RandB / Soul Pop/Rock;0.99;2009 RCA/JIVE Label Group a unit of Sony Music Entertainment;?;?
?;Eric Church;Chief / Caught In the Act / Carolina / Sinners Like Me;Country Music Rock Southern Rock Contemporary Country;1.29;2013 Capitol Nashville;269.0;17/12/13
Through the Ghost;?;Amaryllis;?;1.29;?;?;23/03/12
Burn Magic Man Remix;Ellie Goulding;Burn Remixes;?;?;?;?;17/09/13
Fire Away;Skrillex;?;?;1.29;2014 OWSLA/Big Beat Records Inc for the United States and WEA International Inc for the world outside of the United States;342.0;14/03/14
?;Wiz Khalifa;O N I F C;HipHop/Rap Music Hardcore Rap East Coast Rap Rap;1.29;?;?;04/12/12
Remember You feat The Weeknd;?;?;HipHop/Rap Music Hardcore Rap East Coast Rap Rap;1.99;?;320.0;04/12/12
?;?;The First Time;?;?;?;190.0;?
Is It the Beat Juan Magan Remix;Selena;?;?;?;2012 Capitol Latin All rights reserved Unauthorized reproduction is a violation of applicable laws Manufactured by Capitol Latin 404 Washington Ave Suite 700 Miami Beach FL 33139;?;?
?;Shinedown;Somewhere In the Stratosphere Live;?;?;2011 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States;?;18/04/11
Clarity feat Foxes Brillz Remix;?;?;?;?;?;357.0;?
Leave My Heart Out of This Buzz Junkies Remix;?;Better Together The Remixes EP;?;?;?;?;25/11/13
Amnesia;5 Seconds of Summer;5 Seconds of Summer;?;1.29;2014 Capitol Records Ltd;237.0;22/07/14
Last Kiss;?;Speak Now;?;?;2010 Big Machine Records LLC;367.0;?
?;?;?;?;0.99;?;253.0;27/08/09
?;?;Folie  Deux Deluxe Version;Alternative Music Punk;1.29;?;257.0;16/12/08
?;?;Speak Now;Country Music Rock Contemporary Country Honky Tonk;1.29;2010 Big Machine Records LLC;317.0;?
?;Ellie Goulding;iTunes Festival London 2012 EP;Pop Music;1.29;?;216.0;19/11/12
Dangerous feat Sam Martin Robin Schulz Remix Radio Edit;David Guetta;?;Dance Music Rock House Electronic French Pop;1.29;?;?;?
One Mississippi Live from CMT Listen Up;Brett Eldredge;Bring You Back;?;?;2013 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States;?;06/08/13
We Dem Boyz;Wiz Khalifa;Blacc Hollywood Deluxe Version;HipHop/Rap Music Rap Hardcore Rap East Coast Rap Rock;?;?;236.0;?
?;Justin Bieber;My World 2 0 Bonus Track Version;?;?;?;?;23/03/10
