Fly from the Inside Live Acoustic from WXDX Pittsburgh;Shinedown;?;Rock Music Hard Rock Alternative;1.29;2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States;239.0;?
?;Ryan Adams;Heartbreaker;?;?;?;218.0;?
I Like It Rough;Lady Gaga;The Fame Monster Deluxe Version;?;?;2014 Interscope Records;202.0;05/08/14
?;Ellie Goulding;Lights Pt 2 The Remixes EP;?;1.29;2011 Polydor Ltd UK;?;?
The Drugs Not Working;Ryan Adams;Rock N Roll;?;1.29;?;332.0;?
?;?;Funhouse Tour Live In Australia;Pop Music Dance RandB / Soul Pop/Rock;1.99;?;187.0;?
?;Naughty Boy;?;?;?;?;88.0;?
Goodnight Hollywood Blvd;?;?;?;1.29;?;204.0;?
You Ca nt Have Everything;?;?;?;?;2010 Little Big Town LLC under exclusive license to Capitol Records Nashville All rights reserved Unauthorized reproduction is a violation of applicable laws Manufactured by Capitol Records Nashville 3322 West End Avenue 11th Floor Nashville TN;209.0;20/08/10
?;Major Lazer;Lazers Never Die EP;?;?;2010 Downtown Recordings LLC;286.0;20/07/10
?;?;?;HipHop/Rap Music Rap Dirty South;?;?;216.0;?
?;Taylor Swift;?;?;?;?;?;11/11/08
Summer Twoloud Remix;?;?;Dance Music;1.29;2014 Sony Music Entertainment UK Limited;?;?
Find You feat Matthew Koma and Miriam Bryant;Zedd;?;Dance Music;1.29;?;204.0;26/01/14
?;?;5 Seconds of Summer Bonus Track Version;Pop Music Teen Pop Alternative Punk Rock;1.29;?;165.0;22/07/14
?;Ryan Adams;1989;?;1.29;?;?;?
Take My Drunk Ass Home Demo;Luke Bryan;Spring Break Here to Party;Country Music Contemporary Country;?;2013 Capitol Records Nashville All rights reserved Unauthorized reproduction is a violation of applicable laws Manufactured by Capitol Records Nashville 401 Commerce Street Suite 1100 Nashville TN 37219;202.0;01/03/13
Fake Demo;Shinedown;?;Rock Music Metal Hard Rock Alternative;1.29;2009 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States;?;04/10/05
?;?;Love Songs Drug Songs EP;Alternative Music Rock Adult Alternative;?;2013 KIDinaKORNER/Interscope Records;?;?
?;Nick Jonas and The Administration;Who I Am;?;0.99;?;294.0;?
Beating Heart Dexcell Remix;?;Beating Heart EP;?;1.29;?;318.0;26/05/14
?;Luke Bryan;Spring Break Checkin Out;?;1.29;?;203.0;?
?;?;?;HipHop/Rap Music Rap Hardcore Rap;1.29;?;?;21/12/09
Video Games Omid 16B Instrumental Reprise;?;?;?;?;?;?;21/01/13
?;?;All My Friends Celebrating the Songs and Voice of Gregg Allman;Rock Music;?;2014 Blackbird Production Partners LLC Under Exclusive License Rounder Records Manufactured and Distributed by Concord Music Group Inc;300.0;06/05/14
