?;?;Leave a Whisper Deluxe Version;?;?;2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States;239.0;27/05/03
Sweet Lil Gal 23rd/1st;?;Heartbreaker;?;?;2000 Pax Am Records;218.0;05/09/00
I Like It Rough;?;?;Pop Music;?;2014 Interscope Records;202.0;05/08/14
Lights RAC Mix;?;Lights Pt 2 The Remixes EP;Dance Music Pop;1.29;2011 Polydor Ltd UK;344.0;19/07/11
?;?;Rock N Roll;Rock Music Adult Alternative;1.29;?;?;04/11/03
Leave Me Alone I m Lonely Live;PNK;Funhouse Tour Live In Australia;Pop Music Dance RandB / Soul Pop/Rock;?;2009 RCA/JIVE Label Group a unit of Sony Music Entertainment;187.0;26/10/09
Epilogue feat George the Poet;Naughty Boy;Hotel Cabana;Pop Music RandB / Soul Contemporary RandB HipHop/Rap Pop/Rock Rock;1.29;2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd;88.0;06/05/14
Goodnight Hollywood Blvd;Ryan Adams;Gold;Rock Music;1.29;2014 UMG Recordings Inc;204.0;30/09/14
You Ca nt Have Everything;Little Big Town;?;?;?;2010 Little Big Town LLC under exclusive license to Capitol Records Nashville All rights reserved Unauthorized reproduction is a violation of applicable laws Manufactured by Capitol Records Nashville 3322 West End Avenue 11th Floor Nashville TN;209.0;20/08/10
?;?;Lazers Never Die EP;Electronic Music Reggae Modern Dancehall Dance;?;2010 Downtown Recordings LLC;?;20/07/10
Why You Up In Here feat Ludacris Git Fresh and Gucci Mane;Flo Rida;?;?;1.29;2010 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States;?;24/11/10
Forever and Always;Taylor Swift;Fearless;Country Music Rock Honky Tonk Pop Adult Contemporary Contemporary Country;1.29;?;225.0;11/11/08
?;Calvin Harris;?;Dance Music;1.29;?;322.0;20/06/14
Find You feat Matthew Koma and Miriam Bryant;?;Find You feat Matthew Koma and Miriam Bryant Single;?;1.29;2014 Interscope Records;204.0;26/01/14
?;5 Seconds of Summer;5 Seconds of Summer Bonus Track Version;Pop Music Teen Pop Alternative Punk Rock;1.29;2014 Capitol Records Ltd;165.0;22/07/14
Clean;Ryan Adams;1989;Rock Music;1.29;2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records;263.0;21/09/15
Take My Drunk Ass Home Demo;Luke Bryan;Spring Break Here to Party;Country Music Contemporary Country;?;2013 Capitol Records Nashville All rights reserved Unauthorized reproduction is a violation of applicable laws Manufactured by Capitol Records Nashville 401 Commerce Street Suite 1100 Nashville TN 37219;202.0;01/03/13
Fake Demo;Shinedown;Us and Them Deluxe Version;?;1.29;2009 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States;305.0;?
Brother;?;Love Songs Drug Songs EP;Alternative Music Rock Adult Alternative;1.29;?;228.0;?
Stronger Back On the Ground;Nick Jonas and The Administration;?;?;0.99;2010 Jonas Enterprises;294.0;02/02/10
?;Ellie Goulding;Beating Heart EP;Pop Music Rock;1.29;2014 Polydor Ltd UK;318.0;26/05/14
Are You Leaving With Him;Luke Bryan;?;Country Music Contemporary Country;?;2015 Capitol Records Nashville;203.0;?
?;?;Relapse Refill;HipHop/Rap Music Rap Hardcore Rap;1.29;2009 Aftermath Records;242.0;21/12/09
?;Lana Del Rey;?;?;?;?;155.0;21/01/13
Please Call Home;Sam Moore;?;?;1.29;2014 Blackbird Production Partners LLC Under Exclusive License Rounder Records Manufactured and Distributed by Concord Music Group Inc;300.0;06/05/14
?;?;Everything Is 4;Pop Music Rock RandB / Soul Contemporary RandB Dance;1.29;?;?;01/06/15
Those I ve Loved;Eric Church;Carolina;Country Music Contemporary Country Rock Southern Rock;1.29;?;303.0;24/03/09
Fashion of His Love Fernando Garibay Remix;Lady Gaga;Born This Way Bonus Track Version;Pop Music;?;2014 Interscope Records;?;05/08/14
El Perd n Forgiveness;?;?;Pop Music;1.29;2015 Sony Music Entertainment US Latin LLC;206.0;10/07/15
Bloody Mary;Lady Gaga;Born This Way;?;1.29;2014 Interscope Records;244.0;05/08/14
?;Shinedown;The Studio Album Collection;Rock Music;?;?;241.0;?
?;Brett Eldredge;Illinois;?;1.29;2015 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States A Warner Music Group Company;193.0;11/09/15
Soul Provider;?;Reggae Gold 2014;?;?;2014 VP Music Group Inc;255.0;12/08/14
Amnesia;5 Seconds of Summer;5 Seconds of Summer;?;?;2014 Capitol Records Ltd;?;?
Babe I m Gon na Leave You Live;?;Funhouse Tour Live In Australia;?;?;2009 RCA/JIVE Label Group a unit of Sony Music Entertainment;382.0;26/10/09
Livin Part of Life;Eric Church;Chief / Caught In the Act / Carolina / Sinners Like Me;Country Music Rock Southern Rock Contemporary Country;?;2013 Capitol Nashville;?;17/12/13
Through the Ghost;Shinedown;?;Rock Music Alternative Grunge Hard Rock Metal;?;2012 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States;241.0;?
Burn Magic Man Remix;Ellie Goulding;Burn Remixes;Pop Music Rock;?;2013 Polydor Ltd UK;250.0;17/09/13
Fire Away;Skrillex;Recess;Dance Music Electronic Rock;1.29;2014 OWSLA/Big Beat Records Inc for the United States and WEA International Inc for the world outside of the United States;?;14/03/14
Medicated feat Chevy Woods and Juicy J;Wiz Khalifa;O N I F C;HipHop/Rap Music Hardcore Rap East Coast Rap Rap;?;2012 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States;330.0;04/12/12
