Fly from the Inside Live Acoustic from WXDX Pittsburgh;Shinedown;Leave a Whisper Deluxe Version;?;1.29;2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States;?;27/05/03
Sweet Lil Gal 23rd/1st;Ryan Adams;?;?;0.99;2000 Pax Am Records;218.0;05/09/00
I Like It Rough;Lady Gaga;The Fame Monster Deluxe Version;Pop Music;1.29;?;202.0;05/08/14
?;Ellie Goulding;Lights Pt 2 The Remixes EP;Dance Music Pop;1.29;2011 Polydor Ltd UK;344.0;19/07/11
The Drugs Not Working;Ryan Adams;Rock N Roll;Rock Music Adult Alternative;1.29;2014 UMG Recordings Inc;332.0;04/11/03
Leave Me Alone I m Lonely Live;PNK;Funhouse Tour Live In Australia;?;1.99;2009 RCA/JIVE Label Group a unit of Sony Music Entertainment;?;26/10/09
Epilogue feat George the Poet;Naughty Boy;?;Pop Music RandB / Soul Contemporary RandB HipHop/Rap Pop/Rock Rock;?;2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd;?;?
Goodnight Hollywood Blvd;Ryan Adams;Gold;Rock Music;1.29;2014 UMG Recordings Inc;204.0;30/09/14
You Ca nt Have Everything;Little Big Town;The Reason Why;Country Music Rock Singer/Songwriter Contemporary Singer/Songwriter Southern Rock Contemporary Country Urban Cowboy;1.29;?;209.0;20/08/10
?;?;?;?;?;2010 Downtown Recordings LLC;286.0;20/07/10
?;?;Only One Flo Pt 1;HipHop/Rap Music Rap Dirty South;1.29;2010 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States;216.0;?
Forever and Always;Taylor Swift;Fearless;?;1.29;2008 Big Machine Records LLC;225.0;11/11/08
Summer Twoloud Remix;Calvin Harris;Summer Remixes EP;Dance Music;?;?;322.0;?
?;Zedd;Find You feat Matthew Koma and Miriam Bryant Single;?;1.29;2014 Interscope Records;204.0;26/01/14
Greenlight Bonus Track;5 Seconds of Summer;?;Pop Music Teen Pop Alternative Punk Rock;1.29;?;165.0;?
Clean;Ryan Adams;1989;Rock Music;1.29;2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records;263.0;21/09/15
?;Luke Bryan;Spring Break Here to Party;Country Music Contemporary Country;1.29;2013 Capitol Records Nashville All rights reserved Unauthorized reproduction is a violation of applicable laws Manufactured by Capitol Records Nashville 401 Commerce Street Suite 1100 Nashville TN 37219;202.0;01/03/13
?;Shinedown;Us and Them Deluxe Version;Rock Music Metal Hard Rock Alternative;?;2009 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States;305.0;04/10/05
?;X Ambassadors;Love Songs Drug Songs EP;Alternative Music Rock Adult Alternative;1.29;2013 KIDinaKORNER/Interscope Records;?;07/05/13
Stronger Back On the Ground;Nick Jonas and The Administration;Who I Am;Rock Music Pop Teen Pop Pop/Rock;?;?;?;02/02/10
?;Ellie Goulding;Beating Heart EP;?;?;2014 Polydor Ltd UK;318.0;26/05/14
Are You Leaving With Him;Luke Bryan;Spring Break Checkin Out;Country Music Contemporary Country;1.29;2015 Capitol Records Nashville;?;10/03/15
Must Be the Ganja;Eminem;Relapse Refill;HipHop/Rap Music Rap Hardcore Rap;1.29;2009 Aftermath Records;?;?
Video Games Omid 16B Instrumental Reprise;?;Blue Jeans Omid 16B Remixes;?;1.29;2013 Alola Records;?;?
Please Call Home;?;?;?;1.29;2014 Blackbird Production Partners LLC Under Exclusive License Rounder Records Manufactured and Distributed by Concord Music Group Inc;300.0;06/05/14
X2CU;Jason Derulo;Everything Is 4;?;1.29;2015 Warner Bros Records Inc;?;?
Those I ve Loved;Eric Church;Carolina;Country Music Contemporary Country Rock Southern Rock;1.29;2009 Capitol Records Nashville All rights reserved Unauthorized reproduction is a violation of applicable laws Manufactured by Capitol Records Nashville 3322 West End Avenue 11th Floor Nashville TN 37203;303.0;?
Fashion of His Love Fernando Garibay Remix;Lady Gaga;Born This Way Bonus Track Version;Pop Music;1.29;?;?;?
El Perd n Forgiveness;Nicky Jam and Enrique Iglesias;El Perd n Forgiveness Single;?;?;2015 Sony Music Entertainment US Latin LLC;206.0;?
Bloody Mary;Lady Gaga;Born This Way;Pop Music Rock Dance;1.29;?;244.0;05/08/14
Through the Ghost;Shinedown;The Studio Album Collection;?;1.29;2013 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States A Warner Music Group Company;?;08/11/13
Going Away For a While;Brett Eldredge;Illinois;Country Music Contemporary Country Honky Tonk Traditional Country;?;2015 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States A Warner Music Group Company;?;11/09/15
Soul Provider;Romain Virgo;?;Reggae Music;?;2014 VP Music Group Inc;?;12/08/14
?;5 Seconds of Summer;5 Seconds of Summer;?;1.29;2014 Capitol Records Ltd;237.0;?
Babe I m Gon na Leave You Live;PNK;?;Pop Music Dance RandB / Soul Pop/Rock;?;?;382.0;26/10/09
Livin Part of Life;Eric Church;Chief / Caught In the Act / Carolina / Sinners Like Me;Country Music Rock Southern Rock Contemporary Country;1.29;?;269.0;17/12/13
?;Shinedown;Amaryllis;Rock Music Alternative Grunge Hard Rock Metal;?;2012 Atlantic Recording Corporation for the United States and WEA International Inc for the world outside of the United States;241.0;23/03/12
?;Ellie Goulding;Burn Remixes;Pop Music Rock;1.29;2013 Polydor Ltd UK;?;17/09/13
