Peru;FUERZA AEREA DEL PERU;1995;CF;737-500;Sep;1995;South America;1;1
Ireland;Ryanair;2002;CF;737-800;Jan;2002;Europe;?;2
Netherlands;?;1983;GE;747-300;?;1982;?;1;?
USA;?;?;GE;777F;?;2007;North America;2;?
Russian Federation;Volga-Dnepr UK Ltd;2012;GE;747-8F;Nov;?;Europe;3;3
Argentina;Aerolineas Argentinas;1978;?;727;?;?;South America;2;2
Indonesia;?;1976;PW;DC-9;Feb;1976;Southeast Asia;3;?
China;?;2002;RR;757-200;Mar;2000;East Asia;?;?
USA;?;2000;RR;?;Jan;?;North America;2;?
?;AOM French Airlines;1996;?;?;Jun;?;Europe;2;2
?;?;1989;?;?;Apr;1988;Europe;2;2
Turkey;Pegasus Airlines;2007;?;737-800;Feb;2006;?;?;1
Netherlands;?;1993;CF;737-300;?;1991;Europe;1;1
Venezuela;Aeropostal;1987;PW;MD-80;May;?;?;1;1
USA;?;1978;?;?;Jan;1973;?;1;1
Germany;Bavaria;?;PW;?;Jan;1980;Europe;?;2
Turkey;?;?;CF;?;Aug;2003;?;?;1
Germany;?;?;?;MD-80;Aug;1986;Europe;1;1
?;?;1993;PW;767-200ER;?;1991;Europe;2;?
Cameroon;Cameroon Airlines;1972;PW;707/720;May;1972;Africa;?;?
USA;Jackson Square Aviation;2021;?;737 MAX;?;2021;North America;4;4
?;DAE 4 Ireland Limited;2020;GE;777F;Dec;2018;?;1;1
Switzerland;?;1968;?;DC-9;Jan;1966;?;5;?
?;?;1997;?;?;Oct;?;Europe;5;5
?;?;?;?;737-800;?;2007;Africa;1;1
?;?;1980;PW;DC-9;?;1979;?;4;4
Germany;Deucalion Capital VII Limited;2010;?;777F;Dec;2005;?;4;4
China;?;?;GE;747-400ERF;?;2005;East Asia;?;2
USA;?;2006;CF;737-800;Jan;?;North America;1;?
Germany;Lufthansa Cargo;?;GE;MD-11;?;1997;?;5;?
?;Tanzania;2019;?;?;May;?;?;1;1
?;Air China;1998;PW;747-400M;Jan;1997;?;1;?
State of Libya;?;1975;PW;727;?;1974;Africa;?;?
Mexico;?;1992;CF;737-300;Sep;?;Central America and Mexico;?;?
USA;World Airways Inc.;1965;?;707/720;Jan;?;?;1;1
?;Azerbaijan Airlines;2014;GE;787-8;Feb;?;?;2;2
China;?;1985;PW;747-200;May;?;?;1;1
China;CATIC;?;?;?;Mar;1990;East Asia;2;2
?;?;1998;CF;?;?;1997;?;1;1
Japan;Mitsui & Co.;1990;GE;MD-11;?;1986;?;2;?
?;Air Lease Corporation;2017;?;787-9;Jan;2016;North America;1;1
?;?;2011;GE;777-300ER;Apr;?;Middle East;3;3
?;China Cargo;2006;GE;?;Jul;2005;East Asia;1;?
Brunei Darussalam;?;?;PW;737-200;Jan;?;Southeast Asia;2;2
China;China Eastern Yunnan Airlines;?;CF;737-300;Jan;1985;?;?;1
?;CDB Aviation;2016;?;737-800;Mar;?;East Asia;?;6
?;Altavair LLC;2007;GE;747-400ERF;Jun;2005;North America;3;3
?;Comair Limited;2015;CF;737-800;Jun;2010;Africa;2;?
Japan;Japan Transocean Air;2016;CF;?;May;2014;East Asia;2;?
?;?;1997;PW;757-200;?;?;Middle East;?;1
?;Air Malta;?;PW;737-200;Mar;?;Europe;3;3
Brazil;VASP Airlines;1973;?;737-200;Mar;1973;South America;3;?
USA;USAF PAR Program;2017;GE;?;Aug;2017;North America;2;2
Mexico;Aeromexico;1980;?;DC-9;?;1979;Central America and Mexico;?;6
Brazil;GOL Linhas Aereas;2009;?;?;Feb;?;?;1;1
?;Azerbaijan Airlines;2012;GE;767-300F;Jun;?;Central Asia;2;2
Ukraine;?;2012;CF;737-800;Jul;?;Europe;2;2
Spain;Iberia Airlines;1972;PW;?;Jan;1972;Europe;?;?
?;?;2015;RR;787-9;Oct;2006;?;6;?
?;SilkAir;2015;CF;?;Nov;?;Southeast Asia;6;6
