palm  the (los angeles);9001 santa monica blvd.;w. hollywood;310-550-8811;steakhouses;15
?;?;los angeles;310-246-1501;?;?
art's delicatessen;?;?;?;?;?
art's deli;12224 ventura blvd.;?;818-762-1221;?;1
?;701 stone canyon rd.;?;310/472-1211;?;?
bel-air hotel;?;bel air;310-472-1211;?;2
cafe bizou;?;?;818/788-3536;french;3
?;?;sherman oaks;?;?;3
?;624 s. la brea ave.;los angeles;?;american;?
?;624 s. la brea ave.;los angeles;?;californian;4
chinois on main;2709 main st.;santa monica;310/392-9025;?;?
?;?;?;310-392-9025;pacific new wave;?
citrus;?;los angeles;213/857-0034;californian;?
?;?;los angeles;?;californian;6
fenix;8358 sunset blvd. west;hollywood;?;?;?
fenix at the argyle;8358 sunset blvd.;?;?;french (new);?
?;?;?;?;?;8
granita;?;malibu;310-456-0488;?;?
grill on the alley;9560 dayton way;los angeles;?;american;9
?;?;?;?;american (traditional);9
?;?;?;?;asian;10
?;?;los feliz;?;japanese;?
l'orangerie;?;los angeles;?;french;11
?;?;?;?;french (classic);11
le chardonnay;8284 melrose ave.;?;?;?;12
?;?;?;?;?;12
?;?;los angeles;?;?;?
?;?;?;?;italian;?
?;?;?;310/659-9639;asian;14
?;129 n. la cienega blvd.;?;310-659-9639;seafood;14
the palm;9001 santa monica blvd.;los angeles;?;american;?
arnie morton's of chicago;?;los angeles;?;?;?
patina;?;los angeles;213/467-1108;californian;?
?;5955 melrose ave.;los angeles;?;californian;16
philippe's the original;?;los angeles;?;american;?
philippe the original;?;?;213-628-3781;?;?
?;?;los angeles;?;?;?
pinot bistro;12969 ventura blvd.;?;?;?;18
rex il ristorante;?;los angeles;213/627-2300;italian;?
rex il ristorante;?;los angeles;213-627-2300;nuova cucina italian;19
spago;?;los angeles;?;californian;20
spago (los angeles);8795 sunset blvd.;?;?;?;20
?;3115 pico blvd.;santa monica;310/829-4313;?;?
valentino;?;?;310-829-4313;italian;?
?;67 n. raymond ave.;?;818/585-0855;asian;?
?;?;?;?;?;22
?;?;new york;212/582-7200;?;23
21 club;?;?;?;?;23
?;13 w. 54th st.;?;?;?;?
aquavit;?;?;?;scandinavian;?
?;34 e. 61st st.;?;?;?;25
?;?;new york city;?;?;25
?;?;?;212/496-6031;coffee bar;?
cafe lalo;?;new york city;212-496-6031;?;26
?;1 w. 67th st.;?;212/877-3500;?;?
?;?;?;?;?;?
carmine's;2450 broadway  between 90th and 91st sts.;new york;?;?;?
?;?;?;?;?;28
?;854 7th ave.  between 54th and 55th sts.;new york;?;delicatessen;29
?;854 seventh ave.;new york city;?;?;29
chanterelle;?;?;?;american;30
?;?;new york city;212-966-6960;french (new);30
daniel;20 e. 76th st.;?;?;french;?
daniel;?;new york city;212-288-0033;?;?
?;210 e. 58th st.;?;212/355-7555;asian;?
?;210 e. 58th st.;?;?;?;32
felidia;243 e. 58th st.;?;212/758-1479;italian;33
felidia;?;?;?;?;33
four seasons grill room;?;?;212/754-9494;american;?
?;?;?;212-754-9494;?;34
?;12 e. 12th st.;?;?;american;35
gotham bar & grill;12 e. 12th st.;new york city;212-620-4020;?;35
gramercy tavern;42 e. 20th st.  between park ave. s and broadway;new york;?;american;36
?;?;new york city;212-477-0777;american (new);?
island spice;?;new york;212/765-1737;tel caribbean;?
island spice;402 w. 44th st.;?;?;caribbean;?
?;160 e. 64th st.;new york;?;american;?
jo jo;?;?;?;?;?
?;?;?;?;?;39
la caravelle;?;new york city;212-586-4252;?;39
la cote basque;60 w. 55th st.  between 5th and 6th ave.;?;?;french;?
?;?;?;212-688-6525;?;40
?;?;new york;212/489-1515;?;?
le bernardin;155 w. 51st st.;?;?;seafood;41
?;?;?;?;french;42
les celebrites;?;new york city;212-484-5113;french (classic);42
?;2 e. 55th st.;?;212/339-6719;american;?
?;?;new york city;?;?;43
?;?;?;212/752-2225;french;44
?;249 e. 50th st.;?;212-752-2225;french (classic);?
?;?;?;212/ 371-7777;?;45
?;57 w. 58th st.;?;212-371-7777;seafood;?
march;?;new york;?;american;?
?;405 e. 58th st.;?;212-754-6272;?;?
?;?;?;?;?;47
mesa grill;?;new york city;212-807-7400;?;47
mi cocina;57 jane st.  off hudson st.;?;212/627-8273;?;?
mi cocina;?;?;?;?;?
?;239 w. broadway  between walker and white sts.;?;212/ 219-2777;?;49
montrachet;?;?;212-219-2777;french bistro;49
oceana;?;new york;?;?;?
oceana;55 e. 54th st.;?;212-759-5941;seafood;50
park avenue cafe;?;new york;?;american;?
park avenue cafe (new york city);?;new york city;212-644-1900;american (new);51
petrossian;?;new york;212/245-2214;?;52
petrossian;?;new york city;?;?;?
?;35 w. 64th st.;?;212/724-8585;mediterranean;?
?;?;?;?;?;?
?;?;?;212/260-6660;?;54
pisces;?;new york city;212-260-6660;?;54
?;?;new york;212/632-5000;?;55
rainbow room;?;new york city;?;?;55
?;?;brooklyn;?;american;?
river cafe;1 water st.;brooklyn;718-522-5200;?;56
?;?;?;212/265-5959;italian;57
san domenico;240 central park s.;new york city;212-265-5959;italian;57
second avenue deli;?;?;?;?;?
second avenue deli;156 second ave.;?;?;delis;58
seryna;11 e. 53rd st.;?;?;?;?
?;?;new york city;?;japanese;?
?;?;new york;?;?;?
shun lee palace;?;?;?;chinese;60
?;1110 3rd ave. at 65th st.;new york;?;?;61
?;?;?;?;american (new);?
?;?;?;?;american;?
smith & wollensky;?;?;?;?;?
?;in central park at 67th st.;new york;?;?;63
?;?;?;?;?;?
uncle nick's;?;?;?;mediterranean;?
uncle nick's;747 ninth ave.;new york city;?;greek;64
union square cafe;?;new york;?;american;?
union square cafe;?;new york city;?;american (new);65
?;?;new york;?;american;?
?;152 w. 44th st.;new york city;?;bbq;?
?;3200 las vegas blvd. s;?;702/733-8899;asian;67
chin's;3200 las vegas blvd. s.;las vegas;702-733-8899;chinese;67
?;?;?;?;southwestern;68
coyote cafe (las vegas);3799 las vegas blvd. s.;las vegas;702-891-7349;southwestern;?
le montrachet;3000 w. paradise rd.;las vegas;?;?;?
le montrachet bistro;3000 paradise rd.;?;702-732-5651;?;?
palace court;3570 las vegas blvd. s;las vegas;?;continental;?
?;3570 las vegas blvd. s.;las vegas;702-731-7110;french (new);70
second street grille;200 e. fremont st.;las vegas;?;seafood;71
second street grill;200 e. fremont st.;?;702-385-6277;pacific rim;?
?;2880 las vegas blvd. s;las vegas;702/734-0410;steak houses;?
steak house  the;2880 las vegas blvd. s.;?;?;?;?
tillerman;2245 e. flamingo rd.;?;?;?;?
?;?;?;702-731-4036;steakhouses;?
?;?;?;?;?;74
abruzzi;2355 peachtree rd. ne;atlanta;404-261-8186;?;74
bacchanalia;?;atlanta;?;?;?
?;?;?;404-365-0410;californian;?
?;3130 piedmont road;atlanta;?;?;?
bone's restaurant;3130 piedmont rd. ne;?;?;?;76
brasserie le coze;3393 peachtree rd.  lenox square mall  near neiman marcus;atlanta;404/266-1440;french;?
?;?;?;404-266-1440;french bistro;?
buckhead diner;3073 piedmont road;atlanta;?;american;78
buckhead diner;3073 piedmont rd.;atlanta;404-262-3336;?;?
ciboulette;1529 piedmont ave.;atlanta;404/874-7600;?;?
?;?;?;404-874-7600;?;79
delectables;1 margaret mitchell sq.;?;404/681-2909;?;80
?;?;?;?;cafeterias;?
?;?;atlanta;?;american;?
?;?;?;?;southwestern;?
hedgerose heights inn;490 e. paces ferry rd.;?;?;international;?
hedgerose heights inn  the;?;?;404-233-7673;continental;?
?;?;atlanta;?;asian;83
?;595 piedmont ave.;atlanta;404-876-4408;indian;?
indigo coastal grill;?;?;?;caribbean;84
indigo coastal grill;1397 n. highland ave.;atlanta;?;?;84
la grotta;2637 peachtree rd.  peachtree house condominium;atlanta;404/231-1368;?;85
la grotta;?;atlanta;404-231-1368;italian;85
?;?;atlanta;?;southern;?
?;224 ponce de leon ave.;?;?;?;86
?;?;?;?;continental;?
nikolai's roof;?;?;404-221-6362;?;87
pano's and paul's;?;?;404/261-3662;international;?
pano's & paul's;?;atlanta;?;american (new);88
cafe  ritz-carlton  buckhead;3434 peachtree rd.;atlanta;?;?;?
ritz-carlton cafe (buckhead);?;?;?;american (new);?
?;3434 peachtree rd.;atlanta;404/237-2700;?;90
?;?;?;404-237-2700;?;?
?;?;atlanta;?;?;91
?;?;atlanta;?;french (classic);?
?;?;?;?;?;?
?;?;?;404-351-9533;?;92
veni vidi vici;?;atlanta;?;italian;93
?;?;?;?;italian;?
alain rondelli;?;san francisco;?;?;?
?;126 clement st.;san francisco;?;french (new);94
?;?;?;415/956-9662;?;95
aqua;252 california st.;?;?;?;95
boulevard;?;san francisco;?;?;?
?;1 mission st.;?;415-543-6084;american (new);?
?;7 claude la.;?;?;?;97
?;7 claude ln.;?;415-392-3505;?;97
campton place;?;?;?;?;?
campton place;340 stockton st.;?;?;?;98
?;804 northpoint;san francisco;415/775-7036;?;99
chez michel;804 north point st.;san francisco;415-775-7036;californian;99
fleur de lys;?;?;?;?;?
?;?;san francisco;?;?;100
?;?;san francisco;415/543-0573;french;?
fringale;?;san francisco;?;?;?
hawthorne lane;?;san francisco;415/777-9779;american;?
?;?;?;?;?;?
?;5937 geary blvd.;?;?;asian;?
khan toke thai house;?;san francisco;?;?;103
?;?;?;415/776-5577;?;104
?;2316 polk st.;?;415-776-5577;?;104
?;816 folsom st.;?;415/495-5775;mediterranean;?
?;816 folsom st.;?;?;mediterranean;105
masa's;648 bush st.;san francisco;?;?;106
masa's;648 bush st.;san francisco;?;french (new);106
mifune japan center  kintetsu building;?;?;415/922-0337;asian;107
?;1737 post st.;?;?;japanese;?
?;?;san francisco;?;?;108
plumpjack cafe;?;san francisco;415-563-4755;?;108
?;545 post st.;?;?;?;109
postrio;?;?;415-776-7825;californian;109
ritz-carlton restaurant and dining room;600 stockton st.;?;415/296-7465;?;?
ritz-carlton dining room (san francisco);?;?;?;french (new);?
?;532 columbus ave.;san francisco;?;?;111
?;532 columbus ave.;san francisco;?;italian;111
adriano's ristorante;2930 beverly glen circle;?;?;italian;112
barney greengrass;?;beverly hills;310/777-5877;american;113
beaurivage;26025 pacific coast hwy.;?;?;french;114
bistro garden;?;?;?;californian;115
border grill;4th st.;los angeles;310/451-1655;mexican;?
broadway deli;?;?;310/451-0616;american;?
?;?;los angeles;?;italian;118
ca'del sol;4100 cahuenga blvd.;los angeles;?;italian;119
?;700 w. fifth st.;los angeles;?;?;120
california pizza kitchen;207 s. beverly dr.;?;310/275-1101;californian;121
?;419 n. fairfax ave.;?;?;american;122
cava;3rd st.;los angeles;213/658-8898;?;?
?;?;?;?;caribbean;?
?;310 n. larchmont blvd.;?;?;asian;?
clearwater cafe;?;?;818/356-0959;health food;?
dining room;?;?;310/275-5200;?;?
?;10250 santa monica blvd.;los angeles;?;?;128
drago;?;?;?;?;?
drai's;?;los angeles;?;?;130
?;930 hilgard ave.;los angeles;310/208-8765;?;131
eclipse;8800 melrose ave.;?;?;?;132
ed debevic's;134 n. la cienega;?;?;american;?
el cholo;1121 s. western ave.;los angeles;213/734-2773;mexican;134
gilliland's;2424 main st.;santa monica;310/392-3901;?;135
?;4 fish 17300 pacific coast hwy. at sunset blvd.;?;?;?;136
?;?;?;?;american;137
?;?;?;310/277-2333;italian;?
?;?;los angeles;310/550-8330;?;139
