?;nm0726223;Crash Point Zero;2001;433;3.4;tt0248742
Bae Doona;nm0046277;?;2018;2409;6.2;tt6914542
Vincent Schiavelli;nm0001704;Gangster Wars;1981;180;6.7;tt0082434
John Carradine;nm0001017;?;1935;3339;7.6;tt0026725
Robert Redford;nm0000602;Buttons A New Musical Film;2018;390;5.4;tt9248032
J.K. Simmons;nm0799777;Terminator Genisys;2015;261441;6.3;tt1340138
?;nm0266824;The Twilight Saga: Breaking Dawn - Part 2;2012;233442;5.5;tt1673434
Melora Hardin;nm0002124;The Hot Chick;2002;90569;5.5;tt0302640
Jack Nicholson;?;The Missouri Breaks;1976;9796;6.6;tt0074906
Richard Burton;?;The Bramble Bush;1960;173;5.6;tt0053673
Juno Temple;nm1017334;Magic Magic;2013;9309;5.0;tt1929308
Felix Silla;nm0798061;Spaceballs;1987;173188;7.1;?
Laura Aikman;?;Freight;2010;707;?;tt1376404
Gary Busey;nm0000997;Big Wednesday;1978;6171;?;tt0077235
?;nm2922572;Tone-Deaf;2019;2302;4.8;tt8332666
Kelly Overton;nm0653952;Tekken;2010;26327;?;?
John Mills;nm0590055;Nine Days a Queen;1936;185;6.6;tt0028033
Brandon Jay McLaren;nm1564963;Scooby-Doo 2: Monsters Unleashed;2004;50842;5.1;?
Andy Samberg;?;Popstar: Never Stop Never Stopping;2016;?;6.7;tt3960412
?;nm0000039;The Sundowners;1960;3811;7.1;?
Theresa Russell;?;Bad Timing;1980;8307;7.0;tt0080408
?;nm0735442;Fast & Furious 6;2013;370952;?;tt1905041
Alfre Woodard;nm0005569;Scrooged;1988;89406;7.0;tt0096061
Lucas Till;nm1395771;The Other Side;2006;1412;?;tt0393567
David Morrissey;nm0607375;Some Voices;2000;1145;6.6;tt0218616
?;nm0679410;Deadly Past;?;167;4.4;tt0112829
Steven Seagal;?;Ticker;?;6612;3.6;tt0196158
Stephanie Kurtzuba;nm1368866;?;2019;?;7.8;tt1302006
Frankie Faison;nm0265670;Maximum Overdrive;1986;30457;?;tt0091499
Robert Taylor;nm0001791;The Night Walker;1964;1750;6.4;tt0058403
Jennifer Esposito;nm0261170;Breakin' All the Rules;2004;5856;5.7;tt0349169
Josh Hutcherson;nm1242688;Motocross Kids;2004;414;3.9;tt0386649
Vinnie Jones;nm0005068;Blast;2004;1556;4.8;tt0361399
Richard Moll;?;Night Train to Terror;1985;2090;4.2;tt0087798
Laurence Harvey;nm0002131;The Silent Enemy;1958;568;6.6;tt0052197
Alice Evans;nm0262521;The Abduction Club;2002;1672;6.7;tt0264333
Saoirse Ronan;nm1519680;City of Ember;2008;63150;6.5;tt0970411
Nick Nolte;nm0000560;I'll Do Anything;1994;2429;5.5;tt0110097
Queen Latifah;nm0001451;The Perfect Holiday;2007;2912;4.6;tt0841032
Natasha Little;nm0514638;Blood;2012;3997;6.0;tt2078552
Gabriel Byrne;nm0000321;Mad to Be Normal;2017;1206;6.0;tt4687410
Maribel Verdu;?;El amante bilingue;?;?;?;tt0106251
Charlie Plummer;nm4055138;Gully;2019;?;1.5;tt5013984
Gil Bellows;nm0004743;Leading Lady;2014;716;5.8;tt3510718
Michael Moriarty;nm0605363;Blood Link;1982;370;5.5;tt0083659
Patricia Tallman;nm0848191;Star Trek: Generations;1994;77076;6.6;tt0111280
Lyne Renee;nm1869872;Ober;2006;2895;7.0;tt0476681
