Richard Riehle;nm0726223;Crash Point Zero;?;433;3.4;tt0248742
Bae Doona;nm0046277;The Drug King;2018;?;6.2;tt6914542
Vincent Schiavelli;nm0001704;Gangster Wars;1981;180;6.7;tt0082434
John Carradine;nm0001017;Les Miserables;1935;?;7.6;?
Robert Redford;nm0000602;Buttons A New Musical Film;?;390;5.4;tt9248032
J.K. Simmons;nm0799777;?;2015;?;?;tt1340138
Dakota Fanning;nm0266824;The Twilight Saga: Breaking Dawn - Part 2;2012;?;5.5;tt1673434
Melora Hardin;?;The Hot Chick;2002;90569;5.5;tt0302640
Jack Nicholson;nm0000197;The Missouri Breaks;1976;9796;6.6;tt0074906
Richard Burton;nm0000009;?;1960;173;5.6;tt0053673
Juno Temple;nm1017334;Magic Magic;?;9309;5.0;tt1929308
Felix Silla;nm0798061;Spaceballs;1987;173188;7.1;tt0094012
Laura Aikman;nm0014605;Freight;2010;?;?;tt1376404
Gary Busey;nm0000997;?;1978;6171;7.2;tt0077235
Johnny Pemberton;nm2922572;Tone-Deaf;2019;?;?;tt8332666
Kelly Overton;?;Tekken;2010;26327;4.8;?
John Mills;nm0590055;Nine Days a Queen;?;185;6.6;?
Brandon Jay McLaren;nm1564963;?;?;50842;5.1;tt0331632
?;nm1676221;Popstar: Never Stop Never Stopping;?;55553;6.7;tt3960412
Deborah Kerr;nm0000039;?;1960;3811;7.1;tt0054353
Theresa Russell;nm0000622;Bad Timing;1980;8307;?;?
?;?;Fast & Furious 6;2013;370952;7.0;tt1905041
Alfre Woodard;nm0005569;Scrooged;1988;89406;7.0;tt0096061
Lucas Till;nm1395771;The Other Side;2006;1412;?;?
David Morrissey;?;?;2000;1145;6.6;tt0218616
Dedee Pfeiffer;nm0679410;Deadly Past;1995;?;?;tt0112829
Steven Seagal;nm0000219;Ticker;2001;?;3.6;?
?;nm1368866;The Irishman;2019;333018;7.8;tt1302006
Frankie Faison;nm0265670;Maximum Overdrive;1986;30457;?;tt0091499
Robert Taylor;nm0001791;The Night Walker;1964;1750;6.4;tt0058403
Jennifer Esposito;nm0261170;Breakin' All the Rules;2004;5856;?;tt0349169
Josh Hutcherson;nm1242688;Motocross Kids;2004;414;3.9;tt0386649
Vinnie Jones;nm0005068;Blast;?;1556;4.8;tt0361399
Richard Moll;?;Night Train to Terror;1985;2090;4.2;tt0087798
?;nm0002131;The Silent Enemy;1958;568;6.6;tt0052197
?;nm0262521;The Abduction Club;?;?;?;tt0264333
Saoirse Ronan;nm1519680;City of Ember;2008;63150;6.5;tt0970411
Nick Nolte;nm0000560;I'll Do Anything;1994;?;?;tt0110097
Queen Latifah;nm0001451;The Perfect Holiday;2007;2912;4.6;tt0841032
Natasha Little;nm0514638;Blood;2012;3997;6.0;tt2078552
Gabriel Byrne;?;?;?;1206;?;?
Maribel Verdu;?;El amante bilingue;1993;416;5.0;tt0106251
