Richard Riehle;nm0726223;?;2001;433;3.4;tt0248742
Bae Doona;nm0046277;The Drug King;2018;2409;6.2;?
Vincent Schiavelli;nm0001704;Gangster Wars;?;?;6.7;tt0082434
?;nm0001017;?;?;3339;7.6;tt0026725
Robert Redford;?;?;2018;390;5.4;?
J.K. Simmons;nm0799777;Terminator Genisys;?;?;6.3;?
Dakota Fanning;?;The Twilight Saga: Breaking Dawn - Part 2;2012;233442;5.5;?
?;nm0002124;The Hot Chick;2002;?;5.5;tt0302640
?;nm0000197;The Missouri Breaks;?;9796;?;tt0074906
Richard Burton;?;The Bramble Bush;1960;173;5.6;tt0053673
?;nm1017334;?;?;9309;5.0;tt1929308
Felix Silla;?;Spaceballs;1987;?;7.1;tt0094012
Laura Aikman;nm0014605;?;?;707;4.1;tt1376404
Gary Busey;nm0000997;Big Wednesday;?;6171;?;tt0077235
?;?;?;?;2302;4.8;?
?;nm0653952;?;2010;26327;?;tt0411951
John Mills;nm0590055;?;1936;?;6.6;?
Brandon Jay McLaren;nm1564963;Scooby-Doo 2: Monsters Unleashed;?;50842;5.1;?
Andy Samberg;nm1676221;?;2016;55553;6.7;tt3960412
?;nm0000039;?;?;3811;7.1;tt0054353
Theresa Russell;?;?;?;8307;7.0;tt0080408
Michelle Rodriguez;nm0735442;Fast & Furious 6;2013;370952;7.0;?
?;nm0005569;Scrooged;?;89406;7.0;?
?;nm1395771;The Other Side;?;1412;5.2;tt0393567
David Morrissey;nm0607375;Some Voices;2000;?;6.6;?
Dedee Pfeiffer;nm0679410;Deadly Past;1995;?;4.4;tt0112829
Steven Seagal;?;Ticker;2001;6612;3.6;tt0196158
Stephanie Kurtzuba;nm1368866;The Irishman;2019;333018;?;tt1302006
?;?;Maximum Overdrive;1986;30457;5.5;?
Robert Taylor;nm0001791;The Night Walker;1964;1750;6.4;tt0058403
Jennifer Esposito;nm0261170;Breakin' All the Rules;?;5856;5.7;?
Josh Hutcherson;nm1242688;Motocross Kids;2004;414;?;tt0386649
Vinnie Jones;nm0005068;Blast;2004;1556;?;tt0361399
Richard Moll;nm0596959;Night Train to Terror;1985;2090;?;tt0087798
?;?;The Silent Enemy;1958;568;?;?
Alice Evans;nm0262521;The Abduction Club;2002;1672;?;?
Saoirse Ronan;?;City of Ember;2008;63150;6.5;?
?;nm0000560;I'll Do Anything;1994;2429;5.5;tt0110097
Queen Latifah;nm0001451;The Perfect Holiday;2007;2912;4.6;tt0841032
Natasha Little;?;Blood;?;?;6.0;tt2078552
?;nm0000321;Mad to Be Normal;2017;1206;6.0;tt4687410
?;nm0893941;?;1993;?;5.0;tt0106251
?;nm4055138;?;?;?;1.5;tt5013984
?;nm0004743;?;2014;716;5.8;tt3510718
Michael Moriarty;nm0605363;?;1982;370;5.5;tt0083659
?;nm0848191;Star Trek: Generations;?;77076;?;tt0111280
Lyne Renee;nm1869872;Ober;?;?;7.0;tt0476681
?;nm0005278;Veronica Mars;?;50607;6.8;tt2771372
Jess Harnell;?;Cloudy with a Chance of Meatballs;?;207723;?;tt0844471
Bryan Cranston;nm0186505;Argo;?;?;7.7;tt1024648
?;nm0434845;?;?;911;4.3;tt1453403
?;nm0570364;?;?;72118;?;tt2377322
Miranda Frigon;nm1058352;Chappie;2015;231315;?;?
Ed Begley Jr.;?;?;?;18383;6.7;tt0088194
Dylan Minnette;nm1910255;Don't Breathe;2016;225866;7.1;tt4160708
Madeleine Arthur;nm4699715;To All the Boys I've Loved Before;?;90983;7.1;?
James Urbaniak;nm0881672;The Last Romantic;?;121;6.0;tt0497401
?;?;?;1948;4719;?;tt0040919
Alain Delon;?;Le retour de Casanova;?;508;5.8;tt0105243
Alyssa Sutherland;nm1451415;Blood Vessel;?;1680;5.3;tt8009938
?;?;Burden;2018;2483;?;tt5314450
Amy Hargreaves;nm0362955;?;2009;1133;?;?
Wyatt Russell;nm0751518;?;1998;52121;?;?
Mathieu Amalric;nm0023832;?;2012;44991;?;tt1480656
Illeana Douglas;nm0001152;April Showers;2009;?;5.8;?
Jim Broadbent;nm0000980;Richard III;1995;13860;?;tt0114279
?;?;Fahrenheit 451;1966;?;?;?
Barry Bostwick;nm0000960;Russian Holiday;1993;169;2.0;?
Daniel Wu;nm0943079;House of Fury;2005;1834;?;tt0435026
?;?;No Beast So Fierce;2016;201;5.7;tt3862762
Cesar Domboy;nm2023483;Red Needles;?;197;5.8;?
Tobin Bell;nm0068551;The Firm;1993;122076;6.8;?
April Telek;nm0854304;?;?;794;6.2;tt4960242
Bob Hoskins;nm0001364;Unleashed;2005;98974;?;tt0342258
?;nm0000063;The Wild Party;1956;?;6.1;?
?;?;Kokoda: 39th Battalion;2006;2830;6.1;?
Chelsey Reist;nm3650800;?;?;1553;?;tt2180333
Martin Freeman;?;Swinging with the Finkels;2011;2978;?;tt1502420
?;?;Coraline;?;199816;7.7;tt0327597
Rob Schneider;nm0001705;?;2017;15071;5.2;tt5893332
Jon Seda;nm0781218;?;1992;1175;6.3;tt0105885
Paula Pell;nm0996134;Wine Country;2019;19175;5.4;?
Brian Posehn;nm0692634;?;?;334;4.2;tt0160182
Katharine Towne;?;Go;1999;67300;?;tt0139239
Rosario Dawson;nm0206257;?;?;3036;?;tt0280674
Jodie Foster;?;Motherhood;2009;4373;4.6;?
Eileen Davidson;nm0203308;?;2016;221;3.7;tt2421910
?;nm0717176;The Aeronauts;2019;28239;6.6;tt6141246
James Cromwell;nm0000342;Soldiers of Fortune;2012;7048;4.3;tt1678051
David Rasche;nm0711058;Crimes of the Past;?;267;?;tt1009019
Kate Lyn Sheil;nm3338354;Mountain Rest;2018;162;?;tt7191910
John C. Reilly;nm0000604;The Good Girl;2002;43358;?;tt0279113
Chris Messina;nm0582149;The Sweet Life;?;1639;?;tt4838534
?;nm0722599;It's a Mad Mad Mad Mad World;?;38205;7.5;tt0057193
Brandon Routh;nm0746125;Karla;2006;?;5.5;tt0424938
?;nm0472891;Far North;2007;?;6.1;tt0860866
Daryl Hannah;nm0000435;?;2002;3042;?;tt0248640
Martin Lawrence;nm0001454;The Beach Bum;2019;?;5.5;tt6511932
Maggie Q;nm0702572;?;2018;?;6.6;tt8223844
?;nm0000899;Spectre;2015;387668;?;tt2379713
?;nm3488008;6 Bullets;2012;?;?;tt1975249
?;nm1017334;The Dark Knight Rises;?;?;8.4;tt1345836
Barbara Hershey;?;?;?;8797;7.0;tt0081568
?;nm5315658;Guest of Honour;?;702;?;?
Luenell;nm0132685;?;?;33740;6.4;tt0108174
Kelly Preston;nm0000593;Run;?;2598;6.3;tt0102818
Gong Li;nm0000084;Hannibal Rising;2007;?;?;?
?;nm0000613;Wrestling with Alligators;1998;142;5.0;tt0139745
?;nm0847953;Island Claws;?;431;4.4;?
?;?;Married to It;1991;?;5.8;tt0107523
Daisy Ridley;nm5397459;?;2017;?;6.5;?
?;nm0347509;Black Hawk Down;2001;?;7.7;?
?;nm0001431;?;1992;181016;7.0;tt0103772
Domhnall Gleeson;nm1727304;?;?;36140;6.6;tt5117670
?;nm0000821;Pukar;?;?;6.0;?
Eugene Byrd;?;8 Mile;2002;252076;?;tt0298203
?;?;Once Upon a Wedding;?;216;4.3;tt0363269
Edgar Ramirez;nm1183149;An Open Heart;2012;653;5.5;tt2088962
Fares Fares;nm0267241;Metropia;2009;7464;?;tt0985058
Bobby Driscoll;nm0237985;The Party Crashers;?;102;?;tt0052049
?;nm0000112;Mamma Mia! Here We Go Again;2018;81885;6.6;tt6911608
Ron Moody;nm0600531;The Strange Case of the End of Civilization as We Know It;1977;633;?;tt0076770
?;nm0005112;?;1992;30640;5.1;tt0105629
Enrique Murciano;nm0006663;Miss Congeniality 2: Armed and Fabulous;?;70256;?;tt0385307
William Fichtner;?;The Neighbor;2017;?;4.9;tt3905764
Michelle Pfeiffer;?;A Thousand Acres;1997;5096;?;?
Ben Stiller;nm0001774;The Secret Life of Walter Mitty;2013;295841;7.3;tt0359950
Corey Sevier;?;?;?;1527;?;tt2141875
Chelan Simmons;nm0799706;Percy Jackson & the Olympians: The Lightning Thief;2010;178415;5.9;tt0814255
?;nm3586035;The Book of Love;?;3921;6.0;tt1330018
Brendan Fletcher;?;?;2013;2707;4.5;tt2082152
?;?;Surfer Dude;?;?;?;tt0976247
John Spencer;nm0817983;?;?;?;6.2;tt0119594
Richard Schiff;?;Speed;?;?;?;tt0111257
?;nm0943766;Street Dreams;?;1087;6.2;tt0838241
Dagmara Dominczyk;nm0231436;Phantom;2013;13740;5.9;tt1922685
?;nm0000582;?;1992;3410;6.5;tt0105187
John Hoyt;nm0398466;?;?;?;6.6;tt0060355
Michael Caine;nm0000323;Is Anybody There?;2008;4671;6.7;?
Barbara Crampton;nm0186225;Death House;2017;1399;3.0;tt2984576
Natasha Henstridge;?;It Had to Be You;?;?;5.7;tt0139388
?;nm1248373;Dracano;?;353;?;tt2393174
?;nm0001295;Clearcut;1991;560;?;tt0101592
Ward Bond;nm0000955;?;1934;292;6.2;tt0025039
John Goodman;nm0000422;Once Upon a Time in Venice;2017;17793;?;tt4694544
Todd Bridges;?;Twice Dead;?;657;?;tt0096319
?;nm0005258;?;2019;128;4.3;tt11023738
John Landis;nm0000484;?;2019;?;5.2;?
?;?;The Truth About Women;?;174;6.1;tt0052323
Yvonne De Carlo;?;Blazing Stewardesses;?;368;2.5;tt0071231
Barbara Stanwyck;nm0001766;Walk on the Wild Side;1962;1968;?;?
Brad Pitt;?;?;2002;?;7.0;tt0270288
?;nm0086301;?;2018;33895;5.6;tt5057140
Marc Warren;nm0912938;?;1997;521;?;tt0118778
Matthew Cowles;?;The Juror;1996;17437;5.7;?
Ronny Chieng;nm5307044;Long Story Short;2021;151;6.9;tt10896634
David Cross;nm0189144;?;2011;?;5.4;tt1221207
?;nm0551908;Too Much Sun;1990;385;4.0;tt0103100
Amy Brenneman;nm0000312;City of Angels;1998;114408;6.7;tt0120632
Uwe Boll;nm0093051;Auschwitz;?;1412;3.1;tt1722426
Natasha Lyonne;nm0005169;Fast Sofa;2001;742;4.8;?
James Brolin;?;?;1997;?;?;?
Elizabeth Taylor;nm0000072;Scent of Mystery;1960;?;5.6;?
?;nm0769083;?;1995;2385;7.2;tt0113403
James Cromwell;nm0000342;Revenge of the Nerds;?;49260;6.7;tt0088000
Eliza Dushku;nm0244630;Soul Survivors;2001;8413;?;tt0218619
?;nm0376101;Eye of the Devil;1966;2318;?;tt0061634
Tony Sirico;nm0802831;Catchfire;1990;3487;5.4;tt0096875
Frankie Faison;nm0265670;?;?;?;?;tt0339147
?;nm0001647;The Mystery of Edwin Drood;1935;398;?;tt0026758
Ellie Kendrick;nm1697771;Native;?;?;4.3;tt4443922
Bill Pullman;nm0000597;Zero Effect;1998;13861;6.9;tt0120906
Amy Hill;nm0384032;Straight Right;?;103;5.9;tt0229752
?;nm0923490;Jury Duty;1995;?;4.4;tt0113500
Angelababy;nm2854802;?;2013;?;6.4;?
Murray Hamilton;nm0358069;?;1963;2368;6.8;?
Sharon Farrell;?;Separate Ways;1981;173;4.5;tt0083052
Didi Conn;?;Most Likely to Murder;?;959;?;tt6566830
?;nm0464305;The Hitman's Bodyguard;2017;189667;?;?
Robert Pugh;nm0700059;Nighthawks;1981;?;?;?
?;nm8314228;?;?;131326;?;?
Ashley Jones;?;Extreme Dating;2005;?;5.2;tt0309578
?;nm1086981;A Long Way Down;2014;?;6.4;tt0458413
Clare Higgins;nm0383354;The House of Mirth;?;?;?;tt0200720
Mari Blanchard;nm0087080;The Brigand;?;143;6.0;tt0044449
Aidan Gillen;?;The Low Down;?;477;?;tt0251191
Corey Feldman;?;Teenage Mutant Ninja Turtles III;1993;?;4.8;?
Tiffany Haddish;nm1840504;Bad Trip;2021;11217;?;?
Nathaniel Parker;nm0662511;?;2007;256932;7.6;tt0486655
?;nm1466595;?;2017;?;?;?
Arnas Fedaravicius;nm4538500;?;?;7431;6.4;tt1697064
?;nm0220735;?;1994;?;?;tt0110024
Sean Astin;nm0000276;?;1999;338;?;?
Kate Flannery;nm0281212;Stuck;2018;?;5.7;?
Benedict Cumberbatch;nm1212722;Atonement;?;254571;7.8;tt0783233
Sophie Wu;?;Tormented;2009;?;5.1;?
Fisher Stevens;nm0001770;United Passions;?;4028;2.1;tt2814362
?;nm0654110;Children of Men;2006;468345;?;tt0206634
David Spade;?;Mad Families;2017;?;?;tt6086080
Johnny Whitworth;?;Empire Records;1995;?;6.7;tt0112950
?;nm0003115;Helen Keller vs. Nightwolves;2015;737;?;?
?;nm3649584;?;2015;874;?;?
Nayanthara;?;?;2010;?;5.9;tt1582604
Christopher Sabat;nm0754526;?;2018;23135;7.9;tt7961060
Shoshannah Stern;?;The Last Shot;2004;?;5.6;tt0357054
Glenn Morshower;nm0607703;?;?;?;?;tt0455407
John Fiedler;nm0275835;The World of Henry Orient;1964;3220;6.7;?
Martin Donovan;nm0233027;Sabotage;2014;59948;5.7;tt1742334
Leslie Caron;nm0001989;?;1964;9747;7.4;tt0058092
William Mapother;nm0544611;Without Limits;1998;6624;?;tt0119934
Geraldine Somerville;nm0813893;Harry Potter and the Sorcerer's Stone;2001;?;7.6;tt0241527
Matthew Modine;nm0000546;The Browning Version;?;3033;?;tt0109340
?;nm0000273;?;?;2285;6.7;tt0099310
?;nm0007814;The Visitor;?;?;?;tt0857191
?;nm2193120;Joker;2019;?;?;tt7286456
Harold Gould;nm0332390;See You in Hell Darling;1966;?;5.1;tt0060099
?;nm0429363;?;2014;32047;?;?
Hayley Mills;nm0001539;?;1994;?;5.4;tt0108395
?;nm0686032;Mrs. Wiggs of the Cabbage Patch;1934;193;6.3;tt0025523
Bud Spencer;?;?;1978;?;?;tt0078058
Loni Anderson;nm0000756;Munchie;?;?;?;tt0104938
?;nm4025229;Future World;2018;5639;3.2;tt5737536
?;?;Music;?;5657;?;?
Karole Rocher;nm0734039;Stella;?;?;7.2;tt1174047
Fred MacMurray;nm0534045;The Texas Rangers;1936;675;6.6;?
?;nm0001545;Crazy People;1990;4159;?;?
Stuart Wilson;nm0934179;Hot Fuzz;2007;467378;7.8;tt0425112
Ciaran Hinds;nm0001354;Excalibur;1981;57645;?;?
?;nm0000458;Michael;?;?;5.7;tt0117038
Method Man;?;Love Beats Rhymes;2017;897;?;tt4686108
?;nm0000553;?;2003;439769;7.6;tt0314331
?;nm0911933;A Christmas Story;1983;?;7.9;tt0085334
?;?;L.A. D.J.;?;109;5.0;tt0348663
Ewan McGregor;nm0000191;?;?;1268;?;tt0915463
Linda Bassett;?;The Hours;2002;?;7.5;?
?;nm0504762;?;1993;26209;?;tt0107007
Gilbert Gottfried;nm0331906;?;1990;44803;4.7;tt0100050
Robin Dearden;nm0213142;Stitches;?;300;4.5;tt0090079
Donald Glover;nm2255973;Magic Mike XXL;2015;52703;?;?
Tom Burke;nm0121895;The Show;2020;?;?;?
?;nm2569233;?;2019;181;5.6;tt9648078
Maude Apatow;?;Other People;?;?;6.8;tt4158876
Zachary Gordon;?;Kingsglaive: Final Fantasy XV;2016;?;6.8;tt5595168
?;nm1134612;You're Nobody 'til Somebody Kills You;?;176;3.1;?
Alan Ritchson;?;The Hunger Games: Catching Fire;?;?;?;tt1951264
?;?;Spider-Man: Into the Spider-Verse;2018;?;8.4;?
?;nm0001606;Beethoven's 2nd;?;26009;4.9;tt0106375
Faye Dunaway;?;Three Days of the Condor;1975;48817;7.4;tt0073802
?;nm0502425;The Big Short;2015;371632;7.8;tt1596363
?;nm0000160;Cut Throat City;2020;1736;4.9;tt3547306
Jesse Eisenberg;nm0251986;Louder Than Bombs;2015;12071;6.6;?
Tess Harper;?;?;?;1643;7.1;tt0406038
Rita Wilson;nm0001854;Kiss Me;2014;149;?;tt2184219
Lili Taylor;nm0000666;Killer: A Journal of Murder;1995;2149;6.3;tt0113542
John Ashton;?;Meet the Deedles;1998;2711;4.1;tt0120645
Vanessa Bell Calloway;?;Coming to America;1988;191223;7.1;tt0094898
Lyndsy Fonseca;nm0960912;?;2013;256514;6.5;tt1650554
?;?;?;?;803981;8.0;tt0088247
