bookID;title;authors;average_rating;isbn;isbn13;language_code;  num_pages;ratings_count;text_reviews_count;publication_date;publisher
20932;Christmas Bestiary;Martin H. Greenberg/Jack Nimersheim/Jane Yolen/Jack C. Haldeman II/Harry Turtledove/Laura Resnick/Mike Resnick/Karen Haber/Jane Lindskold/Lawrence Schimel/Barry N. Malzberg/Tanya Huff/Michelle Sagara West/Mark Aronson/Stefan R. Dziemianowicz/Jennifer Roberson/Kristine Kathryn Rusch/Elizabeth Ann Scarborough/Barbara Delaplace/Barb Jernigan/Blake Cahoon;3.62;886775280;978089E+12;eng;315;21;3;11/03/1992;DAW
35750;Sodom and Gomorrah (In Search of Lost Time  #4);Marcel Proust/C.K. Scott Moncrieff/Terence Kilmartin/D.J. Enright;4.35;375753109;978038E+12;eng;784;377;66;2/16/1999;Modern Library Classics
10583;Pet Sematary;Stephen King;3.98;1416524347;978142E+12;eng;576;257466;3768;11/01/2005;Pocket Books
23966;Filth;Irvine Welsh;3.73;393318680;978039E+12;eng;393;21997;643;9/17/1998;W. W. Norton  Company
38855;Confederates in the Attic: Dispatches from the Unfinished Civil War;Tony Horwitz;4.09;067975833X;978068E+12;eng;406;19207;1596;2/22/1999;Vintage
27299;La Emperatriz tras el velo (Trilogía Taj Mahal  #1);Indu Sundaresan/Alberto Coscarelli;4.04;8425337607;978843E+12;spa;382;2;1;4/30/2003;Grijalbo Mondadori Sa
6902;La Dernière Leçon;Mitch Albom;4.10;785930736;978079E+12;fre;209;3;1;01/01/2001;French & European Pubns
30676;The Act of Creation;Arthur Koestler;4.26;140191917;978014E+12;en-US;752;365;24;12/07/1990;Arkana/Penguin
10846;Gatsby's Girl;Caroline Preston;3.54;618537252;978062E+12;en-US;312;863;121;05/01/2006;Houghton Mifflin Harcourt
766;Memoria de mis putas tristes;Gabriel García Márquez;3.60;1400095808;97814E+12;spa;112;5856;377;10/19/2004;Vintage Espanol
