id;name;style;breweryId;ounces;abv
1436;Pub Beer;American Pale Lager;408;12.0;5.0
2265;Devil's Cup;American Pale Ale (APA);177;12.0;66.000.000.000.000.000
2264;Rise of the Phoenix;American IPA;177;12.0;7.1
2263;Sinister;American Double / Imperial IPA;177;12.0;9.0
2262;Sex and Candy;American IPA;177;12.0;7.5
2261;Black Exodus;Oatmeal Stout;177;12.0;7.7
2260;Lake Street Express;American Pale Ale (APA);177;12.0;4.5
2259;Foreman;American Porter;177;12.0;6.5
2258;Jade;American Pale Ale (APA);177;12.0;5.5
2131;Cone Crusher;American Double / Imperial IPA;177;12.0;8.6
2099;Sophomoric Saison;Saison / Farmhouse Ale;177;12.0;7.199.999.999.999.990
2098;Regional Ring Of Fire;Saison / Farmhouse Ale;177;12.0;7.3
2097;Garce Selé;Saison / Farmhouse Ale;177;12.0;6.9
1980;Troll Destroyer;Belgian IPA;177;12.0;8.5
1979;Bitter Bitch;American Pale Ale (APA);177;12.0;6.1
2318;Ginja Ninja;Cider;154;12.0;6.0
2170;Cherried Away;Cider;154;12.0;6.0
2169;Rhubarbarian;Cider;154;12.0;6.0
1502;BrightCider;Cider;154;12.0;6.0
1593;He Said Baltic-Style Porter;Baltic Porter;368;12.0;819.999.999.999.999
1592;He Said Belgian-Style Tripel;Tripel;368;12.0;819.999.999.999.999
1036;Lower De Boom;American Barleywine;368;8.4;9.9
1024;Fireside Chat;Winter Warmer;368;12.0;7.9
976;Marooned On Hog Island;American Stout;368;12.0;7.9
876;Bitter American;American Pale Ale (APA);368;12.0;43.999.999.999.999.900
802;Hell or High Watermelon Wheat (2009);Fruit / Vegetable Beer;368;12.0;4.9
801;Hell or High Watermelon Wheat (2009);Fruit / Vegetable Beer;368;12.0;4.9
800;21st Amendment Watermelon Wheat Beer (2006);Fruit / Vegetable Beer;368;12.0;4.9
799;21st Amendment IPA (2006);American IPA;368;12.0;7.000.000.000.000.000
797;Brew Free! or Die IPA (2008);American IPA;368;12.0;7.000.000.000.000.000
796;Brew Free! or Die IPA (2009);American IPA;368;12.0;7.000.000.000.000.000
531;Special Edition: Allies Win The War!;English Strong Ale;368;12.0;8.5
432;Hop Crisis;American Double / Imperial IPA;368;12.0;969.999.999.999.999
353;Bitter American (2011);American Pale Ale (APA);368;12.0;43.999.999.999.999.900
321;Fireside Chat (2010);Winter Warmer;368;12.0;7.9
173;Back in Black;American Black Ale;368;12.0;6.800.000.000.000.000
11;Monk's Blood;Belgian Dark Ale;368;12.0;8.3
10;Brew Free! or Die IPA;American IPA;368;12.0;7.000.000.000.000.000
9;Hell or High Watermelon Wheat;Fruit / Vegetable Beer;368;12.0;4.9
2519;Bimini Twist;American IPA;67;12.0;7.000.000.000.000.000
2518;Beach Blonde;American Blonde Ale;67;12.0;5.0
2517;Rod Bender Red;American Amber / Red Ale;67;12.0;58.999.999.999.999.900
2545;Passion Fruit Prussia;Berliner Weissbier;60;12.0;35.000.000.000.000.000
2544;Send Help;American Blonde Ale;60;12.0;4.5
2324;Cast Iron Oatmeal Brown;American Brown Ale;60;12.0;5.5
2288;Reprise Centennial Red;American Amber / Red Ale;60;12.0;6.0
2287;Alter Ego;American Black Ale;60;12.0;5.5
2286;Divided Sky;American IPA;60;12.0;6.5
2285;Resurrected;American IPA;60;12.0;6.5
1870;Contact High;American Pale Wheat Ale;60;12.0;5.0
2603;Galaxyfest;American IPA;27;16.0;6.5
2602;Citrafest;American IPA;27;16.0;5.0
2220;Barn Yeti;Belgian Strong Dark Ale;27;16.0;9.0
2219;Scarecrow;American IPA;27;16.0;6.9
2218;Ironman;English Strong Ale;27;16.0;9.0
2217;Honey Kolsch;Kölsch;27;16.0;4.6
2216;Copperhead Amber;Belgian Dark Ale;27;16.0;5.2
972;Rude Parrot IPA;American IPA;481;16.0;58.999.999.999.999.900
866;British Pale Ale (2010);English Pale Ale;481;16.0;5.4
48;British Pale Ale;English Pale Ale;481;16.0;5.4
47;Ballz Deep Double IPA;American Double / Imperial IPA;481;16.0;8.4
1583;Wolfman's Berliner;Berliner Weissbier;373;12.0;3.8
1165;Colorado Native;American Amber / Red Lager;462;12.0;5.5
431;Colorado Native (2011);American Amber / Red Lager;462;12.0;5.5
516;Jockamo IPA;American IPA;533;12.0;6.5
515;Purple Haze;Fruit / Vegetable Beer;533;12.0;4.2
514;Abita Amber;American Amber / Red Lager;533;12.0;4.5
2540;Citra Ass Down;American IPA;62;16.0;819.999.999.999.999
2539;The Brown Note;American Brown Ale;62;16.0;5.0
2686;Citra Ass Down;American Double / Imperial IPA;1;16.0;8.0
2685;London Balling;English Barleywine;1;16.0;12.5
2684;35 K;Milk / Sweet Stout;1;16.0;7.7
2683;A Beer;American Pale Ale (APA);1;16.0;4.2
2682;Rules are Rules;German Pilsener;1;16.0;5.0
2681;Flesh Gourd'n;Pumpkin Ale;1;16.0;66.000.000.000.000.000
2680;Sho'nuff;Belgian Pale Ale;1;16.0;4.0
2679;Bloody Show;American Pilsner;1;16.0;5.5
2678;Rico Sauvin;American Double / Imperial IPA;1;16.0;7.6
2677;Coq de la Marche;Saison / Farmhouse Ale;1;16.0;5.1
2676;Kamen Knuddeln;American Wild Ale;1;16.0;6.5
2675;Pile of Face;American IPA;1;16.0;6.0
2674;The Brown Note;English Brown Ale;1;16.0;5.0
1594;Maylani's Coconut Stout;American Stout;367;16.0;5.3
1162;Oatmeal PSA;American Pale Ale (APA);367;16.0;5.0
1137;Pre Flight Pilsner;American Pilsner;367;16.0;5.2
2403;P-Town Pilsner;American Pilsner;117;12.0;4.0
2402;Klickitat Pale Ale;American Pale Ale (APA);117;12.0;5.3
2401;Yellow Wolf Imperial IPA;American Double / Imperial IPA;117;12.0;819.999.999.999.999
1921;Freeride APA;American Pale Ale (APA);270;12.0;5.3
1920;Alaskan Amber;Altbier;270;12.0;5.3
2501;Hopalicious;American Pale Ale (APA);73;12.0;5.7
1535;Kentucky Kölsch;Kölsch;388;16.0;4.3
1149;Kentucky IPA;American IPA;388;16.0;6.5
1474;Dusty Trail Pale Ale;American Pale Ale (APA);401;16.0;5.4
1473;Damnesia;American IPA;401;16.0;6.2
837;Desolation IPA;American IPA;401;16.0;6.2
2592;Liberty Ale;American IPA;35;12.0;58.999.999.999.999.900
2578;IPA;American IPA;35;12.0;6.5
2577;Summer Wheat;American Pale Wheat Ale;35;12.0;4.5
