Age;Gender;Country;state;self_employed;family_history;treatment;work_interfere;no_employees;remote_work;tech_company;benefits;care_options;wellness_program;seek_help;anonymity;leave;mental_health_consequence;phys_health_consequence;coworkers;supervisor;mental_health_interview;phys_health_interview;mental_vs_physical;obs_consequence
35;Female;United States;MI;?;Yes;Yes;Sometimes;1-5;Yes;Yes;No;No;No;No;No;Somewhat difficult;Maybe;Maybe;Some of them;No;No;No;Don't know;No
39;M;Canada;?;;No;No;Never;1-5;Yes;Yes;No;Yes;No;No;Yes;Don't know;No;No;No;No;No;No;No;No
46;male;United States;MD;Yes;Yes;No;Sometimes;1-5;Yes;Yes;Yes;Not sure;Yes;Don't know;Yes;Very easy;No;No;Yes;Yes;No;Yes;Yes;Yes
31;male;United States;NC;Yes;No;No;Never;1-5;Yes;Yes;No;No;No;No;Yes;Somewhat difficult;No;No;Some of them;Some of them;No;Maybe;Yes;No
33;male;United States;TN;No;No;No;?;1-5;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Don't know;Maybe;Maybe;Some of them;No;No;No;Don't know;No
31;Male;United States;PA;Yes;Yes;No;Rarely;1-5;Yes;Yes;No;Yes;No;No;Don't know;Somewhat difficult;Yes;No;No;No;No;No;No;Yes
40;female;United States;WI;No;No;Yes;Sometimes;1-5;No;Yes;Yes;Yes;No;No;Don't know;Don't know;Maybe;No;Some of them;No;No;Maybe;Yes;No
29;Male;Canada;?;No;No;No;Rarely;1-5;No;Yes;No;No;No;No;Don't know;Very easy;Yes;Maybe;Some of them;No;No;No;Don't know;No
27;Male;Canada;?;No;Yes;Yes;Sometimes;1-5;No;Yes;No;Yes;No;No;Yes;Very difficult;Maybe;No;Some of them;No;No;No;Yes;No
26;m;Canada;?;Yes;No;No;Sometimes;1-5;No;Yes;No;Yes;Yes;No;Don't know;Don't know;No;No;Yes;Yes;No;No;Yes;No
32;Male;United States;TN;No;No;No;Never;1-5;Yes;Yes;Don't know;Not sure;No;No;Don't know;Don't know;Maybe;No;Some of them;Yes;No;No;Don't know;No
23;Female;Australia;?;No;Yes;Yes;Often;1-5;Yes;Yes;No;Not sure;No;No;Don't know;Very easy;No;No;Some of them;Yes;No;Maybe;Yes;No
34;Male;United States;NY;Yes;No;No;Rarely;1-5;Yes;Yes;No;No;No;No;Don't know;Don't know;Maybe;No;Some of them;No;No;No;Don't know;No
19;Male;United Kingdom;?;No;No;No;?;1-5;No;Yes;No;Yes;No;No;No;Somewhat difficult;Yes;No;No;No;No;Maybe;No;No
31;Male;United States;WA;Yes;Yes;No;Sometimes;1-5;Yes;Yes;No;No;No;No;Yes;Somewhat difficult;No;No;Yes;Yes;Maybe;Maybe;Yes;No
27;Cis Female;United States;NY;Yes;No;Yes;Often;1-5;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Very easy;Maybe;Maybe;Some of them;Yes;No;Maybe;Yes;No
30;M;United States;IN;No;No;Yes;Often;1-5;No;Yes;No;Yes;No;No;Yes;Somewhat easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No
21;Male;United Kingdom;?;Yes;No;No;Often;1-5;Yes;No;No;Yes;No;No;Yes;Very difficult;Yes;No;Some of them;Yes;No;Maybe;No;No
18;Male;United States;CT;No;No;Yes;Rarely;1-5;Yes;Yes;No;No;No;No;Yes;Very easy;No;No;Some of them;No;No;No;Don't know;No
32;male;United States;CA;No;No;No;Rarely;1-5;Yes;Yes;No;Yes;No;No;Don't know;Very difficult;Maybe;No;Yes;Some of them;No;Yes;Don't know;No
19;Male;Canada;?;Yes;Yes;No;?;1-5;Yes;Yes;Don't know;Not sure;No;Yes;Yes;Somewhat easy;Maybe;No;Some of them;Some of them;Maybe;Maybe;Don't know;No
33;F;United States;WA;Yes;Yes;Yes;Sometimes;1-5;No;Yes;No;Yes;Yes;Yes;Yes;Very difficult;No;No;Some of them;Yes;No;Yes;Yes;No
27;Woman;United Kingdom;?;Yes;Yes;No;?;1-5;Yes;Yes;No;Yes;No;No;Yes;Somewhat easy;No;No;Yes;Yes;No;Maybe;Yes;No
23;male;Ireland;?;Yes;Yes;No;Sometimes;1-5;No;Yes;No;No;No;No;Don't know;Very difficult;Yes;No;No;No;No;Maybe;No;No
45;F;United States;CA;No;No;Yes;Sometimes;1-5;No;Yes;Yes;No;No;No;Yes;Somewhat difficult;No;No;Yes;Yes;No;No;Yes;No
23;male;United Kingdom;?;No;Yes;No;?;1-5;Yes;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Yes;Don't know;No
38;Female;South Africa;?;Yes;Yes;Yes;Often;1-5;Yes;Yes;No;Yes;No;No;Yes;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;Maybe;Don't know;Yes
37;Male;Ireland;?;No;No;No;Sometimes;1-5;No;Yes;No;Yes;No;No;Don't know;Very difficult;Yes;No;No;No;No;Yes;Don't know;No
26;Male;United Kingdom;?;Yes;No;Yes;Often;1-5;Yes;Yes;No;No;No;No;Don't know;Don't know;Yes;No;No;No;No;Maybe;Don't know;No
