Edward Frank Ed Book;M;24.0;210.0;115.0;New Zealand;NZL;2004 Summer;2004;Summer;Athina;Basketball
Marlen Esparza Puentes;F;22.0;160.0;51.0;United States;USA;2012 Summer;?;Summer;?;Boxing
Claude Henri Ferdinand Dalmas Arabo;M;27.0;178.0;73.0;France;FRA;1964 Summer;1964;Summer;Tokyo;Fencing
Ivan Vladimirovich Alypov;M;23.0;169.0;60.0;Russia;RUS;2006 Winter;2006;Winter;Torino;Cross Country Skiing
?;M;?;185.0;68.0;Qatar;QAT;2000 Summer;2000;Summer;Sydney;Athletics
Andrea Ehrig-Schne-Mitscherlich;F;27.0;165.0;58.0;East Germany;GDR;1988 Winter;1988;Winter;Calgary;Speed Skating
Marcus A. C. Marc Faulks;M;27.0;174.0;64.0;Australia;?;1964 Summer;1964;Summer;Tokyo;Gymnastics
Ellen Louise Elzerman;F;21.0;179.0;63.0;Netherlands;NED;?;1992;Summer;Barcelona;Swimming
Leslie Michele Burr-Howard (-Leneghan-);F;39.0;167.0;55.0;?;USA;1996 Summer;1996;Summer;Atlanta;Equestrianism
Richard Doey;M;27.0;?;91.0;Canada;?;1984 Summer;1984;Summer;Los Angeles;Rowing
Laverne Bryan;F;23.0;171.0;50.0;Antigua and Barbuda;ANT;1988 Summer;1988;?;Seoul;Athletics
Yvon Becaus;M;24.0;180.0;81.0;Belgium;BEL;1960 Summer;1960;Summer;Roma;Boxing
Vladimir Gennadyevich Denisov;M;25.0;173.0;64.0;Soviet Union;URS;1972 Summer;1972;Summer;Munich;Fencing
Antnio Maria Malheiro Reimo Nogueira;M;42.0;175.0;72.0;Portugal;POR;?;1952;Summer;Helsinki;Equestrianism
Vasily Fyodorovich Borisov;M;33.0;170.0;85.0;Soviet Union;URS;1956 Summer;1956;Summer;Melbourne;Shooting
Enis Beirbegovi;M;21.0;181.0;90.0;?;BIH;1998 Winter;1998;Winter;Nagano;Alpine Skiing
Yesenia Centeno Sousa;F;37.0;157.0;47.0;Spain;ESP;2008 Summer;2008;Summer;Beijing;Athletics
Nancy Carrillo de la Paz;F;18.0;190.0;74.0;Cuba;CUB;2004 Summer;2004;Summer;Athina;Volleyball
Tariku Bekele Beyecha;M;21.0;173.0;65.0;Ethiopia;ETH;2008 Summer;2008;Summer;Beijing;Athletics
Felix Buser;M;26.0;188.0;82.0;Switzerland;SUI;1984 Summer;1984;Summer;Los Angeles;Canoeing
Jacques Jacky Courtillat;M;17.0;169.0;68.0;France;FRA;1960 Summer;1960;Summer;Roma;Fencing
Carl Bouckaert;M;58.0;181.0;75.0;Belgium;BEL;2012 Summer;2012;Summer;?;Equestrianism
Jessica Deglau;F;20.0;172.0;57.0;Canada;CAN;2000 Summer;2000;Summer;Sydney;Swimming
Helmut Ernesto Bellingrodt Wolf;M;23.0;178.0;78.0;Colombia;COL;1972 Summer;1972;Summer;Munich;Shooting
Alexis Copello Snchez;M;26.0;185.0;80.0;Cuba;CUB;2012 Summer;2012;Summer;London;?
Sven Fischer;M;30.0;186.0;82.0;?;GER;2002 Winter;2002;Winter;Salt Lake City;?
Valrie Gisele Angele Barlois-Mevel-Leroux;F;31.0;165.0;53.0;France;FRA;2000 Summer;2000;Summer;Sydney;Fencing
William Solon Bill Dellinger;M;26.0;175.0;62.0;United States;USA;1960 Summer;1960;Summer;Roma;Athletics
Franois Boivin;M;23.0;170.0;70.0;Canada;CAN;2006 Winter;2006;Winter;Torino;?
Kenneth Frederick Ken Buffin;M;?;163.0;64.0;Great Britain;GBR;1960 Summer;1960;Summer;Roma;Gymnastics
