Edward Frank Ed Book;M;24.0;?;115.0;?;NZL;2004 Summer;2004;?;Athina;?
?;F;22.0;?;?;United States;?;2012 Summer;?;Summer;London;Boxing
Claude Henri Ferdinand Dalmas Arabo;M;?;178.0;73.0;France;FRA;?;1964;Summer;Tokyo;Fencing
?;M;?;?;?;Russia;?;2006 Winter;2006;Winter;Torino;?
Salaheddine Bakar Al-Safi;?;?;185.0;68.0;Qatar;QAT;?;2000;?;?;Athletics
Andrea Ehrig-Schne-Mitscherlich;F;27.0;?;?;East Germany;?;1988 Winter;?;Winter;Calgary;?
Marcus A. C. Marc Faulks;M;27.0;?;64.0;Australia;AUS;1964 Summer;1964;?;?;?
?;F;21.0;?;63.0;Netherlands;NED;1992 Summer;1992;Summer;?;?
Leslie Michele Burr-Howard (-Leneghan-);F;39.0;167.0;55.0;?;USA;1996 Summer;1996;?;?;?
Richard Doey;M;27.0;195.0;91.0;Canada;?;1984 Summer;?;Summer;?;?
Laverne Bryan;F;23.0;171.0;50.0;Antigua and Barbuda;ANT;1988 Summer;1988;Summer;?;Athletics
Yvon Becaus;?;24.0;180.0;81.0;?;?;1960 Summer;1960;Summer;Roma;?
Vladimir Gennadyevich Denisov;M;25.0;?;64.0;?;?;1972 Summer;1972;Summer;Munich;Fencing
Antnio Maria Malheiro Reimo Nogueira;M;?;175.0;72.0;?;POR;?;?;Summer;Helsinki;Equestrianism
?;M;33.0;?;85.0;?;URS;?;1956;Summer;Melbourne;Shooting
?;M;?;181.0;90.0;?;BIH;1998 Winter;?;Winter;Nagano;Alpine Skiing
Yesenia Centeno Sousa;F;37.0;157.0;47.0;?;ESP;2008 Summer;?;Summer;Beijing;Athletics
Nancy Carrillo de la Paz;F;?;190.0;74.0;?;CUB;?;2004;Summer;Athina;Volleyball
Tariku Bekele Beyecha;?;21.0;173.0;?;?;ETH;?;2008;?;Beijing;?
Felix Buser;M;26.0;188.0;82.0;Switzerland;?;?;1984;?;Los Angeles;Canoeing
?;?;17.0;169.0;68.0;?;FRA;1960 Summer;?;?;Roma;Fencing
Carl Bouckaert;M;58.0;181.0;75.0;Belgium;?;2012 Summer;2012;Summer;London;Equestrianism
Jessica Deglau;F;20.0;172.0;57.0;Canada;CAN;?;?;Summer;Sydney;?
Helmut Ernesto Bellingrodt Wolf;?;23.0;178.0;78.0;Colombia;COL;1972 Summer;1972;?;Munich;?
Alexis Copello Snchez;M;26.0;?;80.0;?;CUB;2012 Summer;2012;Summer;?;Athletics
?;M;30.0;186.0;?;?;GER;2002 Winter;2002;Winter;Salt Lake City;Biathlon
Valrie Gisele Angele Barlois-Mevel-Leroux;?;31.0;165.0;53.0;?;FRA;?;2000;Summer;Sydney;Fencing
?;?;26.0;175.0;62.0;United States;?;1960 Summer;?;Summer;Roma;Athletics
?;M;?;?;?;Canada;?;?;2006;Winter;?;?
?;?;36.0;163.0;?;?;GBR;1960 Summer;1960;Summer;?;?
Juan Carlos Bello Angosto;M;?;?;72.0;Peru;?;1972 Summer;1972;?;?;Swimming
?;M;15.0;167.0;?;Canada;CAN;?;1980;?;Lake Placid;?
Francisco Geovanis Cassiani Gmez;?;22.0;?;76.0;Colombia;COL;1992 Summer;1992;Summer;?;Football
Herv Delamarre;M;28.0;178.0;72.0;?;FRA;?;1996;Summer;?;Canoeing
Yordanka Lyubchova Donkova;F;26.0;?;67.0;Bulgaria;BUL;1988 Summer;1988;?;Seoul;Athletics
Talla Diaw;?;29.0;168.0;50.0;Senegal;?;1984 Summer;?;Summer;?;Wrestling
