missing_rate,Baseline20,Hybrid,Pipeline,Pipeline_noRev
1,72.55009140772883,54.106452630012846,,54.932456540296904
2,69.06946983718501,51.15685579340279,,53.09893970616712
3,67.22192443499958,48.90771803054728,,51.90368261450222
4,64.29289622469723,47.34988507072407,,49.60829373968059
5,63.75965828052409,50.053513840042626,,52.10980361622224
10,51.9543180169693,32.294218153185454,,35.33312479931386
20,35.14939801222506,18.80481006319843,,22.70573130123831
30,18.44455044738386,8.378805970376815,,11.181536947630665
40,13.188305401866266,4.408179684122959,,5.997774432383371
50,12.908484353549927,2.7158588532039882,,3.5290816655549726
