dataset,Baseline20,Hybrid,Pipeline,Pipeline_noRev
Air_9000,49.37096500564937,26.940145257246794,,28.131848754592937
Boeing_898,44.85705488341855,25.567815314120562,,28.22544336449182
Boeing_898_FD,47.09260543729504,32.37997246835654,,36.49110035203406
Boeing_898_MBUV,42.41658824156706,27.409457048634888,,29.46716191828899
Boeing_898_MNAR,45.819848172548674,26.27804676374782,,28.335370061000503
Cats_1071,49.79371862540636,-2.348812085845333,,-2.2870596983606672
EV_Vehicles_4000,45.043341885110934,43.71346150316525,,46.238434687754555
F1_REBUILT_5000,36.04270364350064,35.17523579210084,,39.077496743384536
IoT_Telemetry3000,29.241224236276192,3.686731887932884,,13.895700387160668
Med_Ch_2500,32.29486336285533,6.483023044290811,,16.24832251675165
MotoGP_REBUILT_3000,11.962250177921465,3.505714992045445,,3.9366218997603695
NBA_3200,32.75753459400199,15.477283626963784,,18.616507796916
US_Presidents_3754,27.91020114267418,12.05370284427195,,17.45205897990774
actorfilms_4000,20.818624992522565,0.7063817273209764,,1.215123610213943
cars,45.274886598108296,17.194380945752314,,21.927672356690532
cars_FD,23.81021797259077,10.472202233055388,,14.480443360388612
cars_MBUV,51.597611244624666,20.726959073882124,,29.14128431690994
cars_MNAR,51.263727422175556,15.94195717941595,,25.212132117166973
police,18.925841312176846,11.805146456387353,,11.25231143519829
police_FD,38.4311287222892,32.917256376180084,,34.49527382761726
police_MBUV,23.718686980335228,15.100824458006853,,13.530428929767513
police_MNAR,21.469002652640278,14.640675536618241,,14.021686073939534
restaurant,26.729229021733442,23.035546637993765,,24.894749729739925
restaurant_FD,33.98799061136691,17.49839912479349,,19.38107483811866
restaurant_MBUV,33.202970656082485,36.71126530229766,,38.3451657312112
restaurant_MNAR,40.40267489072061,34.890412713643116,,35.860691651285904
superstore_4500,20.947327035815274,-1.7604431796683955,,-5.0973323983916865
