?;?;'3316 HIGHWAY 280';'ALEXANDER CITY';?;'AL - Birmingham';13;?;?;7448.0;178;RESPIRATORY INFECTIONS & INFLAMMATIONS W CC'
450046;'CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI';'600 ELIZABETH STREET';'CORPUS CHRISTI';?;'TX - Corpus Christi';?;79576.0;13956.0;?;470;?
180048;?;?;DANVILLE;?;?;14;47762.0;?;?;249;PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT WO MCC'
?;?;?;FRIDLEY;MN;?;12;?;?;14069.0;?;?
310034;?;?;?;NJ;'NJ - Camden';?;?;?;?;?;?
390185;'HAZLETON GENERAL HOSPITAL';?;HAZLETON;?;?;?;?;?;?;872;?
250094;?;'5001 W HARDY ST';HATTIESBURG;?;?;?;61773.0;14990.0;?;?;MAJOR SMALL & LARGE BOWEL PROCEDURES W CC'
450102;'MOTHER FRANCES HOSPITAL';?;TYLER;TX;'TX - Tyler';30;227487.0;32774.0;?;?;SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS'
140007;?;'333 N MADISON';JOLIET;?;?;160;29196.0;?;?;?;G--I-- HEMORRHAGE W CC'
?;?;'78 MEDICAL CENTER DRIVE';?;VA;'VA - Charlottesville';104;8190.0;6100.0;?;?;?
450388;'METHODIST HOSPITAL';?;?;TX;?;?;26625.0;5850.0;?;57;?
?;?;'3615 19TH STREET';?;TX;'TX - Lubbock';25;?;?;?;811;RED BLOOD CELL DISORDERS W MCC'
?;?;?;LINCOLN;?;?;?;27767.0;?;?;?;?
340115;'FIRSTHEALTH MOORE REGIONAL HOSPITAL';'155 MEMORIAL DRIVE';PINEHURST;NC;?;46;?;?;?;?;?
?;?;?;?;?;'GA - Atlanta';?;?;9712.0;9039.0;?;RESPIRATORY INFECTIONS & INFLAMMATIONS W CC'
?;'MOTHER FRANCES HOSPITAL';'800 EAST DAWSON';?;TX;?;?;?;?;3305.0;?;INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WO CCMCC'
350011;'SANFORD MEDICAL CENTER FARGO';?;?;?;'ND - FargoMoorhead MN';?;9909.0;4275.0;?;313;CHEST PAIN'
230020;'OAKWOOD HOSPITAL AND MEDICAL CENTER';'18101 OAKWOOD BLVD';DEARBORN;?;?;?;?;?;7749.0;?;CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC'
60064;'CENTURA HEALTH-PORTER ADVENTIST HOSPITAL';'2525 S DOWNING ST';DENVER;?;?;18;?;7212.0;6401.0;?;?
140290;'ST ALEXIUS MEDICAL CENTER';'1555 N BARRINGTON RD';?;IL;?;?;48413.0;10323.0;9707.0;?;?
70015;'NEW MILFORD HOSPITAL';?;'NEW MILFORD';CT;?;14;28955.0;8315.0;7354.0;?;INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC'
?;?;'148 CHESTNUT STREET';?;MA;'MA - Boston';?;?;?;3259.0;?;DYSEQUILIBRIUM'
?;?;'1501 PASADENA AVE SOUTH';'SAINT PETERSBUR';FL;?;27;19895.0;?;?;195;?
290003;'SUNRISE HOSPITAL AND MEDICAL CENTER';'3186 S MARYLAND PKWY';'LAS VEGAS';NV;'NV - Las Vegas';?;39430.0;?;?;202;?
?;'MCLEOD MEDICAL CENTER - DILLON';?;DILLON;?;?;?;15048.0;?;3583.0;?;INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WO CCMCC'
440161;'CENTENNIAL MEDICAL CENTER';?;NASHVILLE;?;'TN - Nashville';?;?;13782.0;?;?;CERVICAL SPINAL FUSION WO CCMCC'
490112;'CJW MEDICAL CENTER';?;RICHMOND;?;?;?;?;33528.0;?;?;INFECTIOUS & PARASITIC DISEASES W O--R-- PROCEDURE W MCC'
50197;'SEQUOIA HOSPITAL';'170 ALAMEDA DE LAS PULGAS';?;CA;?;?;?;49860.0;48909.0;853;?
150010;'ST JOSEPH HOSPITAL & HEALTH CENTER INC';?;?;?;'IN - Indianapolis';?;?;?;12664.0;?;?
