?;South;2021;?;9.04;7.08;42.23;?;4149;66.24;300;?;26185;36.55;Boiling
China;West;2013;Tap;5.59;7.77;26.07;?;238;48.15;349;77.13;25017;44.53;No Treatment
?;North;2003;Lake;5.63;6.18;42.81;2.38;?;73.78;118;71.31;63142;36.23;Filtration
Brazil;East;2013;Well;?;6.15;26.78;6.18;972;82.79;266;29.01;67982;?;Filtration
Indonesia;Central;2004;Lake;0.22;6.54;38.87;0.51;1576;93.82;190;97.45;16751;?;Chlorination
Brazil;?;?;River;5.85;7.45;19.89;9.66;?;56.14;221;5.62;28014;78.3;No Treatment
Indonesia;Central;2010;Lake;3.55;7.6;0.63;?;3579;89.69;463;60.71;66421;66.82;Filtration
Indonesia;?;2023;?;7.97;7.93;41.48;14.02;4380;67.98;316;6.96;80635;49.92;Chlorination
USA;Central;2010;Well;?;7.26;42.44;6.13;?;77.68;213;76.62;8969;46.54;Boiling
India;East;2019;Pond;?;6.75;27.7;14.86;?;58.4;437;32.03;63891;72.94;No Treatment
Pakistan;East;?;Tap;4.89;?;30.93;12.2;3932;97.4;93;55.99;73172;56.71;?
?;South;2015;?;4.12;8.16;?;?;2654;72.76;494;44.45;?;85.24;Filtration
Bangladesh;South;2021;River;6.59;?;32.74;5.51;1660;?;?;77.51;51903;44.62;Boiling
Nigeria;Central;2008;Tap;2.22;6.5;?;15.31;2259;62.56;?;79.58;57826;25.32;Filtration
Indonesia;?;2004;River;?;8.01;43.54;18.62;3878;?;348;13.89;56426;?;?
Brazil;North;2014;Lake;0.47;6.44;40.17;3.65;?;45.61;196;15.24;?;58.17;Chlorination
India;Central;2015;River;?;6.39;41.8;6.88;?;44.04;57;36.74;70391;?;Filtration
Ethiopia;North;?;River;7.18;?;31.55;18.03;2072;38.18;57;?;?;32.19;No Treatment
Nigeria;?;2017;River;5.78;?;?;15.81;2470;48.04;498;76.38;?;78.59;No Treatment
Pakistan;North;2005;Tap;8.25;6.25;25.79;9.44;3176;37.24;491;49.89;?;96.4;?
Bangladesh;?;2005;Pond;8.67;7.73;27.17;?;3002;?;?;36.91;97147;32.57;Chlorination
Brazil;East;2021;Well;2.92;7.59;16.11;4.51;2685;83.31;336;30.57;28103;?;?
Nigeria;?;?;River;?;?;12.53;5.49;2099;89.52;?;?;33188;59.27;Boiling
?;West;2012;Pond;?;6.01;22.52;5.85;2888;?;497;?;58570;46.61;Chlorination
Indonesia;East;2001;Pond;?;7.99;44.32;13.93;?;42.83;277;96.45;89311;26.92;Filtration
Brazil;West;2012;Pond;6.11;7.96;48.46;16.33;226;?;375;?;51695;?;?
Mexico;West;2023;River;8.43;7.8;4.89;8.2;3615;65.78;203;62.32;21025;36.92;Filtration
Indonesia;South;2000;Lake;1.45;?;?;6.11;4856;45.99;179;6.06;?;78.62;No Treatment
India;West;?;?;0.51;7.44;9.99;10.15;1275;?;5;31.46;?;87.59;Chlorination
Bangladesh;South;2009;River;9.64;6.69;28.22;5.85;1814;58.62;74;?;33703;?;Filtration
?;North;2022;?;4.36;7.78;27.28;?;?;68.07;?;61.81;88894;34.71;No Treatment
?;North;2016;?;8.35;8.24;?;?;?;?;247;63.96;32292;?;Filtration
Pakistan;North;2012;River;4.9;6.29;10.08;?;2034;82.48;36;51.45;92776;92.08;Boiling
Mexico;Central;2007;Lake;8.87;7.08;?;10.2;4285;47.02;?;9.6;31132;46.42;?
India;North;2011;Pond;4.66;6.84;30.09;8.67;4270;45.14;272;?;?;72.46;No Treatment
?;?;2023;Pond;5.07;7.34;49.61;15.31;3792;52.62;247;99.74;4012;98.31;Boiling
Mexico;North;2013;Spring;?;?;19.78;1.04;1719;49.37;440;3.62;72970;?;Boiling
Mexico;?;2009;Tap;1.93;6.29;48.31;4.92;4659;35.35;477;23.31;62428;74.88;Filtration
USA;East;2017;Lake;5.01;?;34.86;14.64;?;61.35;87;?;25131;91.66;Boiling
Pakistan;West;?;Tap;0.35;6.33;19.83;4.96;4568;71.88;371;50.29;48274;87.02;No Treatment
Nigeria;?;2009;Pond;0.86;6.55;37.29;15.24;561;97.59;443;60.32;40356;72.53;No Treatment
Mexico;West;2009;Well;?;7.71;41.3;13.18;1171;38.12;55;21.85;?;84.55;No Treatment
Ethiopia;South;2017;Lake;2.13;6.32;?;10.92;?;?;83;?;92733;85.36;Filtration
Pakistan;East;2002;Spring;3.92;8.13;1.4;7.84;1359;52.42;39;35.27;87427;21.72;Filtration
Nigeria;?;?;?;6.96;6.87;9.01;2.22;1885;82.17;282;?;3392;42.82;Boiling
USA;Central;2006;?;3.3;6.85;32.88;?;2940;58.09;?;9.87;24621;?;Filtration
Brazil;Central;?;Pond;?;8.25;24.4;6.02;4954;81.48;407;25.3;91065;61.08;Filtration
Nigeria;West;2007;Spring;?;6.56;44.21;10.49;3447;44.75;72;35.92;?;96.09;?
USA;East;2020;Pond;0.37;?;?;6.79;4157;?;419;97.7;41554;26.85;Filtration
Mexico;East;2006;Pond;5.67;6.14;?;17.05;1935;70.89;?;50.82;3083;78.41;?
Nigeria;East;2006;River;?;6.95;?;1.26;1944;31.37;402;95.92;41029;27.27;?
Pakistan;East;2008;River;?;6.63;31.3;?;3145;33.4;?;34.13;75337;47.83;No Treatment
Nigeria;South;2017;River;?;6.64;1.7;1.2;?;41.26;233;13.99;?;91.66;?
Brazil;?;2009;?;7.14;7.52;?;11.07;2061;56.25;?;81.55;66122;56.04;No Treatment
Brazil;North;2016;River;9.17;8.35;19.5;8.81;1048;82.83;275;30.35;31512;87.75;No Treatment
China;South;?;Spring;4.58;6.55;48.77;14.75;?;?;499;96.59;15578;68.13;Chlorination
Bangladesh;?;2011;Pond;5.64;7.6;11.02;0.42;4409;62.38;226;61.5;24714;32.49;Filtration
Indonesia;South;2015;Well;5.71;?;?;17.14;?;64.95;331;16.33;69078;60.25;No Treatment
