?;South;2021;Lake;9.04;7.08;42.23;1.52;4149;66.24;300;2.18;26185;?;Boiling
China;West;2013;Tap;5.59;7.77;26.07;?;?;48.15;349;77.13;25017;44.53;No Treatment
China;North;2003;Lake;5.63;6.18;42.81;2.38;1519;73.78;118;71.31;?;?;Filtration
Brazil;East;?;Well;?;6.15;26.78;?;972;?;266;29.01;67982;62.85;Filtration
Indonesia;Central;2004;?;0.22;6.54;38.87;0.51;?;93.82;190;97.45;16751;35.8;?
Brazil;West;2021;?;5.85;7.45;19.89;?;455;56.14;221;?;?;78.3;No Treatment
Indonesia;Central;?;Lake;3.55;7.6;?;10.52;3579;89.69;463;60.71;66421;66.82;Filtration
Indonesia;South;2023;Well;7.97;7.93;41.48;14.02;4380;67.98;316;6.96;80635;49.92;?
USA;Central;2010;Well;4.62;?;42.44;?;4929;77.68;213;76.62;8969;46.54;?
India;East;2019;Pond;8.91;?;27.7;14.86;4612;58.4;437;32.03;63891;72.94;No Treatment
Pakistan;?;2010;Tap;4.89;?;30.93;12.2;3932;97.4;?;55.99;73172;?;Chlorination
Indonesia;South;2015;Lake;4.12;8.16;46.42;15.01;2654;72.76;494;44.45;77230;85.24;Filtration
Bangladesh;South;?;?;6.59;7.79;?;5.51;1660;?;401;77.51;?;44.62;Boiling
Nigeria;Central;2008;Tap;2.22;6.5;47.58;15.31;2259;62.56;48;79.58;57826;25.32;Filtration
Indonesia;East;2004;River;7.95;?;43.54;18.62;3878;97.42;348;13.89;56426;40.34;?
Brazil;North;2014;Lake;0.47;6.44;40.17;3.65;2590;45.61;196;?;82318;58.17;Chlorination
India;?;2015;River;2.78;6.39;41.8;6.88;93;44.04;57;?;70391;80.12;Filtration
Ethiopia;North;2021;River;?;7.81;31.55;18.03;?;38.18;57;19.58;90239;?;No Treatment
Nigeria;Central;?;?;5.78;8.26;10.77;15.81;?;48.04;498;76.38;?;?;No Treatment
Pakistan;North;2005;Tap;8.25;6.25;25.79;9.44;3176;37.24;?;49.89;64978;96.4;?
?;?;2005;Pond;8.67;7.73;27.17;1.25;3002;61.36;140;36.91;97147;32.57;Chlorination
?;East;2021;?;2.92;?;16.11;4.51;?;83.31;336;?;28103;92.01;Boiling
Nigeria;?;2002;River;3.48;8.44;12.53;5.49;?;89.52;136;63.72;?;?;Boiling
Brazil;West;2012;Pond;8.68;?;22.52;?;2888;53.01;?;22.43;58570;46.61;?
?;East;2001;?;4.48;?;?;?;?;42.83;277;96.45;89311;26.92;?
?;West;2012;Pond;6.11;7.96;48.46;16.33;226;74.0;375;55.58;51695;58.18;Chlorination
Mexico;?;2023;River;8.43;7.8;4.89;8.2;3615;?;203;62.32;21025;36.92;Filtration
Indonesia;South;2000;?;?;7.04;9.12;6.11;4856;45.99;179;6.06;49151;78.62;No Treatment
India;West;2001;Pond;0.51;7.44;?;10.15;1275;80.06;5;?;55501;?;?
?;South;2009;River;9.64;6.69;28.22;5.85;1814;58.62;74;65.66;?;64.3;?
?;North;2022;River;4.36;7.78;27.28;?;?;68.07;356;61.81;88894;34.71;?
?;?;?;?;8.35;8.24;6.56;?;82;34.18;247;63.96;32292;51.47;Filtration
?;North;?;River;4.9;6.29;10.08;15.21;2034;82.48;36;51.45;92776;92.08;Boiling
Mexico;Central;2007;Lake;8.87;7.08;?;10.2;?;47.02;464;9.6;31132;46.42;?
?;North;?;Pond;4.66;6.84;?;?;4270;45.14;272;30.95;?;72.46;No Treatment
USA;North;2023;Pond;5.07;7.34;49.61;15.31;3792;52.62;247;99.74;4012;98.31;Boiling
Mexico;?;2013;Spring;0.98;7.69;19.78;1.04;1719;49.37;440;3.62;72970;?;Boiling
Mexico;?;2009;?;1.93;?;48.31;4.92;?;35.35;477;23.31;62428;74.88;Filtration
USA;East;?;?;5.01;6.29;34.86;14.64;4573;61.35;?;?;25131;?;Boiling
Pakistan;West;2006;?;0.35;6.33;19.83;4.96;4568;71.88;371;50.29;?;87.02;No Treatment
?;?;?;Pond;0.86;6.55;37.29;15.24;561;97.59;?;60.32;40356;72.53;?
?;West;2009;?;1.98;?;41.3;13.18;1171;?;?;21.85;19818;84.55;No Treatment
Ethiopia;South;2017;Lake;2.13;?;22.3;10.92;?;36.12;83;21.24;92733;?;Filtration
Pakistan;East;?;Spring;3.92;8.13;1.4;7.84;1359;52.42;?;?;?;21.72;?
Nigeria;North;2016;Lake;6.96;?;9.01;2.22;1885;82.17;282;17.81;3392;?;Boiling
USA;Central;2006;?;3.3;6.85;32.88;2.96;2940;58.09;?;9.87;24621;51.94;?
?;?;?;Pond;?;8.25;?;6.02;4954;?;?;25.3;91065;61.08;Filtration
?;?;?;Spring;?;6.56;44.21;?;3447;44.75;?;?;47186;?;?
USA;East;?;Pond;0.37;7.09;18.65;6.79;4157;77.88;419;97.7;41554;26.85;Filtration
Mexico;East;2006;Pond;5.67;6.14;33.35;17.05;1935;70.89;?;50.82;3083;78.41;?
Nigeria;East;2006;River;3.37;6.95;49.11;1.26;?;31.37;402;95.92;41029;27.27;Boiling
Pakistan;East;2008;River;?;6.63;31.3;15.15;3145;33.4;150;34.13;75337;47.83;No Treatment
Nigeria;South;2017;River;2.15;6.64;1.7;1.2;1960;?;233;13.99;31686;91.66;Boiling
Brazil;Central;2009;Tap;7.14;7.52;9.19;11.07;?;56.25;44;81.55;66122;56.04;No Treatment
Brazil;North;2016;River;9.17;8.35;19.5;8.81;1048;82.83;275;30.35;31512;87.75;No Treatment
?;South;2006;Spring;4.58;6.55;48.77;14.75;?;63.06;499;96.59;15578;68.13;Chlorination
Bangladesh;?;2011;?;?;?;11.02;0.42;4409;62.38;226;?;?;32.49;?
Indonesia;South;2015;Well;5.71;6.33;32.4;?;?;64.95;331;?;69078;?;No Treatment
Brazil;Central;2017;?;?;8.35;18.71;17.7;2380;39.3;?;19.71;55499;37.13;No Treatment
Indonesia;Central;2023;River;4.99;6.24;?;19.15;3252;?;73;?;40064;23.33;?
India;West;2020;Well;9.48;7.15;10.27;19.8;4890;41.79;133;96.13;?;22.59;Chlorination
Ethiopia;East;2020;River;7.48;?;17.88;?;?;33.58;34;?;22443;?;No Treatment
Nigeria;East;?;?;8.02;7.79;29.71;1.9;3882;30.73;269;10.67;76422;?;No Treatment
Pakistan;North;2008;?;3.18;8.14;?;19.85;?;92.27;314;?;20121;26.14;Chlorination
China;West;2000;?;3.93;6.42;5.07;4.95;2157;?;15;?;57324;87.79;Boiling
?;East;2001;Well;5.81;7.44;13.14;16.12;1909;35.11;74;61.61;?;99.59;Chlorination
India;South;2007;River;2.57;7.1;44.16;6.49;1044;68.26;378;62.17;?;91.85;?
Bangladesh;West;?;Tap;6.43;7.59;12.04;15.18;?;?;393;76.28;48832;91.18;No Treatment
China;Central;2024;Lake;9.43;6.6;35.62;4.6;860;77.33;117;19.81;8515;54.47;No Treatment
Mexico;?;2023;Spring;7.43;6.95;4.03;8.39;132;78.93;409;?;?;35.01;Filtration
Bangladesh;East;2012;River;2.79;7.61;7.63;12.33;2505;?;?;87.86;79284;41.35;Filtration
Nigeria;?;2003;?;?;?;0.93;6.45;?;44.19;?;?;?;46.45;?
USA;West;2024;Well;?;?;49.71;11.86;4166;75.8;89;?;66951;83.97;Boiling
Bangladesh;Central;2020;Well;7.14;?;2.03;?;2193;51.15;?;99.62;44917;20.87;Filtration
Indonesia;?;2012;Spring;4.8;8.19;15.17;15.09;4195;?;137;?;?;24.39;Chlorination
Nigeria;South;2004;Well;?;6.76;?;?;3911;98.86;84;10.46;62937;78.83;No Treatment
Mexico;South;?;Well;4.33;7.09;29.22;3.32;2788;43.81;?;27.87;?;?;Boiling
USA;?;2024;River;?;7.17;7.13;12.01;947;59.48;425;33.98;?;45.99;?
Pakistan;Central;2015;Spring;2.51;7.8;23.1;10.3;1242;50.98;477;13.77;?;69.67;Filtration
Ethiopia;East;?;River;5.01;7.16;29.71;11.18;274;61.2;9;32.83;59035;83.28;Filtration
Indonesia;North;2004;River;?;?;45.63;19.44;2239;60.97;243;45.3;13338;?;Filtration
?;East;2009;Lake;?;8.16;33.64;12.54;?;33.88;?;12.41;86558;48.55;?
Ethiopia;East;2021;River;?;6.89;35.88;?;?;44.65;304;30.91;71475;32.4;No Treatment
?;West;?;Well;?;7.84;15.74;14.68;2122;89.54;?;77.3;17220;29.12;Boiling
Ethiopia;West;2000;?;6.68;8.45;26.01;?;487;?;?;46.91;29975;34.32;Boiling
Nigeria;North;2004;Well;0.34;7.23;12.14;5.6;4087;50.68;258;31.87;18362;65.88;Chlorination
?;East;2004;?;3.52;7.24;38.07;14.42;?;45.76;270;80.11;49834;76.99;No Treatment
Nigeria;Central;2016;Well;6.53;6.44;32.4;16.64;275;71.63;126;72.36;81277;32.39;Boiling
?;?;2010;?;7.28;8.25;36.87;5.67;3946;74.16;20;?;89720;26.22;No Treatment
Mexico;East;2013;Lake;8.49;?;3.51;5.81;2667;99.94;202;23.69;39154;41.97;Boiling
Brazil;Central;2015;Pond;5.55;?;?;12.42;4340;92.17;?;69.34;56301;54.13;No Treatment
Nigeria;South;2018;Tap;6.01;7.44;11.57;7.29;?;88.02;440;?;70036;89.79;No Treatment
India;Central;2013;Pond;1.51;?;11.63;?;1293;61.31;?;?;?;?;?
Ethiopia;North;2000;Lake;9.23;?;13.58;16.73;2230;53.79;?;85.51;63438;45.66;Filtration
China;East;2000;?;4.23;6.93;?;?;1584;76.46;104;20.33;95327;28.44;?
Mexico;West;2000;?;3.37;8.12;18.52;17.31;589;?;279;92.12;?;21.49;?
?;South;?;Spring;2.18;6.79;?;10.26;398;47.45;?;32.58;12284;77.81;Boiling
Brazil;?;2016;?;3.19;8.18;44.07;19.43;401;66.72;37;79.6;34492;?;?
India;East;2022;Well;0.17;?;32.35;9.73;1679;93.74;88;33.64;5940;?;Boiling
Brazil;?;2017;Tap;5.45;6.19;?;7.83;499;81.57;179;33.56;71085;93.08;No Treatment
Nigeria;South;2018;?;?;6.63;?;?;2013;47.79;286;58.11;2129;45.98;Boiling
China;East;?;Pond;6.22;8.09;20.61;19.19;4946;31.67;221;71.99;15672;20.81;Chlorination
