2021;Moto3;POR;Algarve;2621;?;?;?;2;20;7.0;?
2017;Moto2;CZE;Brno;?;Vierge Xavi;Tech 3 Racing;Tech 3;5;11;97.0;?
2012;Moto2;?;Assen;2202;Rabat Tito;Pons 40 HP Tuenti;Kalex;4;13;80.0;ES
2012;Moto3;GBR;?;2156;?;Caretta Technology;Honda;?;13;?;FR
2011;MotoGP;POR;Estoril;?;Dovizioso Andrea;Repsol Honda Team;Honda;4;?;4.0;?
2013;MotoGP;?;Indianapolis;2015;Pedrosa Dani;Repsol Honda Team;Honda;2;20;26.0;?
?;MotoGP;CZE;Brno;?;?;Repsol Honda Team;Honda;2;20;26.0;ES
2013;Moto2;INP;Indianapolis;?;Aegerter Dominique;Technomag carXpert;?;5;11;?;CH
2009;MotoGP;ITA;?;1762;Rossi Valentino;?;?;3;16;46.0;IT
2018;?;AME;Texas;2293;Marquez Marc;Repsol Honda Team;Honda;1;25;?;?
2007;?;RSM;Misano;?;Lorenzo Jorge;Fortuna Aprilia;Aprilia;1;25;1.0;ES
2021;Moto2;ARA;Aragon;2591;Canet Aron;Kipin Energy Aspar Team;?;5;11;44.0;ES
2018;Moto3;ITA;?;?;Martin Jorge;Del Conca Gresini Moto3;Honda;?;25;88.0;ES
2012;Moto2;RSM;Misano;2218;Espargaro Pol;Pons 40 HP Tuenti;Kalex;2;?;40.0;?
2006;125cc;NED;Assen;?;Bautista Alvaro;Master - MVA Aspar Team;Aprilia;3;16;?;?
2016;Moto3;ARA;Aragon;2488;Navarro Jorge;Estrella Galicia 00;?;1;25;9.0;ES
2006;?;GBR;?;?;Roberts Jr Kenny;Team Roberts;KR211V;5;11;?;?
2005;250cc;CAT;Catalunya;2032;Stoner Casey;Carrera Sunglasses - LCR;Aprilia;2;20;27.0;AU
2013;MotoGP;NED;Assen;?;Rossi Valentino;Yamaha Factory Racing;Yamaha;1;25;46.0;IT
2012;Moto3;POR;Estoril;2338;Salom Luis;RW Racing GP;Kalex KTM;3;16;39.0;ES
2014;MotoGP;AUS;Phillip Island;2055;Dovizioso Andrea;Ducati Team;Ducati;4;13;4.0;IT
2017;MotoGP;NED;?;2055;Dovizioso Andrea;?;Ducati;?;?;?;IT
2011;125cc;POR;Estoril;2157;Cortese Sandro;Intact-Racing Team Germany;?;2;20;11.0;DE
?;Moto2;?;?;2553;Gardner Remy;Red Bull KTM Ajo;Kalex;1;25;?;AU
2017;?;VAL;Ricardo Tormo;2429;Oliveira Miguel;?;KTM;1;25;?;PT
2019;Moto3;AUT;Spielberg;2650;Vietti Celestino;SKY Racing Team VR46;KTM;4;13;?;IT
2008;125cc;FRA;Le Mans;2218;?;Belson Derbi;Derbi;4;13;44.0;ES
2017;Moto3;ITA;?;2487;Guevara Juan Francisco;?;KTM;3;16;?;ES
2009;250cc;SPA;?;?;Simoncelli Marco;Metis Gilera;Gilera;3;16;58.0;IT
2015;Moto2;RSM;?;2064;?;Forward Racing;Kalex;4;13;3.0;IT
2021;Moto3;ITA;Mugello;2622;?;Red Bull KTM Ajo;KTM;2;20;5.0;ES
2013;Moto2;GER;?;?;Torres Jordi;Aspar Team Moto2;Suter;1;?;81.0;ES
2016;Moto3;?;Phillip Island;?;Loi Livio;RW Racing GP BV;Honda;5;11;11.0;?
2017;Moto2;CAT;Catalunya;2075;Luthi Thomas;CarXpert Interwetten;Kalex;2;20;12.0;CH
2011;125cc;?;Misano;2151;Terol Nicolas;Bankia Aspar Team 125cc;Aprilia;1;25;?;?
2018;Moto3;SPA;Jerez;2636;Lopez Alonso;?;?;4;?;72.0;ES
2015;Moto2;?;?;2330;Zarco Johann;Ajo Motorsport;Kalex;3;16;?;FR
2007;250cc;TUR;Istanbul;2058;?;Fortuna Aprilia;Aprilia;2;20;1.0;ES
2007;125cc;RSM;Misano;?;?;Red Bull KTM 125;KTM;3;16;?;JP
?;MotoGP;GER;Sachsenring;1762;Rossi Valentino;Gauloises Yamaha Team;Yamaha;1;25;46.0;IT
2015;Moto3;CZE;Brno;2450;Binder Brad;Red Bull KTM Ajo;?;3;16;41.0;ZA
2013;Moto2;?;Aragon;?;Terol Nicolas;Aspar Team Moto2;?;1;?;18.0;?
2012;Moto2;QAT;?;2202;Rabat Tito;Pons 40 HP Tuenti;Kalex;4;13;?;?
?;MotoGP;JPN;Motegi;2093;Hayden Nicky;Repsol Honda Team;Honda;5;11;69.0;US
2013;?;?;Silverstone;2428;Vinales Maverick;Team Calvo;KTM;?;13;25.0;?
2013;Moto3;RSM;Misano;2471;?;Estrella Galicia 00;KTM;1;?;?;ES
2015;?;NED;Assen;?;Zarco Johann;?;Kalex;?;25;5.0;?
?;Moto3;AME;Texas;2428;Vinales Maverick;Team Calvo;KTM;?;20;25.0;ES
?;125cc;TUR;?;2016;Olive Joan;Polaris World;Aprilia;2;20;6.0;ES
2011;Moto2;VAL;Ricardo Tormo;2107;Pirro Michele;Gresini Racing Moto2;Moriwaki;1;25;51.0;IT
2013;MotoGP;QAT;?;?;Lorenzo Jorge;Yamaha Factory Racing;Yamaha;1;25;99.0;ES
2015;Moto3;RSM;Misano;2535;Bastianini Enea;Gresini Racing Team Moto3;Honda;1;25;33.0;IT
2007;125cc;?;Jerez;1988;Faubel Hector;Bancaja Aspar;?;3;16;55.0;ES
2008;?;?;Catalunya;2098;Di Meglio Mike;Ajo Motorsport;Derbi;1;25;?;FR
?;?;INP;?;2151;Terol Nicolas;?;?;1;25;?;ES
2008;MotoGP;?;Phillip Island;1875;Nakano Shinya;San Carlo Honda Gresini;Honda;5;11;56.0;JP
2018;Moto2;QAT;Losail;2475;Marquez Alex;?;Kalex;3;16;73.0;?
?;250cc;ITA;Mugello;2130;Pasini Mattia;Team Toth Aprilia;Aprilia;?;25;?;IT
2007;?;JPN;Motegi;2016;?;Polaris World;?;?;11;6.0;ES
2008;125cc;JPN;Motegi;2098;Di Meglio Mike;Ajo Motorsport;Derbi;2;20;?;FR
2011;125cc;NED;?;2338;Salom Luis;RW Racing GP;Aprilia;2;?;39.0;ES
2011;125cc;?;Mugello;2330;Zarco Johann;Avant-AirAsia-Ajo;Derbi;2;20;5.0;FR
?;Moto3;NED;Assen;?;Marquez Alex;Estrella Galicia 00;?;5;?;12.0;ES
2012;Moto2;?;Ricardo Tormo;2293;Marquez Marc;Team Catalunya Caixa Repsol;Suter;?;?;93.0;ES
