arnie morton's of chicago;435 s. la cienega blv.;los angeles;310/246-1501;?;0
?;435 s. la cienega blvd.;los angeles;310-246-1501;steakhouses;0
art's delicatessen;12224 ventura blvd.;studio city;818/762-1221;american;?
?;12224 ventura blvd.;studio city;818-762-1221;delis;1
hotel bel-air;701 stone canyon rd.;bel air;310/472-1211;californian;2
bel-air hotel;701 stone canyon rd.;bel air;310-472-1211;californian;2
?;14016 ventura blvd.;sherman oaks;?;french;3
?;14016 ventura blvd.;?;?;?;3
?;?;los angeles;213/938-1447;american;4
campanile;?;los angeles;213-938-1447;californian;4
chinois on main;2709 main st.;santa monica;310/392-9025;french;5
chinois on main;2709 main st.;santa monica;310-392-9025;pacific new wave;5
citrus;?;los angeles;?;californian;6
citrus;6703 melrose ave.;?;213-857-0034;?;6
fenix;8358 sunset blvd. west;hollywood;213/848-6677;american;7
?;8358 sunset blvd.;w. hollywood;213-848-6677;?;7
granita;?;malibu;310/456-0488;californian;8
granita;23725 w. malibu rd.;malibu;?;californian;?
grill on the alley;9560 dayton way;los angeles;310/276-0615;?;9
?;9560 dayton way;?;310-276-0615;american (traditional);9
restaurant katsu;?;los angeles;213/665-1891;asian;10
?;1972 hillhurst ave.;los feliz;213-665-1891;japanese;10
l'orangerie;?;los angeles;310/652-9770;french;11
l'orangerie;903 n. la cienega blvd.;?;310-652-9770;french (classic);?
le chardonnay;8284 melrose ave.;?;213/655-8880;french;?
le chardonnay (los angeles);?;?;213-655-8880;french bistro;12
?;3rd st.;los angeles;310/274-1893;italian;13
locanda veneta;8638 w. third st.;los angeles;?;italian;?
matsuhisa;129 n. la cienega blvd.;beverly hills;?;?;?
matsuhisa;129 n. la cienega blvd.;?;310-659-9639;seafood;14
the palm;9001 santa monica blvd.;?;310/550-8811;?;?
palm  the (los angeles);?;?;310-550-8811;steakhouses;?
?;5955 melrose ave.;?;213/467-1108;californian;16
patina;5955 melrose ave.;los angeles;213-467-1108;californian;16
?;1001 n. alameda st.;los angeles;?;?;?
?;1001 n. alameda st.;?;?;?;?
?;12969 ventura blvd.;los angeles;818/990-0500;?;18
pinot bistro;12969 ventura blvd.;studio city;818-990-0500;french bistro;18
?;617 s. olive st.;?;213/627-2300;?;19
?;?;los angeles;?;?;19
?;?;los angeles;310/652-4025;?;?
spago (los angeles);?;w. hollywood;?;californian;20
valentino;3115 pico blvd.;?;310/829-4313;italian;21
valentino;3115 pico blvd.;?;310-829-4313;italian;?
?;67 n. raymond ave.;los angeles;?;asian;22
yujean kang's;?;pasadena;818-585-0855;?;22
?;?;new york;212/582-7200;?;23
?;21 w. 52nd st.;new york city;212-582-7200;american (new);23
aquavit;13 w. 54th st.;new york;212/307-7311;?;?
aquavit;13 w. 54th st.;new york city;212-307-7311;scandinavian;24
aureole;34 e. 61st st.;?;212/ 319-1660;american;25
?;34 e. 61st st.;new york city;?;american (new);25
cafe lalo;?;new york;212/496-6031;coffee bar;?
?;201 w. 83rd st.;new york city;?;coffeehouses;?
?;1 w. 67th st.;new york;?;continental;?
?;1 w. 67th st.;new york city;212-877-3500;?;27
carmine's;2450 broadway  between 90th and 91st sts.;new york;?;italian;?
carmine's;2450 broadway;new york city;?;italian;28
carnegie deli;854 7th ave.  between 54th and 55th sts.;new york;?;delicatessen;29
carnegie deli;854 seventh ave.;new york city;212-757-2245;delis;29
?;2 harrison st.  near hudson st.;new york;212/966-6960;american;30
chanterelle;?;new york city;212-966-6960;french (new);30
daniel;20 e. 76th st.;new york;212/288-0033;french;?
?;20 e. 76th st.;new york city;212-288-0033;?;31
dawat;210 e. 58th st.;new york;?;asian;32
dawat;210 e. 58th st.;new york city;?;indian;32
?;?;new york;?;italian;?
?;243 e. 58th st.;new york city;?;italian;33
four seasons grill room;99 e. 52nd st.;new york;212/754-9494;american;34
four seasons;?;?;212-754-9494;?;34
gotham bar & grill;12 e. 12th st.;new york;212/620-4020;american;?
gotham bar & grill;12 e. 12th st.;new york city;212-620-4020;american (new);35
?;?;new york;212/477-0777;american;?
gramercy tavern;?;new york city;212-477-0777;american (new);36
island spice;402 w. 44th st.;new york;212/765-1737;tel caribbean;?
?;?;new york city;212-765-1737;?;37
jo jo;?;?;212/223-5656;?;38
jo jo;?;new york city;212-223-5656;?;?
la caravelle;33 w. 55th st.;?;212/586-4252;?;39
?;?;new york city;?;?;39
?;?;new york;212/688-6525;?;40
la cote basque;?;new york city;?;french (classic);40
?;155 w. 51st st.;new york;212/489-1515;french;41
?;155 w. 51st st.;?;212-489-1515;seafood;?
les celebrites;160 central park s;?;212/484-5113;french;?
les celebrites;155 w. 58th st.;new york city;212-484-5113;french (classic);42
?;2 e. 55th st.;new york;212/339-6719;american;?
lespinasse (new york city);?;new york city;212-339-6719;?;?
?;?;?;?;french;44
lutece;249 e. 50th st.;new york city;212-752-2225;?;44
?;57 w. 58th st.;new york;?;seafood;45
?;?;?;212-371-7777;seafood;?
march;405 e. 58th st.;new york;212/754-6272;?;46
march;405 e. 58th st.;?;?;american (new);46
mesa grill;102 5th ave.  between 15th and 16th sts.;new york;212/807-7400;american;47
mesa grill;?;new york city;212-807-7400;southwestern;47
mi cocina;57 jane st.  off hudson st.;new york;212/627-8273;mexican;48
?;57 jane st.;?;212-627-8273;mexican;?
montrachet;239 w. broadway  between walker and white sts.;new york;?;french;49
montrachet;239 w. broadway;new york city;?;?;49
oceana;55 e. 54th st.;new york;212/759-5941;seafood;50
oceana;?;new york city;212-759-5941;seafood;?
park avenue cafe;?;new york;212/644-1900;american;?
park avenue cafe (new york city);100 e. 63rd st.;new york city;212-644-1900;american (new);?
?;182 w. 58th st.;new york;212/245-2214;?;?
petrossian;182 w. 58th st.;new york city;212-245-2214;russian;?
?;?;new york;?;mediterranean;53
picholine;35 w. 64th st.;new york city;212-724-8585;?;?
