?;435 s. la cienega blv.;?;310/246-1501;?;0
?;435 s. la cienega blvd.;?;?;?;0
?;?;studio city;818/762-1221;?;?
?;12224 ventura blvd.;?;?;delis;?
?;701 stone canyon rd.;bel air;310/472-1211;californian;2
?;?;bel air;310-472-1211;?;?
?;?;?;818/788-3536;french;?
cafe bizou;?;?;?;french bistro;3
?;624 s. la brea ave.;?;?;american;4
?;624 s. la brea ave.;los angeles;?;californian;?
?;?;santa monica;310/392-9025;french;5
?;?;santa monica;310-392-9025;pacific new wave;5
citrus;6703 melrose ave.;los angeles;213/857-0034;?;6
?;?;los angeles;213-857-0034;californian;?
fenix;?;?;?;?;7
?;8358 sunset blvd.;w. hollywood;213-848-6677;?;7
?;?;?;310/456-0488;californian;8
?;23725 w. malibu rd.;malibu;?;californian;8
grill on the alley;?;?;310/276-0615;?;9
grill  the;9560 dayton way;?;310-276-0615;american (traditional);?
restaurant katsu;?;los angeles;?;asian;?
?;?;los feliz;?;?;?
?;903 n. la cienega blvd.;?;310/652-9770;?;11
?;?;w. hollywood;?;french (classic);?
le chardonnay;8284 melrose ave.;los angeles;?;?;12
le chardonnay (los angeles);?;los angeles;?;french bistro;?
?;3rd st.;los angeles;310/274-1893;italian;?
?;8638 w. third st.;?;?;italian;13
matsuhisa;129 n. la cienega blvd.;beverly hills;310/659-9639;?;?
?;?;beverly hills;?;?;?
?;9001 santa monica blvd.;los angeles;?;american;15
palm  the (los angeles);9001 santa monica blvd.;?;?;steakhouses;?
?;5955 melrose ave.;los angeles;?;californian;16
?;5955 melrose ave.;?;?;?;16
philippe's the original;1001 n. alameda st.;?;213/628-3781;american;17
philippe the original;?;?;213-628-3781;?;17
pinot bistro;?;los angeles;818/990-0500;?;18
pinot bistro;?;studio city;?;?;?
rex il ristorante;617 s. olive st.;los angeles;?;?;?
?;617 s. olive st.;los angeles;?;nuova cucina italian;19
?;?;los angeles;?;californian;?
spago (los angeles);?;?;310-652-4025;?;20
valentino;?;?;310/829-4313;?;21
?;?;santa monica;310-829-4313;italian;?
yujean kang's gourmet chinese cuisine;67 n. raymond ave.;?;818/585-0855;asian;22
yujean kang's;?;pasadena;818-585-0855;chinese;22
21 club;?;?;212/582-7200;american;23
21 club;21 w. 52nd st.;?;?;american (new);23
?;?;new york;?;?;?
?;13 w. 54th st.;?;?;scandinavian;?
aureole;34 e. 61st st.;?;212/ 319-1660;?;25
aureole;?;new york city;212-319-1660;american (new);25
?;201 w. 83rd st.;?;212/496-6031;?;26
cafe lalo;?;new york city;?;coffeehouses;26
?;1 w. 67th st.;new york;212/877-3500;continental;?
cafe des artistes;?;?;?;french (classic);?
carmine's;?;new york;212/362-2200;italian;28
carmine's;2450 broadway;new york city;212-362-2200;?;?
carnegie deli;854 7th ave.  between 54th and 55th sts.;?;?;?;29
carnegie deli;?;new york city;212-757-2245;delis;?
chanterelle;?;new york;212/966-6960;?;30
?;?;?;212-966-6960;?;30
?;?;?;212/288-0033;?;31
?;20 e. 76th st.;new york city;?;?;?
dawat;210 e. 58th st.;new york;212/355-7555;asian;32
?;210 e. 58th st.;new york city;?;indian;32
?;243 e. 58th st.;new york;?;?;33
felidia;?;new york city;212-758-1479;italian;33
four seasons grill room;?;?;212/754-9494;?;?
four seasons;?;?;?;american (new);34
?;?;new york;?;?;35
gotham bar & grill;12 e. 12th st.;new york city;?;?;35
?;?;new york;?;american;36
?;42 e. 20th st.;?;?;american (new);36
?;402 w. 44th st.;?;?;tel caribbean;?
island spice;402 w. 44th st.;new york city;212-765-1737;caribbean;37
?;160 e. 64th st.;?;?;american;38
?;160 e. 64th st.;new york city;?;french bistro;38
la caravelle;33 w. 55th st.;?;?;?;?
?;33 w. 55th st.;?;212-586-4252;french (classic);39
?;?;new york;?;?;40
la cote basque;?;?;?;?;?
?;?;?;?;?;?
le bernardin;?;new york city;212-489-1515;?;?
?;?;new york;?;french;42
?;155 w. 58th st.;?;?;french (classic);?
lespinasse;?;new york;?;american;43
lespinasse (new york city);2 e. 55th st.;?;?;?;?
lutece;249 e. 50th st.;new york;?;french;44
?;249 e. 50th st.;new york city;?;?;44
manhattan ocean club;?;?;212/ 371-7777;?;?
manhattan ocean club;?;new york city;212-371-7777;seafood;45
?;?;?;?;?;46
?;?;?;?;american (new);?
mesa grill;?;new york;?;american;47
mesa grill;102 fifth ave.;?;212-807-7400;?;47
?;?;?;212/627-8273;?;?
?;57 jane st.;?;212-627-8273;?;?
montrachet;?;new york;?;french;49
montrachet;?;new york city;212-219-2777;french bistro;49
oceana;55 e. 54th st.;?;?;?;?
