004XX N WABASH AVE;?;BATTERY;SIMPLE;?;0;?;18.0;?;8.0
016XX W HOWARD ST;?;CRIMINAL DAMAGE;?;SMALL RETAIL STORE;0;0;24.0;?;1.0
?;0560;?;?;GAS STATION;0;0;?;?;25.0
033XX S CARPENTER ST;4651;?;SEX OFFENDER: FAIL REG NEW ADD;?;0;0;9.0;11.0;?
016XX W CHASE AVE;0890;?;FROM BUILDING;OTHER;0;?;?;49.0;1.0
031XX W MEDILL AVE;?;BURGLARY;UNLAWFUL ENTRY;?;0;0;?;26.0;?
023XX E 68TH ST;?;THEFT;$500 AND UNDER;?;0;0;3.0;5.0;43.0
048XX N AUSTIN AVE;0820;THEFT;$500 AND UNDER;PARKING LOT/GARAGE(NON.RESID.);?;0;16.0;38.0;15.0
056XX N SPAULDING AVE;0820;?;?;OTHER;0;0;17.0;?;13.0
040XX W NORTH AVE;?;BURGLARY;?;OTHER;0;0;25.0;30.0;23.0
015XX N ASHLAND AVE;?;DECEPTIVE PRACTICE;CREDIT CARD FRAUD;OTHER;0;?;14.0;1.0;24.0
013XX W IRVING PARK RD;?;ASSAULT;SIMPLE;?;?;0;19.0;?;6.0
?;0320;?;STRONGARM - NO WEAPON;SIDEWALK;0;?;3.0;20.0;69.0
100XX W OHARE ST;2850;PUBLIC PEACE VIOLATION;BOMB THREAT;AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA;0;0;?;41.0;76.0
080XX S EVANS AVE;?;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE;0;1;?;6.0;?
061XX S ABERDEEN ST;?;?;TO VEHICLE;STREET;0;?;7.0;16.0;68.0
033XX W MONROE ST;2024;?;POSS: HEROIN(WHITE);STREET;1;0;?;28.0;27.0
055XX S BISHOP ST;0486;?;DOMESTIC BATTERY SIMPLE;?;?;1;7.0;16.0;67.0
038XX W ROOSEVELT RD;?;?;MANU/DEL:CANNABIS 10GM OR LESS;SIDEWALK;1;0;10.0;?;?
038XX W WASHINGTON BLVD;031A;ROBBERY;ARMED: HANDGUN;?;0;0;11.0;28.0;?
?;2024;NARCOTICS;POSS: HEROIN(WHITE);SIDEWALK;1;0;?;23.0;56.0
?;1365;CRIMINAL TRESPASS;TO RESIDENCE;RESIDENCE;?;0;?;7.0;43.0
027XX W 68TH ST;?;OTHER OFFENSE;SEX OFFENDER: FAIL TO REGISTER;?;?;0;8.0;15.0;?
040XX S ELLIS AVE;0560;ASSAULT;?;APARTMENT;?;1;2.0;?;36.0
?;041A;BATTERY;AGGRAVATED: HANDGUN;SIDEWALK;0;0;7.0;15.0;67.0
0000X S STATE ST;0890;?;?;?;?;0;?;42.0;?
110XX S HALSTED ST;?;?;RECKLESS CONDUCT;CURRENCY EXCHANGE;1;0;22.0;34.0;49.0
002XX W 31ST ST;0340;?;ATTEMPT: STRONGARM-NO WEAPON;ALLEY;0;0;?;11.0;?
076XX S ST LAWRENCE AVE;?;CRIMINAL DAMAGE;TO PROPERTY;RESIDENCE PORCH/HALLWAY;?;?;?;6.0;69.0
050XX S WESTERN AVE;031A;?;ARMED: HANDGUN;?;0;?;9.0;?;63.0
014XX N SEDGWICK ST;1365;CRIMINAL TRESPASS;TO RESIDENCE;RESIDENCE;?;0;18.0;27.0;8.0
014XX W CHICAGO AVE;0890;THEFT;?;BAR OR TAVERN;0;0;12.0;27.0;24.0
017XX W 18TH ST;0460;BATTERY;?;OTHER;1;0;?;?;?
052XX W DIVERSEY AVE;?;?;?;?;0;0;?;31.0;19.0
010XX W 103RD PL;0820;THEFT;?;?;0;0;?;34.0;?
017XX N KEYSTONE AVE;?;CRIMINAL DAMAGE;?;STREET;0;?;25.0;?;20.0
065XX S PULASKI RD;0860;?;RETAIL THEFT;SMALL RETAIL STORE;0;0;?;13.0;65.0
076XX S CICERO AVE;1320;?;TO VEHICLE;PARKING LOT/GARAGE(NON.RESID.);0;0;8.0;13.0;65.0
004XX N STATE ST;?;DECEPTIVE PRACTICE;?;SIDEWALK;?;?;18.0;42.0;8.0
?;?;?;AGG PRO.EMP: HANDGUN;?;0;0;?;?;5.0
063XX S DR MARTIN LUTHER KING JR DR;1330;CRIMINAL TRESPASS;TO LAND;?;1;0;?;20.0;?
110XX S VERNON AVE;3731;?;OBSTRUCTING IDENTIFICATION;STREET;1;0;5.0;9.0;49.0
010XX N HAMLIN AVE;?;THEFT;$500 AND UNDER;STREET;0;0;11.0;27.0;?
?;0560;?;SIMPLE;?;0;0;?;?;56.0
?;1780;?;OTHER OFFENSE;SCHOOL PUBLIC BUILDING;?;?;3.0;?;?
?;0486;?;DOMESTIC BATTERY SIMPLE;?;?;1;15.0;29.0;?
?;?;ROBBERY;ARMED: HANDGUN;STREET;0;?;?;11.0;60.0
024XX W HURON ST;0610;BURGLARY;?;?;0;?;12.0;1.0;24.0
070XX N GLENWOOD AVE;0610;?;FORCIBLE ENTRY;RESTAURANT;0;?;24.0;49.0;1.0
?;?;?;?;STREET;?;0;16.0;41.0;76.0
005XX N RACINE AVE;1320;CRIMINAL DAMAGE;TO VEHICLE;STREET;0;?;?;27.0;24.0
089XX S HARPER AVE;033A;ROBBERY;?;?;0;0;4.0;8.0;48.0
036XX W 26TH ST;0860;?;?;SMALL RETAIL STORE;?;?;10.0;22.0;?
?;3710;?;?;CTA STATION;1;?;1.0;42.0;?
063XX S KIMBARK AVE;031A;?;ARMED: HANDGUN;SIDEWALK;0;0;3.0;20.0;42.0
?;?;?;?;RESIDENCE-GARAGE;0;0;?;14.0;58.0
002XX W MARQUETTE RD;?;?;FORCIBLE ENTRY;?;?;0;7.0;6.0;68.0
?;1330;CRIMINAL TRESPASS;TO LAND;APARTMENT;1;?;?;?;25.0
002XX N MAYFIELD AVE;031A;ROBBERY;ARMED: HANDGUN;STREET;0;0;?;?;25.0
045XX S ROCKWELL ST;0810;THEFT;OVER $500;?;0;0;?;12.0;58.0
033XX W MAYPOLE AVE;2825;?;HARASSMENT BY TELEPHONE;APARTMENT;0;0;11.0;?;?
0000X N HALSTED ST;?;BATTERY;?;STREET;1;1;12.0;?;28.0
063XX W BELMONT AVE;0460;BATTERY;SIMPLE;ALLEY;0;0;?;36.0;17.0
0000X E 74TH ST;?;OTHER OFFENSE;?;APARTMENT;0;?;3.0;6.0;69.0
010XX E 73RD ST;?;?;TO PROPERTY;APARTMENT;0;1;?;?;69.0
?;2826;OTHER OFFENSE;?;RESIDENCE;0;1;5.0;34.0;53.0
098XX S PARNELL AVE;2023;NARCOTICS;POSS: HEROIN(BRN/TAN);?;?;0;22.0;21.0;73.0
004XX S STATE ST;0810;THEFT;OVER $500;LIBRARY;0;0;1.0;2.0;?
096XX S CARPENTER ST;143B;?;?;?;1;0;22.0;21.0;73.0
?;?;?;?;PARKING LOT/GARAGE(NON.RESID.);0;0;12.0;2.0;28.0
014XX W DIVISION ST;?;?;CREDIT CARD FRAUD;PARKING LOT/GARAGE(NON.RESID.);0;0;14.0;1.0;?
083XX S ASHLAND AVE;1310;?;TO PROPERTY;RESTAURANT;0;0;6.0;21.0;71.0
025XX S CALIFORNIA AVE;1330;?;TO LAND;RESIDENTIAL YARD (FRONT/BACK);?;0;?;12.0;30.0
092XX S CLYDE AVE;031A;ROBBERY;ARMED: HANDGUN;ALLEY;?;0;?;?;48.0
?;?;THEFT;?;?;?;0;1.0;2.0;?
004XX N STATE ST;0870;THEFT;?;SIDEWALK;0;0;18.0;42.0;8.0
001XX W ROOSEVELT RD;1320;CRIMINAL DAMAGE;?;PARKING LOT/GARAGE(NON.RESID.);?;0;1.0;?;32.0
054XX W RICE ST;0560;ASSAULT;?;?;?;?;15.0;?;25.0
092XX S ANTHONY AVE;0560;ASSAULT;SIMPLE;STREET;0;0;?;7.0;?
?;?;BATTERY;DOMESTIC BATTERY SIMPLE;?;0;1;3.0;7.0;43.0
?;0810;THEFT;OVER $500;PARKING LOT/GARAGE(NON.RESID.);0;?;?;29.0;25.0
030XX W HARRISON ST;0820;?;$500 AND UNDER;STREET;?;0;?;28.0;?
?;2820;OTHER OFFENSE;TELEPHONE THREAT;RESIDENCE;?;1;?;8.0;?
?;031A;ROBBERY;ARMED: HANDGUN;SIDEWALK;?;?;12.0;2.0;28.0
049XX W OHIO ST;?;BATTERY;?;?;?;?;15.0;?;25.0
?;?;THEFT;$500 AND UNDER;RESIDENCE;?;0;11.0;37.0;23.0
?;0460;BATTERY;?;GAS STATION;0;0;12.0;?;?
021XX W COULTER ST;1812;NARCOTICS;POSS: CANNABIS MORE THAN 30GMS;RESIDENCE;1;0;?;?;?
009XX N LA SALLE DR;1150;?;?;?;0;0;18.0;?;8.0
012XX N HOMAN AVE;0460;BATTERY;?;FACTORY/MANUFACTURING BUILDING;0;0;14.0;26.0;?
114XX S FOREST AVE;0486;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE;?;1;5.0;9.0;49.0
073XX N WINCHESTER AVE;?;BATTERY;SIMPLE;RESIDENCE;0;0;24.0;?;?
030XX E 92ND ST;1130;DECEPTIVE PRACTICE;FRAUD OR CONFIDENCE GAME;BANK;1;?;?;10.0;46.0
004XX E 81ST ST;?;OTHER OFFENSE;?;?;?;?;?;6.0;44.0
050XX N WINTHROP AVE;0560;ASSAULT;SIMPLE;?;0;0;?;48.0;3.0
