004XX N WABASH AVE;?;BATTERY;SIMPLE;RESIDENCE;0;0;18.0;?;8.0
016XX W HOWARD ST;1310;CRIMINAL DAMAGE;TO PROPERTY;SMALL RETAIL STORE;0;0;?;49.0;?
012XX N CENTRAL AVE;0560;ASSAULT;SIMPLE;GAS STATION;0;?;25.0;37.0;25.0
033XX S CARPENTER ST;4651;OTHER OFFENSE;?;APARTMENT;0;0;9.0;11.0;60.0
016XX W CHASE AVE;?;THEFT;FROM BUILDING;?;0;0;24.0;?;1.0
031XX W MEDILL AVE;0620;BURGLARY;UNLAWFUL ENTRY;OTHER;?;0;14.0;26.0;22.0
?;0820;?;$500 AND UNDER;STREET;0;0;3.0;5.0;43.0
048XX N AUSTIN AVE;0820;THEFT;$500 AND UNDER;PARKING LOT/GARAGE(NON.RESID.);0;?;16.0;?;15.0
056XX N SPAULDING AVE;0820;THEFT;$500 AND UNDER;OTHER;0;0;17.0;40.0;13.0
040XX W NORTH AVE;0610;?;FORCIBLE ENTRY;OTHER;0;0;25.0;30.0;23.0
015XX N ASHLAND AVE;1150;DECEPTIVE PRACTICE;?;OTHER;0;0;14.0;1.0;24.0
013XX W IRVING PARK RD;0560;ASSAULT;SIMPLE;RESTAURANT;1;0;19.0;47.0;6.0
?;0320;ROBBERY;STRONGARM - NO WEAPON;SIDEWALK;0;0;3.0;20.0;69.0
100XX W OHARE ST;2850;PUBLIC PEACE VIOLATION;BOMB THREAT;AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA;0;0;16.0;41.0;76.0
080XX S EVANS AVE;0486;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE;0;?;?;6.0;44.0
061XX S ABERDEEN ST;1320;CRIMINAL DAMAGE;TO VEHICLE;STREET;0;0;7.0;16.0;68.0
033XX W MONROE ST;?;NARCOTICS;POSS: HEROIN(WHITE);?;1;0;11.0;28.0;?
?;0486;BATTERY;?;ANIMAL HOSPITAL;0;1;7.0;16.0;67.0
038XX W ROOSEVELT RD;1821;NARCOTICS;?;SIDEWALK;1;0;10.0;24.0;29.0
038XX W WASHINGTON BLVD;031A;ROBBERY;ARMED: HANDGUN;?;0;0;11.0;28.0;26.0
?;2024;NARCOTICS;?;SIDEWALK;1;0;8.0;23.0;56.0
?;1365;CRIMINAL TRESPASS;?;?;?;0;?;7.0;43.0
?;4650;OTHER OFFENSE;?;HOSPITAL BUILDING/GROUNDS;1;0;8.0;?;66.0
040XX S ELLIS AVE;0560;ASSAULT;SIMPLE;APARTMENT;0;1;?;4.0;36.0
