dataset;algoritmo;MV;recall;precision;version;correct_imp;similar_imp;wrong_imp;rmse
cars;BaselineD;37;0.7567567567567568;0.7567567567567568;1;16;12;9;0.14352361139208777
cars;BaselineD;73;0.684931506849315;0.684931506849315;1;24;26;23;0.1334355426666998
cars;BaselineD;110;0.6727272727272727;0.6727272727272727;1;32;42;36;0.19679003577879184
cars;BaselineD;146;0.678082191780822;0.678082191780822;1;49;50;47;0.19521258170208833
cars;BaselineD;183;0.73224043715847;0.73224043715847;1;67;67;49;0.16991960490522431
restaurant;BaselineD;52;0.36538461538461536;0.38;1;13;6;31;0.7040701101452894
restaurant;BaselineD;104;0.4423076923076923;0.4423076923076923;1;37;9;58;0.6851715675092458
restaurant;BaselineD;156;0.3717948717948718;0.3741935483870968;1;45;13;97;0.7034879231831318
restaurant;BaselineD;207;0.4106280193236715;0.41262135922330095;1;54;31;121;0.7309872297770238
restaurant;BaselineD;259;0.4092664092664093;0.4092664092664093;1;74;32;153;0.7275658841851479
Boeing_898;BaselineD;90;0.6111111111111112;0.6626506024096386;1;46;9;28;0.4933897381735252
Boeing_898;BaselineD;180;0.6444444444444445;0.6480446927374302;1;99;17;63;0.4775853604711025
Boeing_898;BaselineD;269;0.5724907063197026;0.5855513307984791;1;131;23;109;0.4921070048094311
Boeing_898;BaselineD;359;0.5598885793871866;0.5759312320916905;1;163;38;148;0.5294663367195291
Boeing_898;BaselineD;449;0.5233853006681515;0.5414746543778802;1;197;38;199;0.5181686690501979
restaurant;Derand;52;0.4807692307692308;0.4807692307692308;1;18;7;27;0.6803601845855112
restaurant;Derand;104;0.4423076923076923;0.4423076923076923;1;37;9;58;0.6740889079114347
restaurant;Derand;156;0.3717948717948718;0.3741935483870968;1;45;13;97;0.7004821749476248
restaurant;Derand;207;0.42028985507246375;0.42028985507246375;1;56;31;120;0.7267157509017509
restaurant;Derand;259;0.41312741312741313;0.41312741312741313;1;76;31;152;0.7244033945201238
Boeing_898;Derand;90;0.6444444444444445;0.651685393258427;1;49;9;31;0.4772228179556464
Boeing_898;Derand;180;0.6555555555555556;0.6555555555555556;1;100;18;62;0.470411645972617
Boeing_898;Derand;269;0.6133828996282528;0.6179775280898876;1;139;26;102;0.4792192503308276
Boeing_898;Derand;359;0.5821727019498607;0.5837988826815642;1;171;38;149;0.5187742348111661
Boeing_898;Derand;449;0.5545657015590201;0.5558035714285714;1;205;44;199;0.5118753096109303
cars;Derand;37;0.7837837837837838;0.7837837837837838;1;16;13;8;0.12400457707332876
cars;Derand;73;0.7123287671232876;0.7123287671232876;1;25;27;21;0.11932321739074787
cars;Derand;110;0.7;0.7;1;32;45;33;0.19011453485632382
cars;Derand;146;0.684931506849315;0.684931506849315;1;49;51;46;0.19212536931453525
cars;Derand;183;0.7431693989071039;0.7431693989071039;1;67;69;47;0.16243281923622246
