dataset,Baseline20,Hybrid,Pipeline,Pipeline_noRev
Air_9000,0.20099110293089772,0.13928286087717556,0.1017598558384155,0.14159242178212947
Boeing_898,0.4494790099841061,0.3329956857132398,0.2478559637860893,0.34532566330541486
Cats_1071,0.8056835997729792,0.39522078160682333,0.4045037750909768,0.3954593829208092
EV_Vehicles_4000,0.3216280916548734,0.3140289942366071,0.17675605073221082,0.3287777238360106
F1_REBUILT_5000,0.14721068384535463,0.14524074940473133,0.09415197333540279,0.1545438356969992
IoT_Telemetry3000,0.1316238757608548,0.09670053246742304,0.09313544310114566,0.10816584481834388
Med_Ch_2500,0.3143268410109259,0.22756875181546973,0.21281541719366787,0.25410287123650066
MotoGP_REBUILT_3000,0.3940986736220738,0.35956078052387214,0.34695560433553113,0.36117364514653233
NBA_3200,0.4872026164106395,0.3875964531844508,0.32760705079704144,0.4025473003536544
US_Presidents_3754,0.3253022703539453,0.2666510813539118,0.23450975237647342,0.28408916016378105
actorfilms_4000,0.2987716270916698,0.23825446849335993,0.23657148246339713,0.23948147845013412
cars,0.38332203713985846,0.253332348595573,0.20977341951922898,0.26869113020124724
police,0.5641082417197074,0.5185631504413866,0.4573460110629246,0.5153328705896155
restaurant,0.44645750146482976,0.4250310878905973,0.3271228534135865,0.43555257753147986
superstore_4500,0.42790391442858067,0.3324174615443858,0.33826948207417074,0.32186305242448504
