dataset;algoritmo;MV;metric2
Boeing_898_FD;pipeline;90;0.05
Boeing_898_FD;baseline;90;0.43
Boeing_898_FD;pipeline;180;0.07
Boeing_898_FD;baseline;180;0.68
Boeing_898_FD;pipeline;269;0.11
Boeing_898_FD;baseline;269;0.62
Boeing_898_FD;pipeline;359;0.12
Boeing_898_FD;baseline;359;0.8
Boeing_898_FD;pipeline;449;0.07
Boeing_898_FD;baseline;449;0.72
Boeing_898_FD;pipeline;898;0.18
Boeing_898_FD;baseline;898;0.85
Boeing_898_FD;pipeline;1796;0.18
Boeing_898_FD;baseline;1796;0.62
Boeing_898_FD;pipeline;2694;0.2
Boeing_898_FD;baseline;2694;0.48
Boeing_898_FD;pipeline;3592;0.2
Boeing_898_FD;baseline;3592;0.48
Boeing_898_FD;pipeline;4490;0.2
Boeing_898_FD;baseline;4490;0.39
cars_FD;pipeline;37;0.02
cars_FD;baseline;37;0.15
cars_FD;pipeline;73;0.03
cars_FD;baseline;73;0.16
cars_FD;pipeline;110;0.04
cars_FD;baseline;110;0.34
cars_FD;pipeline;146;0.08
cars_FD;baseline;146;0.29
cars_FD;pipeline;183;0.08
cars_FD;baseline;183;0.29
cars_FD;pipeline;365;0.14
cars_FD;baseline;365;0.56
cars_FD;pipeline;731;0.23
cars_FD;baseline;731;0.43
cars_FD;pipeline;1096;0.25
cars_FD;baseline;1096;0.57
cars_FD;pipeline;1462;0.25
cars_FD;baseline;1462;0.52
cars_FD;pipeline;1827;0.25
cars_FD;baseline;1827;0.42
police_FD;pipeline;198;0.01
police_FD;baseline;198;0.38
police_FD;pipeline;397;0.02
police_FD;baseline;397;0.73
police_FD;pipeline;595;0.02
police_FD;baseline;595;0.76
police_FD;pipeline;793;0.03
police_FD;baseline;793;0.82
police_FD;pipeline;992;0.04
police_FD;baseline;992;0.94
police_FD;pipeline;1984;0.08
police_FD;baseline;1984;0.88
police_FD;pipeline;3967;0.12
police_FD;baseline;3967;0.9
police_FD;pipeline;5951;0.25
police_FD;baseline;5951;0.66
police_FD;pipeline;7934;0.25
police_FD;baseline;7934;0.59
police_FD;pipeline;9918;0.25
police_FD;baseline;9918;0.38
restaurant_FD;pipeline;52;0.0
restaurant_FD;baseline;52;0.26
restaurant_FD;pipeline;104;0.0
restaurant_FD;baseline;104;0.25
restaurant_FD;pipeline;156;0.0
restaurant_FD;baseline;156;0.58
restaurant_FD;pipeline;207;0.0
restaurant_FD;baseline;207;0.56
restaurant_FD;pipeline;259;0.01
restaurant_FD;baseline;259;0.56
restaurant_FD;pipeline;518;0.02
restaurant_FD;baseline;518;0.8
restaurant_FD;pipeline;1037;0.14
restaurant_FD;baseline;1037;0.78
restaurant_FD;pipeline;1555;0.16
restaurant_FD;baseline;1555;0.76
restaurant_FD;pipeline;2074;0.19
restaurant_FD;baseline;2074;0.68
restaurant_FD;pipeline;2592;0.19
restaurant_FD;baseline;2592;0.49
