dataset;algoritmo;MV;metric1
actorfilms_4000;pipeline;280;0.36
actorfilms_4000;baseline;280;0.72
actorfilms_4000;pipeline;560;0.37
actorfilms_4000;baseline;560;0.87
actorfilms_4000;pipeline;840;0.43
actorfilms_4000;baseline;840;0.84
actorfilms_4000;pipeline;1120;0.45
actorfilms_4000;baseline;1120;0.95
actorfilms_4000;pipeline;1400;0.42
actorfilms_4000;baseline;1400;0.98
actorfilms_4000;pipeline;2800;0.54
actorfilms_4000;baseline;2800;0.99
actorfilms_4000;pipeline;5600;0.53
actorfilms_4000;baseline;5600;1.0
actorfilms_4000;pipeline;8400;0.56
actorfilms_4000;baseline;8400;0.97
actorfilms_4000;pipeline;11200;0.57
actorfilms_4000;baseline;11200;0.73
actorfilms_4000;pipeline;14000;0.61
actorfilms_4000;baseline;14000;0.71
Boeing_898;pipeline;90;0.65
Boeing_898;baseline;90;0.65
Boeing_898;pipeline;180;0.51
Boeing_898;baseline;180;0.81
Boeing_898;pipeline;269;0.61
Boeing_898;baseline;269;0.73
Boeing_898;pipeline;359;0.65
Boeing_898;baseline;359;0.77
Boeing_898;pipeline;449;0.67
Boeing_898;baseline;449;0.81
Boeing_898;pipeline;898;0.71
Boeing_898;baseline;898;0.82
Boeing_898;pipeline;1796;0.72
Boeing_898;baseline;1796;0.8
Boeing_898;pipeline;2694;0.73
Boeing_898;baseline;2694;0.87
Boeing_898;pipeline;3592;0.84
Boeing_898;baseline;3592;0.91
Boeing_898;pipeline;4490;0.77
Boeing_898;baseline;4490;0.94
EV_Vehicles_4000;pipeline;400;0.76
EV_Vehicles_4000;baseline;400;1.0
EV_Vehicles_4000;pipeline;800;0.76
EV_Vehicles_4000;baseline;800;1.0
EV_Vehicles_4000;pipeline;1200;0.76
EV_Vehicles_4000;baseline;1200;1.0
EV_Vehicles_4000;pipeline;1600;0.76
EV_Vehicles_4000;baseline;1600;1.0
EV_Vehicles_4000;pipeline;2000;0.76
EV_Vehicles_4000;baseline;2000;1.0
EV_Vehicles_4000;pipeline;4000;0.76
EV_Vehicles_4000;baseline;4000;1.0
EV_Vehicles_4000;pipeline;8000;0.78
EV_Vehicles_4000;baseline;8000;1.0
EV_Vehicles_4000;pipeline;12000;0.79
EV_Vehicles_4000;baseline;12000;1.0
EV_Vehicles_4000;pipeline;16000;0.79
EV_Vehicles_4000;baseline;16000;0.92
EV_Vehicles_4000;pipeline;20000;0.65
EV_Vehicles_4000;baseline;20000;0.69
F1_REBUILT_5000;pipeline;350;0.0
F1_REBUILT_5000;baseline;350;1.0
F1_REBUILT_5000;pipeline;700;0.0
F1_REBUILT_5000;baseline;700;1.0
F1_REBUILT_5000;pipeline;1050;0.0
F1_REBUILT_5000;baseline;1050;1.0
F1_REBUILT_5000;pipeline;1400;0.0
F1_REBUILT_5000;baseline;1400;1.0
F1_REBUILT_5000;pipeline;1750;0.0
F1_REBUILT_5000;baseline;1750;1.0
F1_REBUILT_5000;pipeline;3500;0.12
F1_REBUILT_5000;baseline;3500;1.0
F1_REBUILT_5000;pipeline;7000;0.24
F1_REBUILT_5000;baseline;7000;1.0
F1_REBUILT_5000;pipeline;10500;0.37
F1_REBUILT_5000;baseline;10500;1.0
F1_REBUILT_5000;pipeline;14000;0.46
F1_REBUILT_5000;baseline;14000;1.0
F1_REBUILT_5000;pipeline;17500;0.66
F1_REBUILT_5000;baseline;17500;1.0
Med_Ch_2500;pipeline;300;0.73
Med_Ch_2500;baseline;300;0.79
Med_Ch_2500;pipeline;600;0.74
Med_Ch_2500;baseline;600;0.83
Med_Ch_2500;pipeline;900;0.76
Med_Ch_2500;baseline;900;0.85
Med_Ch_2500;pipeline;1200;0.75
Med_Ch_2500;baseline;1200;0.9
Med_Ch_2500;pipeline;1500;0.75
Med_Ch_2500;baseline;1500;0.92
Med_Ch_2500;pipeline;3000;0.75
Med_Ch_2500;baseline;3000;0.93
Med_Ch_2500;pipeline;6000;0.74
Med_Ch_2500;baseline;6000;0.79
Med_Ch_2500;pipeline;9000;0.78
Med_Ch_2500;baseline;9000;0.77
Med_Ch_2500;pipeline;12000;0.67
Med_Ch_2500;baseline;12000;0.79
Med_Ch_2500;pipeline;15000;0.59
Med_Ch_2500;baseline;15000;0.81
MotoGP_REBUILT_3000;pipeline;360;0.82
MotoGP_REBUILT_3000;baseline;360;1.0
MotoGP_REBUILT_3000;pipeline;720;0.86
MotoGP_REBUILT_3000;baseline;720;1.0
MotoGP_REBUILT_3000;pipeline;1080;0.87
MotoGP_REBUILT_3000;baseline;1080;1.0
MotoGP_REBUILT_3000;pipeline;1440;0.88
MotoGP_REBUILT_3000;baseline;1440;1.0
MotoGP_REBUILT_3000;pipeline;1800;0.88
MotoGP_REBUILT_3000;baseline;1800;1.0
MotoGP_REBUILT_3000;pipeline;3600;0.85
MotoGP_REBUILT_3000;baseline;3600;1.0
MotoGP_REBUILT_3000;pipeline;7200;0.87
MotoGP_REBUILT_3000;baseline;7200;0.99
MotoGP_REBUILT_3000;pipeline;10800;0.8
MotoGP_REBUILT_3000;baseline;10800;0.77
MotoGP_REBUILT_3000;pipeline;14400;0.83
MotoGP_REBUILT_3000;baseline;14400;0.94
MotoGP_REBUILT_3000;pipeline;18000;0.81
MotoGP_REBUILT_3000;baseline;18000;0.97
NBA_3200;pipeline;384;0.75
NBA_3200;baseline;384;0.9
NBA_3200;pipeline;768;0.77
NBA_3200;baseline;768;0.9
NBA_3200;pipeline;1152;0.78
NBA_3200;baseline;1152;0.96
NBA_3200;pipeline;1536;0.79
NBA_3200;baseline;1536;0.98
NBA_3200;pipeline;1920;0.8
NBA_3200;baseline;1920;0.99
NBA_3200;pipeline;3840;0.82
NBA_3200;baseline;3840;0.91
NBA_3200;pipeline;7680;0.86
NBA_3200;baseline;7680;0.9
NBA_3200;pipeline;11520;0.9
NBA_3200;baseline;11520;0.84
NBA_3200;pipeline;15360;0.87
NBA_3200;baseline;15360;0.91
NBA_3200;pipeline;19200;0.84
NBA_3200;baseline;19200;0.96
superstore_4500;pipeline;495;0.41
superstore_4500;baseline;495;1.0
superstore_4500;pipeline;990;0.4
superstore_4500;baseline;990;1.0
superstore_4500;pipeline;1485;0.46
superstore_4500;baseline;1485;1.0
superstore_4500;pipeline;1980;0.48
superstore_4500;baseline;1980;1.0
superstore_4500;pipeline;2475;0.43
superstore_4500;baseline;2475;1.0
superstore_4500;pipeline;4950;0.57
superstore_4500;baseline;4950;1.0
superstore_4500;pipeline;9900;0.71
superstore_4500;baseline;9900;1.0
superstore_4500;pipeline;14850;0.76
superstore_4500;baseline;14850;1.0
superstore_4500;pipeline;19800;0.78
superstore_4500;baseline;19800;0.9
superstore_4500;pipeline;24750;0.66
superstore_4500;baseline;24750;0.67
US_Presidents_3754;pipeline;375;0.9
US_Presidents_3754;baseline;375;0.86
US_Presidents_3754;pipeline;751;0.91
US_Presidents_3754;baseline;751;0.88
US_Presidents_3754;pipeline;1126;0.9
US_Presidents_3754;baseline;1126;0.91
US_Presidents_3754;pipeline;1502;0.88
US_Presidents_3754;baseline;1502;0.9
US_Presidents_3754;pipeline;1877;0.88
US_Presidents_3754;baseline;1877;0.91
US_Presidents_3754;pipeline;3754;0.86
US_Presidents_3754;baseline;3754;0.94
US_Presidents_3754;pipeline;7508;0.89
US_Presidents_3754;baseline;7508;0.88
US_Presidents_3754;pipeline;11262;0.89
US_Presidents_3754;baseline;11262;0.88
US_Presidents_3754;pipeline;15016;0.88
US_Presidents_3754;baseline;15016;0.84
US_Presidents_3754;pipeline;18770;0.87
US_Presidents_3754;baseline;18770;0.9
cars;pipeline;37;0.82
cars;baseline;37;0.8
cars;pipeline;73;0.87
cars;baseline;73;0.84
cars;pipeline;110;0.79
cars;baseline;110;0.82
cars;pipeline;146;0.79
cars;baseline;146;0.72
cars;pipeline;183;0.81
cars;baseline;183;0.79
cars;pipeline;365;0.77
cars;baseline;365;0.75
cars;pipeline;731;0.72
cars;baseline;731;0.61
cars;pipeline;1096;0.7
cars;baseline;1096;0.65
cars;pipeline;1462;0.65
cars;baseline;1462;0.79
cars;pipeline;1827;0.56
cars;baseline;1827;1.0
police;pipeline;198;0.05
police;baseline;198;0.27
police;pipeline;397;0.05
police;baseline;397;0.42
police;pipeline;595;0.13
police;baseline;595;0.45
police;pipeline;793;0.13
police;baseline;793;0.45
police;pipeline;992;0.17
police;baseline;992;0.52
police;pipeline;1984;0.22
police;baseline;1984;0.56
police;pipeline;3967;0.35
police;baseline;3967;0.79
police;pipeline;5951;0.5
police;baseline;5951;0.96
police;pipeline;7934;0.6
police;baseline;7934;1.0
police;pipeline;9918;0.73
police;baseline;9918;1.0
restaurant;pipeline;52;0.31
restaurant;baseline;52;0.4
restaurant;pipeline;104;0.35
restaurant;baseline;104;0.56
restaurant;pipeline;156;0.37
restaurant;baseline;156;0.81
restaurant;pipeline;207;0.41
restaurant;baseline;207;0.76
restaurant;pipeline;259;0.34
restaurant;baseline;259;0.59
restaurant;pipeline;518;0.46
restaurant;baseline;518;0.77
restaurant;pipeline;1037;0.6
restaurant;baseline;1037;0.83
restaurant;pipeline;1555;0.61
restaurant;baseline;1555;1.0
restaurant;pipeline;2074;0.74
restaurant;baseline;2074;1.0
restaurant;pipeline;2592;0.81
restaurant;baseline;2592;1.0
IoT_Telemetry3000;pipeline;240;0.83
IoT_Telemetry3000;baseline;240;1.0
IoT_Telemetry3000;pipeline;480;0.87
IoT_Telemetry3000;baseline;480;1.0
IoT_Telemetry3000;pipeline;720;0.86
IoT_Telemetry3000;baseline;720;1.0
IoT_Telemetry3000;pipeline;960;0.87
IoT_Telemetry3000;baseline;960;1.0
IoT_Telemetry3000;pipeline;1200;0.87
IoT_Telemetry3000;baseline;1200;1.0
IoT_Telemetry3000;pipeline;2400;0.87
IoT_Telemetry3000;baseline;2400;1.0
IoT_Telemetry3000;pipeline;4800;0.92
IoT_Telemetry3000;baseline;4800;1.0
IoT_Telemetry3000;pipeline;7200;0.89
IoT_Telemetry3000;baseline;7200;1.0
IoT_Telemetry3000;pipeline;9600;0.89
